s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-1.2040152E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2040152E-005, 0.0000000E+000, 0.0000000E+000
 2.0000001E-003, 0.0000000E+000,-4.6861414E-006,-1.4537489E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4584350E-003, 0.0000000E+000, 0.0000000E+000
 4.0000002E-003, 0.0000000E+000,-2.8486208E-006,-9.5465528E-004, 2.0594043E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1236648E-001,-9.3690986E-004, 0.0000000E+000, 0.0000000E+000
 6.0000001E-003, 0.0000000E+000,-2.6615763E-006,-3.7723911E-004, 3.2214548E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.9795994E-002,-3.4768614E-004, 0.0000000E+000, 0.0000000E+000
 8.0000004E-003, 0.0000000E+000,-1.4682874E-006, 3.4046109E-004, 3.4949973E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4659079E-002, 3.7394278E-004, 0.0000000E+000, 0.0000000E+000
 9.9999998E-003, 0.0000000E+000,-1.6096157E-006, 9.8665754E-004, 2.5988963E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7615522E-002, 1.0110369E-003, 0.0000000E+000, 0.0000000E+000
 1.2000000E-002, 0.0000000E+000,-1.1639145E-006, 1.3053322E-003, 6.5349482E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.7253647E-002, 1.3107033E-003, 0.0000000E+000, 0.0000000E+000
 1.4000000E-002, 0.0000000E+000,-1.6008233E-006, 1.1641083E-003,-1.7524849E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1468826E-001, 1.1449826E-003, 0.0000000E+000, 0.0000000E+000
 1.6000001E-002, 0.0000000E+000,-1.5736688E-006, 6.5311710E-004,-3.8607136E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.3416194E-002, 6.1293629E-004, 0.0000000E+000, 0.0000000E+000
 1.7999999E-002, 0.0000000E+000,-1.7739440E-006, 1.8635702E-005,-5.0496094E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4709662E-002,-3.3634336E-005, 0.0000000E+000, 0.0000000E+000
 2.0000000E-002, 0.0000000E+000,-1.4942939E-006,-4.9950056E-004,-5.0664286E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.9632189E-003,-5.5165914E-004, 0.0000000E+000, 0.0000000E+000
 2.2000000E-002, 0.0000000E+000,-1.2839168E-006,-7.7893346E-004,-4.0678920E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1666337E-002,-8.2089629E-004, 0.0000000E+000, 0.0000000E+000
 2.4000000E-002, 0.0000000E+000,-8.0128615E-007,-8.1694742E-004,-2.4655432E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.1643979E-002,-8.4240414E-004, 0.0000000E+000, 0.0000000E+000
 2.6000001E-002, 0.0000000E+000,-5.2460483E-007,-6.7362611E-004,-6.8042067E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.0705593E-002,-6.8095492E-004, 0.0000000E+000, 0.0000000E+000
 2.8000001E-002, 0.0000000E+000,-1.8575311E-007,-4.2284766E-004, 8.6843030E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4580460E-002,-4.1434911E-004, 0.0000000E+000, 0.0000000E+000
 2.9999999E-002, 0.0000000E+000,-8.7226876E-008,-1.3392747E-004, 1.9127814E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0137628E-002,-1.1488689E-004, 0.0000000E+000, 0.0000000E+000
 3.2000002E-002, 0.0000000E+000, 2.8958258E-009, 1.3125493E-004, 2.3199223E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.8359901E-003, 1.5445705E-004, 0.0000000E+000, 0.0000000E+000
 3.4000002E-002, 0.0000000E+000,-6.6973916E-008, 3.2203453E-004, 2.0915646E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8758996E-002, 3.4288320E-004, 0.0000000E+000, 0.0000000E+000
 3.5999998E-002, 0.0000000E+000,-1.4498232E-007, 4.0709577E-004, 1.3644057E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3480601E-002, 4.2059485E-004, 0.0000000E+000, 0.0000000E+000
