,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-11-13T14:26:50.208+01:00,   0.200E-02,   0.00200,   0.380E+01
      2,2020-11-13T14:26:50.259+01:00,   0.200E-02,   0.00400,   0.390E+01
      3,2020-11-13T14:26:50.309+01:00,   0.200E-02,   0.00600,   0.400E+01
      4,2020-11-13T14:26:50.359+01:00,   0.200E-02,   0.00800,   0.410E+01
      5,2020-11-13T14:26:50.410+01:00,   0.200E-02,   0.01000,   0.420E+01
      6,2020-11-13T14:26:50.471+01:00,   0.200E-02,   0.01200,   0.431E+01
      7,2020-11-13T14:26:50.521+01:00,   0.200E-02,   0.01400,   0.441E+01
      8,2020-11-13T14:26:50.572+01:00,   0.200E-02,   0.01600,   0.451E+01
      9,2020-11-13T14:26:50.621+01:00,   0.200E-02,   0.01800,   0.461E+01
     10,2020-11-13T14:26:50.671+01:00,   0.200E-02,   0.02000,   0.471E+01
     20,2020-11-13T14:26:51.167+01:00,   0.200E-02,   0.04000,   0.569E+01
     30,2020-11-13T14:26:51.682+01:00,   0.200E-02,   0.06000,   0.671E+01
     40,2020-11-13T14:26:52.175+01:00,   0.200E-02,   0.08000,   0.769E+01
     50,2020-11-13T14:26:52.678+01:00,   0.200E-02,   0.10000,   0.869E+01
     60,2020-11-13T14:26:53.186+01:00,   0.200E-02,   0.12000,   0.969E+01
     70,2020-11-13T14:26:53.688+01:00,   0.200E-02,   0.14000,   0.107E+02
     80,2020-11-13T14:26:54.199+01:00,   0.200E-02,   0.16000,   0.117E+02
     90,2020-11-13T14:26:54.698+01:00,   0.200E-02,   0.18000,   0.127E+02
    100,2020-11-13T14:26:55.207+01:00,   0.200E-02,   0.20000,   0.137E+02
    200,2020-11-13T14:27:00.395+01:00,   0.200E-02,   0.40000,   0.239E+02
    300,2020-11-13T14:27:05.516+01:00,   0.200E-02,   0.60000,   0.341E+02
    400,2020-11-13T14:27:10.872+01:00,   0.200E-02,   0.80000,   0.446E+02
    500,2020-11-13T14:27:17.156+01:00,   0.200E-02,   1.00000,   0.569E+02
    600,2020-11-13T14:27:23.855+01:00,   0.200E-02,   1.20000,   0.701E+02
    700,2020-11-13T14:27:30.243+01:00,   0.200E-02,   1.40000,   0.825E+02
    800,2020-11-13T14:27:36.799+01:00,   0.200E-02,   1.60000,   0.953E+02
    900,2020-11-13T14:27:43.986+01:00,   0.200E-02,   1.80000,   0.109E+03
   1000,2020-11-13T14:27:50.503+01:00,   0.200E-02,   2.00000,   0.122E+03
