s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0000000E-003, 1.3882690E-001, 7.9514498E-002, 1.3948002E+001, 1.0545549E-002, 1.0000000E+001, 1.1000000E+001, 8.0776922E-002, 1.8589296E-009
 4.0000000E-003, 1.4740811E-001, 8.6163825E-002, 8.9747471E-001, 4.8538418E-004, 1.0000000E+000, 9.0000000E+000, 7.6719297E-002, 7.8864578E-009
 6.0000000E-003, 1.5026433E-001, 8.9066647E-002, 3.1285951E-001, 1.5978086E-004, 1.0000000E+000, 9.0000000E+000, 7.6532363E-002, 2.4453295E-009
 8.0000000E-003, 1.5291875E-001, 9.1859575E-002, 2.9265186E-001, 1.5306985E-004, 1.0000000E+000, 9.0000000E+000, 7.6522838E-002, 2.3371418E-009
 1.0000000E-002, 1.5555986E-001, 9.4665612E-002, 2.9174439E-001, 1.5663937E-004, 1.0000000E+000, 9.0000000E+000, 7.6527595E-002, 2.3979324E-009
 1.2000000E-002, 1.5819317E-001, 9.7489270E-002, 2.9141806E-001, 1.6060935E-004, 1.0000000E+000, 9.0000000E+000, 7.6532715E-002, 2.4652840E-009
 1.4000000E-002, 1.6081817E-001, 1.0033121E-001, 2.9107205E-001, 1.6465736E-004, 1.0000000E+000, 9.0000000E+000, 7.6537735E-002, 2.5338992E-009
 1.6000000E-002, 1.6343427E-001, 1.0319201E-001, 2.9068799E-001, 1.6877376E-004, 1.0000000E+000, 9.0000000E+000, 7.6542627E-002, 2.6036053E-009
 1.8000000E-002, 1.6604079E-001, 1.0607223E-001, 2.9026669E-001, 1.7295080E-004, 1.0000000E+000, 9.0000000E+000, 7.6547384E-002, 2.6742708E-009
 2.0000000E-002, 1.6863711E-001, 1.0897245E-001, 2.8980910E-001, 1.7718525E-004, 1.0000000E+000, 9.0000000E+000, 7.6551995E-002, 2.7458313E-009
 2.2000000E-002, 1.7122258E-001, 1.1189324E-001, 2.8931663E-001, 1.8146829E-004, 1.0000000E+000, 9.0000000E+000, 7.6556454E-002, 2.8181351E-009
 2.4000000E-002, 1.7379658E-001, 1.1483516E-001, 2.8879046E-001, 1.8579429E-004, 1.0000000E+000, 9.0000000E+000, 7.6560758E-002, 2.8910803E-009
 2.6000000E-002, 1.7635847E-001, 1.1779880E-001, 2.8823219E-001, 1.9015301E-004, 1.0000000E+000, 9.0000000E+000, 7.6564904E-002, 2.9644916E-009
 2.8000000E-002, 1.7890763E-001, 1.2078470E-001, 2.8764335E-001, 1.9453640E-004, 1.0000000E+000, 9.0000000E+000, 7.6568890E-002, 3.0382285E-009
 3.0000000E-002, 1.8144344E-001, 1.2379344E-001, 2.8702585E-001, 1.9893300E-004, 1.0000000E+000, 9.0000000E+000, 7.6572718E-002, 3.1120959E-009
 3.2000000E-002, 1.8396530E-001, 1.2682557E-001, 2.8638162E-001, 2.0333287E-004, 1.0000000E+000, 9.0000000E+000, 7.6576387E-002, 3.1859230E-009
 3.4000000E-002, 1.8647263E-001, 1.2988163E-001, 2.8571295E-001, 2.0772359E-004, 1.0000000E+000, 9.0000000E+000, 7.6579901E-002, 3.2595002E-009
 3.6000000E-002, 1.8896484E-001, 1.3296216E-001, 2.8502223E-001, 2.1209393E-004, 1.0000000E+000, 9.0000000E+000, 7.6583264E-002, 3.3326372E-009
 3.8000000E-002, 1.9144139E-001, 1.3606772E-001, 2.8431213E-001, 2.1643100E-004, 1.0000000E+000, 9.0000000E+000, 7.6586480E-002, 3.4051177E-009
 4.0000000E-002, 1.9390174E-001, 1.3919881E-001, 2.8358548E-001, 2.2072306E-004, 1.0000000E+000, 9.0000000E+000, 7.6589555E-002, 3.4767452E-009
 4.2000000E-002, 1.9634538E-001, 1.4235598E-001, 2.8284533E-001, 2.2495751E-004, 1.0000000E+000, 9.0000000E+000, 7.6592493E-002, 3.5473099E-009
 4.4000000E-002, 1.9877183E-001, 1.4553975E-001, 2.8209487E-001, 2.2912294E-004, 1.0000000E+000, 9.0000000E+000, 7.6595303E-002, 3.6166226E-009
 4.6000000E-002, 2.0118064E-001, 1.4875065E-001, 2.8133749E-001, 2.3320787E-004, 1.0000000E+000, 9.0000000E+000, 7.6597991E-002, 3.6844947E-009
 4.8000000E-002, 2.0357138E-001, 1.5198920E-001, 2.8057664E-001, 2.3720220E-004, 1.0000000E+000, 9.0000000E+000, 7.6600564E-002, 3.7507609E-009
 5.0000000E-002, 2.0594367E-001, 1.5525596E-001, 2.7981595E-001, 2.4109643E-004, 1.0000000E+000, 9.0000000E+000, 7.6603031E-002, 3.8152677E-009
 5.2000000E-002, 2.0754821E-001, 1.5802598E-001, 2.0237395E-001, 1.9481373E-004, 1.0000000E+000, 9.0000000E+000, 7.6545817E-002, 3.0347580E-009
 5.4000000E-002, 2.0910415E-001, 1.6080086E-001, 1.9845764E-001, 1.9617559E-004, 1.0000000E+000, 9.0000000E+000, 7.6546946E-002, 3.0568177E-009
 5.6000000E-002, 2.1063961E-001, 1.6359919E-001, 1.9744165E-001, 1.9891136E-004, 1.0000000E+000, 9.0000000E+000, 7.6549762E-002, 3.1015672E-009
 5.8000000E-002, 2.1215551E-001, 1.6642189E-001, 1.9654582E-001, 2.0152974E-004, 1.0000000E+000, 9.0000000E+000, 7.6552473E-002, 3.1443062E-009
 6.0000000E-002, 2.1365191E-001, 1.6926936E-001, 1.9568252E-001, 2.0398523E-004, 1.0000000E+000, 9.0000000E+000, 7.6555037E-002, 3.1842903E-009
 6.2000000E-002, 2.1512886E-001, 1.7214199E-001, 1.9485183E-001, 2.0628011E-004, 1.0000000E+000, 9.0000000E+000, 7.6557466E-002, 3.2215664E-009
 6.4000000E-002, 2.1658647E-001, 1.7504023E-001, 1.9405639E-001, 2.0842021E-004, 1.0000000E+000, 9.0000000E+000, 7.6559773E-002, 3.2562403E-009
 6.6000000E-002, 2.1802487E-001, 1.7796459E-001, 1.9329867E-001, 2.1041303E-004, 1.0000000E+000, 9.0000000E+000, 7.6561970E-002, 3.2884461E-009
 6.8000000E-002, 2.1944420E-001, 1.8091560E-001, 1.9258084E-001, 2.1226794E-004, 1.0000000E+000, 9.0000000E+000, 7.6564069E-002, 3.3183483E-009
 7.0000000E-002, 2.2084467E-001, 1.8389387E-001, 1.9190477E-001, 2.1399571E-004, 1.0000000E+000, 9.0000000E+000, 7.6566079E-002, 3.3461351E-009
 7.2000000E-002, 2.2222646E-001, 1.8690005E-001, 1.9127197E-001, 2.1560861E-004, 1.0000000E+000, 9.0000000E+000, 7.6568011E-002, 3.3720186E-009
 7.4000000E-002, 2.2358979E-001, 1.8993486E-001, 1.9068357E-001, 2.1711998E-004, 1.0000000E+000, 9.0000000E+000, 7.6569874E-002, 3.3962285E-009
 7.6000000E-002, 2.2493490E-001, 1.9299909E-001, 1.9014032E-001, 2.1854425E-004, 1.0000000E+000, 9.0000000E+000, 7.6571676E-002, 3.4190115E-009
 7.8000000E-002, 2.2626201E-001, 1.9609357E-001, 1.8964254E-001, 2.1989652E-004, 1.0000000E+000, 9.0000000E+000, 7.6573424E-002, 3.4406246E-009
 8.0000000E-002, 2.2757137E-001, 1.9921919E-001, 1.8919010E-001, 2.2119251E-004, 1.0000000E+000, 9.0000000E+000, 7.6575124E-002, 3.4613340E-009
 8.2000000E-002, 2.2886320E-001, 2.0237693E-001, 1.8878245E-001, 2.2244821E-004, 1.0000000E+000, 9.0000000E+000, 7.6576783E-002, 3.4814087E-009
 8.4000000E-002, 2.3013770E-001, 2.0556780E-001, 1.8841856E-001, 2.2367973E-004, 1.0000000E+000, 9.0000000E+000, 7.6578405E-002, 3.5011192E-009
 8.6000000E-002, 2.3139508E-001, 2.0879287E-001, 1.8809696E-001, 2.2490306E-004, 1.0000000E+000, 9.0000000E+000, 7.6579995E-002, 3.5207318E-009
 8.8000000E-002, 2.3263550E-001, 2.1205326E-001, 1.8781567E-001, 2.2613391E-004, 1.0000000E+000, 9.0000000E+000, 7.6581555E-002, 3.5405070E-009
 9.0000000E-002, 2.3385909E-001, 2.1535015E-001, 1.8757227E-001, 2.2738745E-004, 1.0000000E+000, 9.0000000E+000, 7.6583088E-002, 3.5606950E-009
 9.2000000E-002, 2.3506594E-001, 2.1868474E-001, 1.8736391E-001, 2.2867825E-004, 1.0000000E+000, 9.0000000E+000, 7.6584598E-002, 3.5815342E-009
 9.4000000E-002, 2.3625609E-001, 2.2205828E-001, 1.8718727E-001, 2.3002001E-004, 1.0000000E+000, 9.0000000E+000, 7.6586085E-002, 3.6032475E-009
 9.6000000E-002, 2.3742953E-001, 2.2547204E-001, 1.8703862E-001, 2.3142554E-004, 1.0000000E+000, 9.0000000E+000, 7.6587552E-002, 3.6260416E-009
 9.8000000E-002, 2.3858619E-001, 2.2892734E-001, 1.8691387E-001, 2.3290659E-004, 1.0000000E+000, 9.0000000E+000, 7.6588998E-002, 3.6501040E-009
 1.0000000E-001, 2.3972592E-001, 2.3242548E-001, 1.8680854E-001, 2.3447381E-004, 1.0000000E+000, 9.0000000E+000, 7.6590426E-002, 3.6756032E-009
 1.0200000E-001, 2.3989668E-001, 2.3522508E-001, 8.8079195E-002, 1.7758381E-004, 1.0000000E+000, 9.0000000E+000, 7.6540644E-002, 2.7438023E-009
 1.0400000E-001, 2.4001626E-001, 2.3803778E-001, 8.4254794E-002, 1.7658235E-004, 1.0000000E+000, 9.0000000E+000, 7.6539709E-002, 2.7269222E-009
 1.0600000E-001, 2.4011806E-001, 2.4088594E-001, 8.3860453E-002, 1.7741452E-004, 1.0000000E+000, 9.0000000E+000, 7.6540909E-002, 2.7402319E-009
 1.0800000E-001, 2.4020294E-001, 2.4377107E-001, 8.3580759E-002, 1.7837609E-004, 1.0000000E+000, 9.0000000E+000, 7.6542148E-002, 2.7556454E-009
 1.1000000E-001, 2.4027069E-001, 2.4669403E-001, 8.3306127E-002, 1.7941577E-004, 1.0000000E+000, 9.0000000E+000, 7.6543362E-002, 2.7723073E-009
 1.1200000E-001, 2.4032098E-001, 2.4965561E-001, 8.3028043E-002, 1.8053376E-004, 1.0000000E+000, 9.0000000E+000, 7.6544552E-002, 2.7902103E-009
 1.1400000E-001, 2.4035341E-001, 2.5265657E-001, 8.2741352E-002, 1.8173076E-004, 1.0000000E+000, 9.0000000E+000, 7.6545722E-002, 2.8093565E-009
 1.1600000E-001, 2.4036753E-001, 2.5569765E-001, 8.2441192E-002, 1.8300654E-004, 1.0000000E+000, 9.0000000E+000, 7.6546874E-002, 2.8297322E-009
 1.1800000E-001, 2.4036282E-001, 2.5877956E-001, 8.2122959E-002, 1.8435989E-004, 1.0000000E+000, 9.0000000E+000, 7.6548011E-002, 2.8513089E-009
 1.2000000E-001, 2.4033870E-001, 2.6190297E-001, 8.1782343E-002, 1.8578877E-004, 1.0000000E+000, 9.0000000E+000, 7.6549135E-002, 2.8740444E-009
 1.2200000E-001, 2.4029455E-001, 2.6506854E-001, 8.1415374E-002, 1.8729038E-004, 1.0000000E+000, 9.0000000E+000, 7.6550249E-002, 2.8978850E-009
 1.2400000E-001, 2.4022969E-001, 2.6827689E-001, 8.1018459E-002, 1.8886124E-004, 1.0000000E+000, 9.0000000E+000, 7.6551354E-002, 2.9227665E-009
 1.2600000E-001, 2.4014340E-001, 2.7152862E-001, 8.0588412E-002, 1.9049730E-004, 1.0000000E+000, 9.0000000E+000, 7.6552453E-002, 2.9486162E-009
 1.2800000E-001, 2.4003496E-001, 2.7482430E-001, 8.0122478E-002, 1.9219401E-004, 1.0000000E+000, 9.0000000E+000, 7.6553546E-002, 2.9753538E-009
 1.3000000E-001, 2.3990357E-001, 2.7816450E-001, 7.9618339E-002, 1.9394638E-004, 1.0000000E+000, 9.0000000E+000, 7.6554636E-002, 3.0028932E-009
 1.3200000E-001, 2.3974845E-001, 2.8154977E-001, 7.9074153E-002, 1.9574909E-004, 1.0000000E+000, 9.0000000E+000, 7.6555722E-002, 3.0311433E-009
 1.3400000E-001, 2.3956880E-001, 2.8498063E-001, 7.8488528E-002, 1.9759656E-004, 1.0000000E+000, 9.0000000E+000, 7.6556805E-002, 3.0600099E-009
 1.3600000E-001, 2.3936379E-001, 2.8845763E-001, 7.7860539E-002, 1.9948299E-004, 1.0000000E+000, 9.0000000E+000, 7.6557887E-002, 3.0893960E-009
 1.3800000E-001, 2.3913261E-001, 2.9198130E-001, 7.7189714E-002, 2.0140244E-004, 1.0000000E+000, 9.0000000E+000, 7.6558966E-002, 3.1192034E-009
 1.4000000E-001, 2.3887443E-001, 2.9555218E-001, 7.6476034E-002, 2.0334890E-004, 1.0000000E+000, 9.0000000E+000, 7.6560042E-002, 3.1493333E-009
 1.4200000E-001, 2.3858847E-001, 2.9917083E-001, 7.5719904E-002, 2.0531636E-004, 1.0000000E+000, 9.0000000E+000, 7.6561116E-002, 3.1796876E-009
 1.4400000E-001, 2.3827391E-001, 3.0283783E-001, 7.4922146E-002, 2.0729880E-004, 1.0000000E+000, 9.0000000E+000, 7.6562185E-002, 3.2101695E-009
 1.4600000E-001, 2.3793000E-001, 3.0655376E-001, 7.4083982E-002, 2.0929034E-004, 1.0000000E+000, 9.0000000E+000, 7.6563250E-002, 3.2406845E-009
 1.4800000E-001, 2.3755596E-001, 3.1031924E-001, 7.3207006E-002, 2.1128521E-004, 1.0000000E+000, 9.0000000E+000, 7.6564309E-002, 3.2711406E-009
 1.5000000E-001, 2.3715108E-001, 3.1413494E-001, 7.2293168E-002, 2.1327784E-004, 1.0000000E+000, 9.0000000E+000, 7.6565360E-002, 3.3014499E-009
 1.5200000E-001, 2.3570062E-001, 3.1715385E-001,-3.4639164E-002, 1.5652331E-004, 1.0000000E+000, 9.0000000E+000, 7.6525517E-002, 2.3911841E-009
 1.5400000E-001, 2.3418538E-001, 3.2018630E-001,-3.9414468E-002, 1.5556444E-004, 1.0000000E+000, 9.0000000E+000, 7.6524062E-002, 2.3732040E-009
