s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0000000E-003, 1.4613496E-001, 8.3285942E-002, 1.5228169E+001, 1.0851693E-002, 7.0000000E+000, 5.0000000E+001, 5.4150105E-001, 6.4954660E-009
 4.0000000E-003, 1.4666721E-001, 8.6717062E-002, 1.4423634E-001, 1.0511841E-002, 7.0000000E+000, 4.6000000E+001, 5.4942275E-001, 9.1874065E-009
 6.0000000E-003, 1.4921012E-001, 8.9535966E-002, 3.0030850E-001, 1.1301813E-002, 1.0000000E+000, 4.7000000E+001, 5.4626648E-001, 3.5987508E-009
 8.0000000E-003, 1.5244946E-001, 9.2142115E-002, 3.3607489E-001, 5.1721223E-003, 1.0000000E+000, 4.6000000E+001, 5.5027845E-001, 9.3747673E-009
 1.0000000E-002, 1.5569285E-001, 9.4752791E-002, 3.3879039E-001, 1.5157852E-003, 1.0000000E+000, 4.6000000E+001, 5.4979159E-001, 9.2562488E-009
 1.2000000E-002, 1.5859883E-001, 9.7483800E-002, 3.2246872E-001, 4.3850702E-003, 1.0000000E+000, 4.6000000E+001, 5.5007561E-001, 9.8105534E-009
 1.4000000E-002, 1.6118849E-001, 1.0033577E-001, 3.0518190E-001, 4.1372846E-003, 1.0000000E+000, 4.7000000E+001, 5.4380899E-001, 3.2759413E-009
 1.6000000E-002, 1.6364481E-001, 1.0325265E-001, 2.9644987E-001, 2.4452636E-003, 1.0000000E+000, 4.7000000E+001, 5.4437594E-001, 3.5518006E-009
 1.8000000E-002, 1.6612466E-001, 1.0618183E-001, 2.9619687E-001, 9.8256409E-004, 1.0000000E+000, 4.7000000E+001, 5.4407822E-001, 3.5359237E-009
 2.0000000E-002, 1.6868376E-001, 1.0910184E-001, 2.9973010E-001, 4.6948885E-004, 1.0000000E+000, 4.7000000E+001, 5.4352848E-001, 3.4243916E-009
 2.2000000E-002, 1.7129770E-001, 1.1201865E-001, 3.0274960E-001, 6.7401442E-004, 1.0000000E+000, 4.7000000E+001, 5.4320204E-001, 3.3773201E-009
 2.4000000E-002, 1.7391715E-001, 1.1494877E-001, 3.0353791E-001, 1.1428789E-003, 1.0000000E+000, 4.6000000E+001, 5.4816280E-001, 9.5916786E-009
 2.6000000E-002, 1.7650838E-001, 1.1790504E-001, 3.0256112E-001, 1.4632307E-003, 1.0000000E+000, 4.6000000E+001, 5.4755378E-001, 9.2642297E-009
 2.8000000E-002, 1.7906383E-001, 1.2089173E-001, 3.0105361E-001, 1.5249642E-003, 1.0000000E+000, 4.6000000E+001, 5.4722057E-001, 9.1598311E-009
 3.0000000E-002, 1.8159244E-001, 1.2390675E-001, 2.9991186E-001, 1.4091752E-003, 1.0000000E+000, 4.6000000E+001, 5.4730675E-001, 9.3774952E-009
 3.2000000E-002, 1.8410572E-001, 1.2694639E-001, 2.9935910E-001, 1.2512166E-003, 1.0000000E+000, 4.6000000E+001, 5.4762876E-001, 9.7873339E-009
 3.4000000E-002, 1.8660961E-001, 1.3000845E-001, 2.9916652E-001, 1.1365715E-003, 1.0000000E+000, 4.7000000E+001, 5.4252089E-001, 3.5046333E-009
 3.6000000E-002, 1.8910372E-001, 1.3309301E-001, 2.9901552E-001, 1.0789346E-003, 1.0000000E+000, 4.7000000E+001, 5.4246055E-001, 3.5424186E-009
 3.8000000E-002, 1.9158454E-001, 1.3620152E-001, 2.9872269E-001, 1.0493192E-003, 1.0000000E+000, 4.7000000E+001, 5.4236011E-001, 3.5705025E-009
 4.0000000E-002, 1.9404874E-001, 1.3933559E-001, 2.9827217E-001, 1.0140836E-003, 1.0000000E+000, 4.7000000E+001, 5.4218600E-001, 3.5783372E-009
 4.2000000E-002, 1.9649464E-001, 1.4249631E-001, 2.9773738E-001, 9.5617287E-004, 1.0000000E+000, 4.7000000E+001, 5.4188517E-001, 3.5489592E-009
 4.4000000E-002, 1.9892204E-001, 1.4568418E-001, 2.9719388E-001, 8.7640947E-004, 1.0000000E+000, 4.7000000E+001, 5.4157094E-001, 3.5170670E-009
 4.6000000E-002, 2.0133129E-001, 1.4889944E-001, 2.9667671E-001, 7.8426822E-004, 1.0000000E+000, 4.7000000E+001, 5.4166035E-001, 3.6106304E-009
 4.8000000E-002, 2.0372258E-001, 1.5214235E-001, 2.9618303E-001, 7.1860665E-004, 1.0000000E+000, 4.7000000E+001, 5.4177003E-001, 3.7138140E-009
 5.0000000E-002, 2.0609567E-001, 1.5541333E-001, 2.9569476E-001, 7.2072560E-004, 1.0000000E+000, 4.7000000E+001, 5.4173992E-001, 3.7742254E-009
 5.2000000E-002, 2.0743130E-001, 1.5828402E-001, 1.9118408E-001, 1.1496710E-003, 1.0000000E+000, 4.7000000E+001, 5.4105707E-001, 3.5975299E-009
 5.4000000E-002, 2.0902856E-001, 1.6102860E-001, 2.0781080E-001, 1.1651610E-003, 1.0000000E+000, 4.7000000E+001, 5.3949797E-001, 3.1607145E-009
 5.6000000E-002, 2.1069957E-001, 1.6376792E-001, 2.1437305E-001, 5.9016994E-004, 1.0000000E+000, 4.7000000E+001, 5.3906123E-001, 3.0697696E-009
 5.8000000E-002, 2.1231393E-001, 1.6655680E-001, 2.1349621E-001, 7.4094672E-004, 1.0000000E+000, 4.7000000E+001, 5.3939502E-001, 3.2029365E-009
 6.0000000E-002, 2.1383575E-001, 1.6940049E-001, 2.0997626E-001, 1.0398742E-003, 1.0000000E+000, 4.7000000E+001, 5.3984000E-001, 3.3826774E-009
 6.2000000E-002, 2.1528899E-001, 1.7228607E-001, 2.0707836E-001, 9.3742350E-004, 1.0000000E+000, 4.7000000E+001, 5.4005657E-001, 3.5004325E-009
 6.4000000E-002, 2.1671166E-001, 1.7520020E-001, 2.0584625E-001, 6.6565519E-004, 1.0000000E+000, 4.5000000E+001, 5.3730439E-001, 9.6652370E-009
 6.6000000E-002, 2.1812799E-001, 1.7813563E-001, 2.0583808E-001, 4.6499292E-004, 1.0000000E+000, 4.7000000E+001, 5.3991627E-001, 3.5456326E-009
 6.8000000E-002, 2.1954270E-001, 1.8109147E-001, 2.0616605E-001, 5.8583716E-004, 1.0000000E+000, 4.7000000E+001, 5.3982779E-001, 3.5565011E-009
 7.0000000E-002, 2.2094864E-001, 1.8407072E-001, 2.0621009E-001, 5.8189604E-004, 1.0000000E+000, 4.7000000E+001, 5.3976401E-001, 3.5740892E-009
 7.2000000E-002, 2.2233693E-001, 1.8707718E-001, 2.0582369E-001, 5.4438176E-004, 1.0000000E+000, 4.7000000E+001, 5.3974981E-001, 3.6067058E-009
 7.4000000E-002, 2.2370282E-001, 1.9011349E-001, 2.0517912E-001, 5.2893041E-004, 1.0000000E+000, 4.7000000E+001, 5.3976972E-001, 3.6491813E-009
 7.6000000E-002, 2.2504633E-001, 1.9318067E-001, 2.0451475E-001, 5.4242364E-004, 1.0000000E+000, 4.7000000E+001, 5.3979029E-001, 3.6903003E-009
 7.8000000E-002, 2.2636992E-001, 1.9627886E-001, 2.0397254E-001, 5.6490493E-004, 1.0000000E+000, 4.7000000E+001, 5.3980868E-001, 3.7286648E-009
 8.0000000E-002, 2.2767597E-001, 1.9940817E-001, 2.0357088E-001, 5.7508973E-004, 1.0000000E+000, 4.7000000E+001, 5.3982241E-001, 3.7633736E-009
 8.2000000E-002, 2.2896562E-001, 2.0256917E-001, 2.0325968E-001, 5.6323038E-004, 1.0000000E+000, 4.7000000E+001, 5.3983667E-001, 3.7962534E-009
 8.4000000E-002, 2.3023890E-001, 2.0576290E-001, 2.0298492E-001, 5.3546069E-004, 1.0000000E+000, 4.7000000E+001, 5.3985411E-001, 3.8283753E-009
 8.6000000E-002, 2.3149541E-001, 2.0899068E-001, 2.0272150E-001, 5.0099756E-004, 1.0000000E+000, 4.7000000E+001, 5.3987465E-001, 3.8598588E-009
 8.8000000E-002, 2.3273485E-001, 2.1225384E-001, 2.0247249E-001, 4.5817802E-004, 1.0000000E+000, 4.7000000E+001, 5.3989638E-001, 3.8901477E-009
 9.0000000E-002, 2.3395721E-001, 2.1555364E-001, 2.0225251E-001, 4.0986582E-004, 1.0000000E+000, 4.7000000E+001, 5.3991607E-001, 3.9182183E-009
 9.2000000E-002, 2.3516270E-001, 2.1889127E-001, 2.0207293E-001, 3.5641646E-004, 1.0000000E+000, 4.7000000E+001, 5.3993285E-001, 3.9438500E-009
 9.4000000E-002, 2.3635152E-001, 2.2226795E-001, 2.0193629E-001, 2.9733957E-004, 1.0000000E+000, 4.7000000E+001, 5.3994434E-001, 3.9663612E-009
 9.6000000E-002, 2.3752378E-001, 2.2568491E-001, 2.0183824E-001, 2.3261189E-004, 1.0000000E+000, 4.7000000E+001, 5.3995214E-001, 3.9864714E-009
 9.8000000E-002, 2.3867943E-001, 2.2914346E-001, 2.0177205E-001, 1.9784009E-004, 1.0000000E+000, 4.7000000E+001, 5.3995535E-001, 4.0040726E-009
 1.0000000E-001, 2.3981831E-001, 2.3264494E-001, 2.0173184E-001, 1.9802364E-004, 1.0000000E+000, 4.7000000E+001, 5.3995533E-001, 4.0198684E-009
 1.0200000E-001, 2.3969736E-001, 2.3558123E-001, 7.4124476E-002, 1.3899863E-003, 1.0000000E+000, 4.7000000E+001, 5.3991917E-001, 4.0023992E-009
 1.0400000E-001, 2.3985418E-001, 2.3834995E-001, 9.1278839E-002, 1.5896150E-003, 1.0000000E+000, 4.6000000E+001, 5.3767902E-001, 6.0913691E-009
 1.0600000E-001, 2.4009728E-001, 2.4111796E-001, 9.8675137E-002, 8.2616014E-004, 1.0000000E+000, 4.5000000E+001, 5.3410716E-001, 8.3664708E-009
 1.0800000E-001, 2.4028820E-001, 2.4395789E-001, 9.8488270E-002, 3.5233767E-004, 1.0000000E+000, 4.5000000E+001, 5.3449358E-001, 8.6424190E-009
 1.1000000E-001, 2.4038539E-001, 2.4687532E-001, 9.5415612E-002, 8.3611998E-004, 1.0000000E+000, 4.5000000E+001, 5.3492671E-001, 8.9801297E-009
 1.1200000E-001, 2.4041160E-001, 2.4985280E-001, 9.2843894E-002, 7.7430619E-004, 1.0000000E+000, 4.6000000E+001, 5.3375633E-001, 4.3520713E-009
 1.1400000E-001, 2.4040639E-001, 2.5287329E-001, 9.1948425E-002, 4.9019007E-004, 1.0000000E+000, 4.6000000E+001, 5.3836236E-001, 6.4691231E-009
 1.1600000E-001, 2.4039590E-001, 2.5592782E-001, 9.2335324E-002, 2.8598102E-004, 1.0000000E+000, 4.6000000E+001, 5.4139358E-001, 8.3791111E-009
 1.1800000E-001, 2.4038552E-001, 2.5901544E-001, 9.3088863E-002, 2.5996261E-004, 1.0000000E+000, 4.6000000E+001, 5.4284337E-001, 9.4799246E-009
 1.2000000E-001, 2.4036734E-001, 2.6213996E-001, 9.3532513E-002, 3.5080722E-004, 1.0000000E+000, 4.7000000E+001, 5.4028257E-001, 4.1245048E-009
 1.2200000E-001, 2.4033087E-001, 2.6530602E-001, 9.3475731E-002, 4.5785102E-004, 1.0000000E+000, 4.7000000E+001, 5.4049164E-001, 4.2071059E-009
 1.2400000E-001, 2.4026975E-001, 2.6851660E-001, 9.3074841E-002, 5.2078087E-004, 1.0000000E+000, 4.7000000E+001, 5.4069811E-001, 4.2930064E-009
 1.2600000E-001, 2.4018269E-001, 2.7177259E-001, 9.2573697E-002, 5.3284097E-004, 1.0000000E+000, 4.7000000E+001, 5.4088637E-001, 4.3757864E-009
 1.2800000E-001, 2.4007120E-001, 2.7507366E-001, 9.2125671E-002, 5.1624129E-004, 1.0000000E+000, 4.7000000E+001, 5.4104311E-001, 4.4497121E-009
 1.3000000E-001, 2.3993685E-001, 2.7841934E-001, 9.1755010E-002, 4.9445293E-004, 1.0000000E+000, 4.7000000E+001, 5.4117151E-001, 4.5155764E-009
 1.3200000E-001, 2.3977995E-001, 2.8180968E-001, 9.1409241E-002, 4.7861001E-004, 1.0000000E+000, 4.7000000E+001, 5.4127863E-001, 4.5760191E-009
 1.3400000E-001, 2.3959952E-001, 2.8524526E-001, 9.1027357E-002, 4.6795628E-004, 1.0000000E+000, 4.7000000E+001, 5.4136986E-001, 4.6331856E-009
 1.3600000E-001, 2.3939409E-001, 2.8872689E-001, 9.0577834E-002, 4.5662478E-004, 1.0000000E+000, 4.7000000E+001, 5.4144698E-001, 4.6877480E-009
 1.3800000E-001, 2.3916227E-001, 2.9225534E-001, 9.0060697E-002, 4.3970578E-004, 1.0000000E+000, 4.7000000E+001, 5.4150733E-001, 4.7384863E-009
 1.4000000E-001, 2.3890304E-001, 2.9583124E-001, 8.9491019E-002, 4.1565806E-004, 1.0000000E+000, 4.7000000E+001, 5.4154849E-001, 4.7841771E-009
 1.4200000E-001, 2.3861566E-001, 2.9945511E-001, 8.8882659E-002, 4.3360913E-004, 1.0000000E+000, 4.7000000E+001, 5.4156307E-001, 4.8214822E-009
 1.4400000E-001, 2.3829952E-001, 3.0312744E-001, 8.8241234E-002, 4.6559876E-004, 1.0000000E+000, 4.7000000E+001, 5.4155374E-001, 4.8512417E-009
 1.4600000E-001, 2.3795393E-001, 3.0684877E-001, 8.7565495E-002, 4.9581200E-004, 1.0000000E+000, 4.7000000E+001, 5.4153414E-001, 4.8790157E-009
 1.4800000E-001, 2.3757817E-001, 3.1061971E-001, 8.6852002E-002, 5.2421323E-004, 1.0000000E+000, 4.7000000E+001, 5.4148368E-001, 4.8959275E-009
 1.5000000E-001, 2.3717145E-001, 3.1444091E-001, 8.6098808E-002, 5.5024128E-004, 1.0000000E+000, 4.7000000E+001, 5.4141068E-001, 4.9052982E-009
 1.5200000E-001, 2.3544714E-001, 3.1761560E-001,-4.7305411E-002, 1.3002803E-003, 1.0000000E+000, 4.7000000E+001, 5.4023322E-001, 4.4453635E-009
 1.5400000E-001, 2.3395992E-001, 3.2060112E-001,-3.3260921E-002, 1.5593914E-003, 1.0000000E+000, 4.7000000E+001, 5.3870265E-001, 3.8939702E-009
