s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0000000E-003, 1.4505411E-001, 8.3629307E-002, 1.5180090E+001, 2.7755576E-017, 1.0000000E+001, 5.7000000E+001, 5.8151665E-001, 4.3824102E-009
 4.0000000E-003, 1.4771453E-001, 8.6387794E-002, 3.0085283E-001, 5.5511151E-017, 1.0000000E+000, 5.5000000E+001, 6.0383565E-001, 6.6091433E-009
 6.0000000E-003, 1.5037033E-001, 8.9162451E-002, 3.0112536E-001, 2.7755576E-017, 1.0000000E+000, 5.5000000E+001, 6.0412813E-001, 7.0088507E-009
 8.0000000E-003, 1.5301986E-001, 9.1953844E-002, 3.0112204E-001, 5.5511151E-017, 1.0000000E+000, 5.5000000E+001, 6.0435129E-001, 7.3966157E-009
 1.0000000E-002, 1.5566239E-001, 9.4762475E-002, 3.0108083E-001, 5.5511151E-017, 1.0000000E+000, 5.5000000E+001, 6.0465262E-001, 7.8487212E-009
 1.2000000E-002, 1.5829733E-001, 9.7588930E-002, 3.0100315E-001, 5.5511151E-017, 1.0000000E+000, 5.5000000E+001, 6.0490632E-001, 8.2666643E-009
 1.4000000E-002, 1.6092397E-001, 1.0043374E-001, 3.0089022E-001, 2.7755576E-017, 1.0000000E+000, 5.5000000E+001, 6.0517814E-001, 8.6898339E-009
 1.6000000E-002, 1.6354170E-001, 1.0329748E-001, 3.0074305E-001, 2.7755576E-017, 1.0000000E+000, 5.5000000E+001, 6.0542915E-001, 9.0852451E-009
 1.8000000E-002, 1.6614986E-001, 1.0618071E-001, 3.0056258E-001, 1.1102230E-016, 1.0000000E+000, 5.5000000E+001, 6.0472091E-001, 8.6782010E-009
 2.0000000E-002, 1.6874782E-001, 1.0908401E-001, 3.0034966E-001, 5.5511151E-017, 1.0000000E+000, 5.5000000E+001, 6.0593137E-001, 9.8424296E-009
 2.2000000E-002, 1.7133492E-001, 1.1200794E-001, 3.0010517E-001, 2.7755576E-017, 1.0000000E+000, 5.6000000E+001, 6.0130845E-001, 3.9379774E-009
 2.4000000E-002, 1.7391053E-001, 1.1495307E-001, 2.9983002E-001, 5.5511151E-017, 1.0000000E+000, 5.6000000E+001, 6.0137992E-001, 4.0135031E-009
 2.6000000E-002, 1.7647401E-001, 1.1791996E-001, 2.9952519E-001, 5.5511151E-017, 1.0000000E+000, 5.6000000E+001, 6.0144470E-001, 4.0839802E-009
 2.8000000E-002, 1.7902473E-001, 1.2090918E-001, 2.9919178E-001, 5.5511151E-017, 1.0000000E+000, 5.6000000E+001, 6.0142117E-001, 4.1196779E-009
 3.0000000E-002, 1.8156208E-001, 1.2392129E-001, 2.9883101E-001, 5.5511151E-017, 1.0000000E+000, 5.6000000E+001, 6.0135014E-001, 4.1370832E-009
 3.2000000E-002, 1.8408543E-001, 1.2695683E-001, 2.9844426E-001, 2.7755576E-017, 1.0000000E+000, 5.6000000E+001, 6.0126544E-001, 4.1504682E-009
 3.4000000E-002, 1.8659420E-001, 1.3001634E-001, 2.9803306E-001, 2.7755576E-017, 1.0000000E+000, 5.6000000E+001, 6.0101804E-001, 4.1035726E-009
 3.6000000E-002, 1.8908781E-001, 1.3310037E-001, 2.9759914E-001, 5.5511151E-017, 1.0000000E+000, 5.4000000E+001, 5.9430866E-001, 6.2736803E-009
 3.8000000E-002, 1.9156569E-001, 1.3620945E-001, 2.9714441E-001, 5.5511151E-017, 1.0000000E+000, 5.5000000E+001, 6.0432513E-001, 9.4746041E-009
 4.0000000E-002, 1.9402731E-001, 1.3934410E-001, 2.9667097E-001, 5.5511151E-017, 1.0000000E+000, 5.6000000E+001, 6.0084108E-001, 4.2018810E-009
 4.2000000E-002, 1.9647214E-001, 1.4250484E-001, 2.9618109E-001, 5.5511151E-017, 1.0000000E+000, 5.6000000E+001, 6.0082748E-001, 4.2614256E-009
 4.4000000E-002, 1.9889970E-001, 1.4569219E-001, 2.9567726E-001, 5.5511151E-017, 1.0000000E+000, 5.6000000E+001, 6.0122151E-001, 4.4934290E-009
 4.6000000E-002, 2.0130953E-001, 1.4890668E-001, 2.9516212E-001, 5.5511151E-017, 1.0000000E+000, 5.6000000E+001, 6.0172081E-001, 4.7888336E-009
 4.8000000E-002, 2.0370120E-001, 1.5214884E-001, 2.9463850E-001, 5.5511151E-017, 1.0000000E+000, 5.6000000E+001, 6.0210576E-001, 5.0534078E-009
 5.0000000E-002, 2.0607432E-001, 1.5541921E-001, 2.9410938E-001, 5.5511151E-017, 1.0000000E+000, 5.6000000E+001, 6.0238601E-001, 5.2842643E-009
 5.2000000E-002, 2.0764912E-001, 1.5817283E-001, 2.1090883E-001, 5.5511151E-017, 1.0000000E+000, 5.6000000E+001, 6.0269027E-001, 5.5027922E-009
 5.4000000E-002, 2.0920434E-001, 1.6095015E-001, 2.1014735E-001, 5.5511151E-017, 1.0000000E+000, 5.6000000E+001, 6.0276673E-001, 5.6208572E-009
 5.6000000E-002, 2.1073991E-001, 1.6375149E-001, 2.0939822E-001, 5.5511151E-017, 1.0000000E+000, 5.6000000E+001, 6.0284858E-001, 5.7465162E-009
 5.8000000E-002, 2.1225584E-001, 1.6657718E-001, 2.0866543E-001, 5.5511151E-017, 1.0000000E+000, 5.6000000E+001, 6.0296545E-001, 5.8954433E-009
 6.0000000E-002, 2.1375215E-001, 1.6942761E-001, 2.0795220E-001, 5.5511151E-017, 1.0000000E+000, 5.6000000E+001, 6.0315302E-001, 6.0884888E-009
 6.2000000E-002, 2.1522891E-001, 1.7230317E-001, 2.0726163E-001, 5.5511151E-017, 1.0000000E+000, 5.6000000E+001, 6.0340952E-001, 6.3277455E-009
 6.4000000E-002, 2.1668623E-001, 1.7520432E-001, 2.0659672E-001, 5.5511151E-017, 1.0000000E+000, 5.6000000E+001, 6.0369613E-001, 6.5934135E-009
 6.6000000E-002, 2.1812424E-001, 1.7813156E-001, 2.0596033E-001, 5.5511151E-017, 1.0000000E+000, 5.6000000E+001, 6.0397399E-001, 6.8624219E-009
 6.8000000E-002, 2.1954311E-001, 1.8108545E-001, 2.0535511E-001, 1.1102230E-016, 1.0000000E+000, 5.6000000E+001, 6.0421779E-001, 7.1168473E-009
 7.0000000E-002, 2.2094303E-001, 1.8406659E-001, 2.0478351E-001, 5.5511151E-017, 1.0000000E+000, 5.6000000E+001, 6.0440817E-001, 7.3405165E-009
 7.2000000E-002, 2.2232420E-001, 1.8707564E-001, 2.0424771E-001, 5.5511151E-017, 1.0000000E+000, 5.6000000E+001, 6.0452083E-001, 7.5125559E-009
 7.4000000E-002, 2.2368686E-001, 1.9011335E-001, 2.0374959E-001, 5.5511151E-017, 1.0000000E+000, 5.6000000E+001, 6.0451362E-001, 7.5989518E-009
 7.6000000E-002, 2.2503125E-001, 1.9318048E-001, 2.0329072E-001, 5.5511151E-017, 1.0000000E+000, 5.6000000E+001, 6.0430719E-001, 7.5407245E-009
 7.8000000E-002, 2.2635760E-001, 1.9627790E-001, 2.0287228E-001, 5.5511151E-017, 1.0000000E+000, 5.6000000E+001, 6.0376793E-001, 7.2504552E-009
 8.0000000E-002, 2.2766617E-001, 1.9940651E-001, 2.0249507E-001, 5.5511151E-017, 1.0000000E+000, 5.6000000E+001, 6.0281411E-001, 6.7030466E-009
 8.2000000E-002, 2.2895718E-001, 2.0256730E-001, 2.0215948E-001, 5.5511151E-017, 1.0000000E+000, 5.6000000E+001, 6.0200163E-001, 6.2736753E-009
 8.4000000E-002, 2.3023085E-001, 2.0576127E-001, 2.0186542E-001, 5.5511151E-017, 1.0000000E+000, 5.6000000E+001, 6.0239479E-001, 6.5637225E-009
 8.6000000E-002, 2.3148740E-001, 2.0898952E-001, 2.0161237E-001, 5.5511151E-017, 1.0000000E+000, 5.6000000E+001, 6.0351779E-001, 7.3435159E-009
 8.8000000E-002, 2.3272698E-001, 2.1225318E-001, 2.0139931E-001, 5.5511151E-017, 1.0000000E+000, 5.6000000E+001, 6.0456845E-001, 8.1542604E-009
 9.0000000E-002, 2.3394975E-001, 2.1555343E-001, 2.0122473E-001, 5.5511151E-017, 1.0000000E+000, 5.6000000E+001, 6.0539484E-001, 8.8617713E-009
 9.2000000E-002, 2.3515578E-001, 2.1889149E-001, 2.0108665E-001, 5.5511151E-017, 1.0000000E+000, 5.6000000E+001, 6.0603509E-001, 9.4601612E-009
 9.4000000E-002, 2.3634513E-001, 2.2226861E-001, 2.0098260E-001, 5.5511151E-017, 1.0000000E+000, 5.6000000E+001, 6.0654398E-001, 9.9715016E-009
 9.6000000E-002, 2.3751779E-001, 2.2568607E-001, 2.0090964E-001, 5.5511151E-017, 1.0000000E+000, 5.7000000E+001, 5.9911595E-001, 3.0119185E-009
 9.8000000E-002, 2.3867369E-001, 2.2914519E-001, 2.0086439E-001, 5.5511151E-017, 1.0000000E+000, 5.7000000E+001, 5.9927634E-001, 3.0729026E-009
 1.0000000E-001, 2.3981269E-001, 2.3264729E-001, 2.0084304E-001, 5.5511151E-017, 1.0000000E+000, 5.7000000E+001, 5.9943193E-001, 3.1326406E-009
 1.0200000E-001, 2.3994657E-001, 2.3542732E-001, 9.5106283E-002, 5.5511151E-017, 1.0000000E+000, 5.5000000E+001, 6.0004243E-001, 9.2207006E-009
 1.0400000E-001, 2.4006389E-001, 2.3824273E-001, 9.4853573E-002, 2.7755576E-017, 1.0000000E+000, 5.6000000E+001, 6.0421234E-001, 8.1569361E-009
 1.0600000E-001, 2.4016452E-001, 2.4109439E-001, 9.4616204E-002, 1.1102230E-016, 1.0000000E+000, 5.6000000E+001, 6.0529926E-001, 9.0224215E-009
 1.0800000E-001, 2.4024827E-001, 2.4398316E-001, 9.4389731E-002, 1.1102230E-016, 1.0000000E+000, 5.6000000E+001, 6.0616180E-001, 9.7723949E-009
 1.1000000E-001, 2.4031488E-001, 2.4690984E-001, 9.4169097E-002, 2.7755576E-017, 1.0000000E+000, 5.7000000E+001, 5.9997849E-001, 3.3022688E-009
 1.1200000E-001, 2.4036403E-001, 2.4987525E-001, 9.3949253E-002, 5.5511151E-017, 1.0000000E+000, 5.7000000E+001, 6.0032328E-001, 3.4126377E-009
 1.1400000E-001, 2.4039532E-001, 2.5288013E-001, 9.3725231E-002, 5.5511151E-017, 1.0000000E+000, 5.7000000E+001, 6.0063848E-001, 3.5171259E-009
 1.1600000E-001, 2.4040827E-001, 2.5592523E-001, 9.3492187E-002, 1.1102230E-016, 1.0000000E+000, 5.7000000E+001, 6.0092546E-001, 3.6156820E-009
 1.1800000E-001, 2.4040236E-001, 2.5901125E-001, 9.3245476E-002, 5.5511151E-017, 1.0000000E+000, 5.7000000E+001, 6.0118451E-001, 3.7079630E-009
 1.2000000E-001, 2.4037701E-001, 2.6213887E-001, 9.2980694E-002, 5.5511151E-017, 1.0000000E+000, 5.7000000E+001, 6.0141660E-001, 3.7939123E-009
 1.2200000E-001, 2.4033159E-001, 2.6530874E-001, 9.2693729E-002, 5.5511151E-017, 1.0000000E+000, 5.7000000E+001, 6.0162434E-001, 3.8741494E-009
 1.2400000E-001, 2.4026542E-001, 2.6852147E-001, 9.2380804E-002, 1.1102230E-016, 1.0000000E+000, 5.7000000E+001, 6.0181111E-001, 3.9496694E-009
 1.2600000E-001, 2.4017777E-001, 2.7177766E-001, 9.2038515E-002, 1.1102230E-016, 1.0000000E+000, 5.7000000E+001, 6.0197980E-001, 4.0214017E-009
 1.2800000E-001, 2.4006790E-001, 2.7507789E-001, 9.1663856E-002, 2.7755576E-017, 1.0000000E+000, 5.7000000E+001, 6.0213220E-001, 4.0899161E-009
 1.3000000E-001, 2.3993503E-001, 2.7842272E-001, 9.1254234E-002, 1.1102230E-016, 1.0000000E+000, 5.7000000E+001, 6.0226919E-001, 4.1554773E-009
 1.3200000E-001, 2.3977836E-001, 2.8181268E-001, 9.0807510E-002, 2.7755576E-017, 1.0000000E+000, 5.7000000E+001, 6.0239152E-001, 4.2183123E-009
 1.3400000E-001, 2.3959707E-001, 2.8524832E-001, 9.0321979E-002, 1.1102230E-016, 1.0000000E+000, 5.7000000E+001, 6.0250059E-001, 4.2789225E-009
 1.3600000E-001, 2.3939035E-001, 2.8873017E-001, 8.9796389E-002, 5.5511151E-017, 1.0000000E+000, 5.7000000E+001, 6.0259875E-001, 4.3382048E-009
 1.3800000E-001, 2.3915737E-001, 2.9225876E-001, 8.9229934E-002, 5.5511151E-017, 1.0000000E+000, 5.7000000E+001, 6.0268888E-001, 4.3973325E-009
 1.4000000E-001, 2.3889732E-001, 2.9583464E-001, 8.8622254E-002, 5.5511151E-017, 1.0000000E+000, 5.7000000E+001, 6.0277368E-001, 4.4574371E-009
 1.4200000E-001, 2.3860938E-001, 2.9945835E-001, 8.7973416E-002, 1.1102230E-016, 1.0000000E+000, 5.7000000E+001, 6.0285477E-001, 4.5192338E-009
 1.4400000E-001, 2.3829276E-001, 3.0313047E-001, 8.7283903E-002, 1.1102230E-016, 1.0000000E+000, 5.7000000E+001, 6.0293213E-001, 4.5827449E-009
 1.4600000E-001, 2.3794667E-001, 3.0685159E-001, 8.6554606E-002, 1.1102230E-016, 1.0000000E+000, 5.7000000E+001, 6.0300404E-001, 4.6472154E-009
 1.4800000E-001, 2.3757037E-001, 3.1062235E-001, 8.5786794E-002, 1.1102230E-016, 1.0000000E+000, 5.7000000E+001, 6.0306748E-001, 4.7112514E-009
 1.5000000E-001, 2.3716312E-001, 3.1444338E-001, 8.4982108E-002, 5.5511151E-017, 1.0000000E+000, 5.7000000E+001, 6.0311879E-001, 4.7730642E-009
 1.5200000E-001, 2.3567354E-001, 3.1744369E-001,-2.9031853E-002, 1.1102230E-016, 1.0000000E+000, 5.7000000E+001, 6.0359175E-001, 5.0154955E-009
 1.5400000E-001, 2.3415416E-001, 3.2047984E-001,-3.0184491E-002, 5.5511151E-017, 1.0000000E+000, 5.7000000E+001, 6.0361987E-001, 5.0584187E-009
