s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-1.2040152E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2040152E-005, 0.0000000E+000, 0.0000000E+000
 2.0000001E-003, 0.0000000E+000,-4.6861414E-006,-4.4292259E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1290640E-006, 0.0000000E+000, 0.0000000E+000
 4.0000002E-003, 0.0000000E+000,-3.1727097E-006,-3.5177335E-007, 3.7586249E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7111678E-005,-3.5241072E-006, 0.0000000E+000, 0.0000000E+000
 6.0000001E-003, 0.0000000E+000,-3.1726054E-006,-2.8742216E-007, 7.3746255E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5941842E-005,-3.4592901E-006, 0.0000000E+000, 0.0000000E+000
 8.0000004E-003, 0.0000000E+000,-2.0342101E-006,-2.0310460E-007, 1.0931270E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6294316E-005,-2.2362216E-006, 0.0000000E+000, 0.0000000E+000
 9.9999998E-003, 0.0000000E+000,-2.0341077E-006,-1.3942262E-007, 1.4352556E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5489152E-005,-2.1720950E-006, 0.0000000E+000, 0.0000000E+000
 1.2000000E-002, 0.0000000E+000,-1.2504916E-006,-6.1893385E-008, 1.7757691E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5842196E-005,-1.3106093E-006, 0.0000000E+000, 0.0000000E+000
 1.4000000E-002, 0.0000000E+000,-1.2503895E-006, 1.4975939E-009, 2.1095209E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5398641E-005,-1.2467824E-006, 0.0000000E+000, 0.0000000E+000
 1.6000001E-002, 0.0000000E+000,-8.4179764E-007, 7.2306721E-008, 2.4446219E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5752298E-005,-7.6704630E-007, 0.0000000E+000, 0.0000000E+000
 1.7999999E-002, 0.0000000E+000,-8.4169434E-007, 1.3595628E-007, 2.7779096E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5690551E-005,-7.0296015E-007, 0.0000000E+000, 0.0000000E+000
 2.0000000E-002, 0.0000000E+000,-5.9564489E-007, 2.0424387E-007, 3.1141997E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6044350E-005,-3.8828682E-007, 0.0000000E+000, 0.0000000E+000
 2.2000000E-002, 0.0000000E+000,-5.9553975E-007, 2.6837625E-007, 3.4500879E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6147998E-005,-3.2371341E-007, 0.0000000E+000, 0.0000000E+000
 2.4000000E-002, 0.0000000E+000,-4.0779775E-007, 3.3615634E-007, 3.7894654E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6501805E-005,-6.7851944E-008, 0.0000000E+000, 0.0000000E+000
 2.6000001E-002, 0.0000000E+000,-4.0769053E-007, 4.0086072E-007, 4.1294054E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6664773E-005,-2.7004084E-009, 0.0000000E+000, 0.0000000E+000
 2.8000001E-002, 0.0000000E+000,-2.6757385E-007, 4.6840967E-007, 4.4724234E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7018601E-005, 2.0530825E-007, 0.0000000E+000, 0.0000000E+000
 2.9999999E-002, 0.0000000E+000,-2.6746436E-007, 5.3377504E-007, 4.8162631E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7230043E-005, 2.7112694E-007, 0.0000000E+000, 0.0000000E+000
 3.2000002E-002, 0.0000000E+000,-1.7965104E-007, 6.0110592E-007, 5.1623742E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7583915E-005, 4.2661726E-007, 0.0000000E+000, 0.0000000E+000
 3.4000002E-002, 0.0000000E+000,-1.7953906E-007, 6.6726231E-007, 5.5091434E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7848595E-005, 4.9323239E-007, 0.0000000E+000, 0.0000000E+000
 3.5999998E-002, 0.0000000E+000,-1.3731491E-007, 7.3462450E-007, 5.8573743E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8202503E-005, 6.0316696E-007, 0.0000000E+000, 0.0000000E+000
