,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-10-28T15:34:41.623+01:00,   0.200E-02,   0.00200,  14.00375
      2,2020-10-28T15:34:41.668+01:00,   0.200E-02,   0.00400,  14.09339
      3,2020-10-28T15:34:41.711+01:00,   0.200E-02,   0.00600,  14.17789
      4,2020-10-28T15:34:41.755+01:00,   0.200E-02,   0.00800,  14.26562
      5,2020-10-28T15:34:41.797+01:00,   0.200E-02,   0.01000,  14.35013
      6,2020-10-28T15:34:41.855+01:00,   0.200E-02,   0.01200,  14.45229
      7,2020-10-28T15:34:41.898+01:00,   0.200E-02,   0.01400,  14.53743
      8,2020-10-28T15:34:41.942+01:00,   0.200E-02,   0.01600,  14.62490
      9,2020-10-28T15:34:41.985+01:00,   0.200E-02,   0.01800,  14.70903
     10,2020-10-28T15:34:42.025+01:00,   0.200E-02,   0.02000,  14.79012
     20,2020-10-28T15:34:42.405+01:00,   0.200E-02,   0.04000,  15.54349
     30,2020-10-28T15:34:42.796+01:00,   0.200E-02,   0.06000,  16.31301
     40,2020-10-28T15:34:43.178+01:00,   0.200E-02,   0.08000,  17.07095
     50,2020-10-28T15:34:43.553+01:00,   0.200E-02,   0.10000,  17.81808
     60,2020-10-28T15:34:43.938+01:00,   0.200E-02,   0.12000,  18.57490
     70,2020-10-28T15:34:44.305+01:00,   0.200E-02,   0.14000,  19.30347
     80,2020-10-28T15:34:44.679+01:00,   0.200E-02,   0.16000,  20.04033
     90,2020-10-28T15:34:45.035+01:00,   0.200E-02,   0.18000,  20.74881
    100,2020-10-28T15:34:45.405+01:00,   0.200E-02,   0.20000,  21.47174
    200,2020-10-28T15:34:49.151+01:00,   0.200E-02,   0.40000,  28.84815
    250,2020-10-28T15:34:50.981+01:00,   0.200E-02,   0.50000,  32.41539
