s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-1.2040152E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2040152E-005, 0.0000000E+000, 0.0000000E+000
 2.0000001E-003, 0.0000000E+000,-4.6861414E-006,-8.3008557E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.3477171E-004, 0.0000000E+000, 0.0000000E+000
 4.0000002E-003, 0.0000000E+000,-3.0080877E-006,-5.9873434E-004,-2.2164560E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.4162942E-002,-6.0395888E-004, 0.0000000E+000, 0.0000000E+000
 6.0000001E-003, 0.0000000E+000,-2.9131405E-006,-5.2689163E-004,-3.3706137E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1230663E-002,-5.3317538E-004, 0.0000000E+000, 0.0000000E+000
 8.0000004E-003, 0.0000000E+000,-1.6722951E-006,-4.5251445E-004,-2.8553419E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.5562560E-002,-4.5704209E-004, 0.0000000E+000, 0.0000000E+000
 9.9999998E-003, 0.0000000E+000,-1.5715493E-006,-3.7950394E-004,-1.6837119E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.9819716E-002,-3.8275920E-004, 0.0000000E+000, 0.0000000E+000
 1.2000000E-002, 0.0000000E+000,-7.0197458E-007,-3.1015501E-004,-5.5945914E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4285293E-002,-3.1091293E-004, 0.0000000E+000, 0.0000000E+000
 1.4000000E-002, 0.0000000E+000,-6.2820846E-007,-2.4590431E-004, 1.8354033E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9116625E-002,-2.4469712E-004, 0.0000000E+000, 0.0000000E+000
 1.6000001E-002, 0.0000000E+000,-1.6418584E-007,-1.8746719E-004, 3.9334868E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4401111E-002,-1.8369789E-004, 0.0000000E+000, 0.0000000E+000
 1.7999999E-002, 0.0000000E+000,-1.1933606E-007,-1.3509142E-004, 6.1535814E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0172155E-002,-1.2905717E-004, 0.0000000E+000, 0.0000000E+000
 2.0000000E-002, 0.0000000E+000, 1.5568112E-007,-8.8634757E-005, 8.4227082E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6431227E-002,-8.0056367E-005, 0.0000000E+000, 0.0000000E+000
 2.2000000E-002, 0.0000000E+000, 1.7742511E-007,-4.7758620E-005, 1.0913579E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3155611E-002,-3.6667616E-005, 0.0000000E+000, 0.0000000E+000
 2.4000000E-002, 0.0000000E+000, 3.7415737E-007,-1.2003114E-005, 1.3352558E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0312092E-002, 1.7236021E-006, 0.0000000E+000, 0.0000000E+000
 2.6000001E-002, 0.0000000E+000, 3.7878686E-007, 1.9163827E-005, 1.6017288E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.8597762E-003, 3.5559901E-005, 0.0000000E+000, 0.0000000E+000
 2.8000001E-002, 0.0000000E+000, 5.1336004E-007, 4.6262640E-005, 1.8540073E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.7573859E-003, 6.5316073E-005, 0.0000000E+000, 0.0000000E+000
 2.9999999E-002, 0.0000000E+000, 5.0572013E-007, 6.9794383E-005, 2.1329612E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.9639945E-003, 9.1629716E-005, 0.0000000E+000, 0.0000000E+000
 3.2000002E-002, 0.0000000E+000, 5.7790203E-007, 9.0215140E-005, 2.4017483E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4423464E-003, 1.1481053E-004, 0.0000000E+000, 0.0000000E+000
 3.4000002E-002, 0.0000000E+000, 5.6168394E-007, 1.0795324E-004, 2.6744476E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1578161E-003, 1.3525940E-004, 0.0000000E+000, 0.0000000E+000
 3.5999998E-002, 0.0000000E+000, 5.8201534E-007, 1.2337620E-004, 2.9496097E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.9603271E-005, 1.5345431E-004, 0.0000000E+000, 0.0000000E+000
