s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-1.2040152E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2040152E-005, 0.0000000E+000, 0.0000000E+000
 2.0000001E-003, 0.0000000E+000,-4.6861414E-006,-4.4272050E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1288620E-006, 0.0000000E+000, 0.0000000E+000
 4.0000002E-003, 0.0000000E+000,-3.1727095E-006,-3.5130125E-007, 3.7751379E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7162921E-005,-3.5236332E-006, 0.0000000E+000, 0.0000000E+000
 6.0000001E-003, 0.0000000E+000,-3.1726052E-006,-2.8700521E-007, 7.3342736E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5929291E-005,-3.4588770E-006, 0.0000000E+000, 0.0000000E+000
 8.0000004E-003, 0.0000000E+000,-2.0342101E-006,-2.0260644E-007, 1.0838369E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6274506E-005,-2.2357327E-006, 0.0000000E+000, 0.0000000E+000
 9.9999998E-003, 0.0000000E+000,-2.0341077E-006,-1.3918686E-007, 1.4237810E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5468406E-005,-2.1718707E-006, 0.0000000E+000, 0.0000000E+000
 1.2000000E-002, 0.0000000E+000,-1.2504917E-006,-6.1926517E-008, 1.7651375E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5833845E-005,-1.3106531E-006, 0.0000000E+000, 0.0000000E+000
 1.4000000E-002, 0.0000000E+000,-1.2503895E-006, 1.3724477E-009, 2.1010811E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5402218E-005,-1.2469160E-006, 0.0000000E+000, 0.0000000E+000
 1.6000001E-002, 0.0000000E+000,-8.4179764E-007, 7.2251285E-008, 2.4381428E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5760716E-005,-7.6710821E-007, 0.0000000E+000, 0.0000000E+000
 1.7999999E-002, 0.0000000E+000,-8.4169431E-007, 1.3601975E-007, 2.7724820E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5697474E-005,-7.0290207E-007, 0.0000000E+000, 0.0000000E+000
 2.0000000E-002, 0.0000000E+000,-5.9564484E-007, 2.0438158E-007, 3.1090721E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6047452E-005,-3.8815419E-007, 0.0000000E+000, 0.0000000E+000
 2.2000000E-002, 0.0000000E+000,-5.9553970E-007, 2.6851849E-007, 3.4450098E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6148297E-005,-3.2357621E-007, 0.0000000E+000, 0.0000000E+000
 2.4000000E-002, 0.0000000E+000,-4.0779771E-007, 3.3626129E-007, 3.7845705E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6501415E-005,-6.7751841E-008, 0.0000000E+000, 0.0000000E+000
 2.6000001E-002, 0.0000000E+000,-4.0769049E-007, 4.0092637E-007, 4.1249410E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6665153E-005,-2.6391794E-009, 0.0000000E+000, 0.0000000E+000
 2.8000001E-002, 0.0000000E+000,-2.6757380E-007, 4.6845636E-007, 4.4685550E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7020051E-005, 2.0535111E-007, 0.0000000E+000, 0.0000000E+000
 2.9999999E-002, 0.0000000E+000,-2.6746430E-007, 5.3382290E-007, 4.8130257E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7232113E-005, 2.7117162E-007, 0.0000000E+000, 0.0000000E+000
 3.2000002E-002, 0.0000000E+000,-1.7965097E-007, 6.0116313E-007, 5.1597098E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7586035E-005, 4.2667187E-007, 0.0000000E+000, 0.0000000E+000
 3.4000002E-002, 0.0000000E+000,-1.7953898E-007, 6.6732598E-007, 5.5069758E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7850453E-005, 4.9329397E-007, 0.0000000E+000, 0.0000000E+000
 3.5999998E-002, 0.0000000E+000,-1.3731482E-007, 7.3468774E-007, 5.8556664E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8204089E-005, 6.0322858E-007, 0.0000000E+000, 0.0000000E+000
