s,m/s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","v-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.6404076E-003, 2.9218821E-001, 0.0000000E+000, 3.5036468E-002, 1.6659893E+001, 1.1177636E-003, 1.0000000E+001, 1.0000000E+001, 6.6989042E-002, 5.1645080E-009
 5.2808153E-003, 2.9155968E-001, 0.0000000E+000, 3.5397126E-002,-3.3870361E-002, 9.3036383E-006, 1.0000000E+000, 8.0000000E+000, 6.3003308E-002, 5.7140538E-009
 7.9212229E-003, 2.9000416E-001, 0.0000000E+000, 3.5569497E-002,-9.6118688E-002, 4.2369872E-006, 1.0000000E+000, 8.0000000E+000, 7.1602730E-002, 7.5929118E-009
 1.0561631E-002, 2.8834672E-001, 0.0000000E+000, 3.5741278E-002,-9.9061553E-002, 4.3977203E-006, 1.0000000E+000, 8.0000000E+000, 7.1820009E-002, 8.1222359E-009
 1.3466079E-002, 2.8640816E-001, 0.0000000E+000, 3.5930716E-002,-1.0164472E-001, 5.0672567E-006, 1.0000000E+000, 8.0000000E+000, 7.1990976E-002, 8.7179850E-009
 1.6370527E-002, 2.8434663E-001, 0.0000000E+000, 3.6120846E-002,-1.0454732E-001, 5.3048001E-006, 1.0000000E+000, 8.0000000E+000, 7.2134789E-002, 9.3197316E-009
 1.9565421E-002, 2.8193403E-001, 0.0000000E+000, 3.6330627E-002,-1.0740407E-001, 6.1223144E-006, 1.0000000E+000, 8.0000000E+000, 7.2281138E-002, 9.9921010E-009
 2.2760314E-002, 2.7936839E-001, 0.0000000E+000, 3.6541195E-002,-1.1060185E-001, 6.4194609E-006, 1.0000000E+000, 9.0000000E+000, 7.0784163E-002, 6.3043680E-010
 2.6274696E-002, 2.7636776E-001, 0.0000000E+000, 3.6773426E-002,-1.1370695E-001, 7.4216327E-006, 1.0000000E+000, 9.0000000E+000, 7.0836174E-002, 6.7066181E-010
 2.9789079E-002, 2.7318085E-001, 0.0000000E+000, 3.7006336E-002,-1.1716049E-001, 7.7950349E-006, 1.0000000E+000, 9.0000000E+000, 7.0881271E-002, 7.1202287E-010
 3.3654900E-002, 2.6946077E-001, 0.0000000E+000, 3.7262866E-002,-1.2046025E-001, 9.0284566E-006, 1.0000000E+000, 9.0000000E+000, 7.0929283E-002, 7.5846572E-010
 3.7520721E-002, 2.6551978E-001, 0.0000000E+000, 3.7519730E-002,-1.2410407E-001, 9.4994378E-006, 1.0000000E+000, 9.0000000E+000, 7.0970661E-002, 8.0626007E-010
 4.1386542E-002, 2.6136182E-001, 0.0000000E+000, 3.7776544E-002,-1.2766613E-001, 9.9771852E-006, 1.0000000E+000, 9.0000000E+000, 7.1009713E-002, 8.5516957E-010
 4.5252362E-002, 2.5699248E-001, 0.0000000E+000, 3.8033054E-002,-1.3111102E-001, 1.0465121E-005, 1.0000000E+000, 9.0000000E+000, 7.1045635E-002, 9.0527840E-010
 4.9504765E-002, 2.5194940E-001, 0.0000000E+000, 3.8314414E-002,-1.3428042E-001, 1.2110479E-005, 1.0000000E+000, 9.0000000E+000, 7.1083388E-002, 9.6174926E-010
 5.3757168E-002, 2.4369346E-001, 0.0000000E+000, 3.8019729E-002,-2.4553675E-001, 1.2035658E-005, 1.0000000E+000, 9.0000000E+000, 7.2419982E-002, 1.4423768E-009
 5.8009571E-002, 2.3499845E-001, 0.0000000E+000, 3.7658146E-002,-2.5745809E-001, 1.2711849E-005, 1.0000000E+000, 9.0000000E+000, 7.2420241E-002, 1.5864883E-009
 6.2261974E-002, 2.2604738E-001, 0.0000000E+000, 3.7258097E-002,-2.6332574E-001, 1.3280654E-005, 1.0000000E+000, 9.0000000E+000, 7.2418898E-002, 1.6742622E-009
 6.6939617E-002, 2.1630204E-001, 0.0000000E+000, 3.6843598E-002,-2.5674729E-001, 1.4952863E-005, 1.0000000E+000, 9.0000000E+000, 7.2418798E-002, 1.6311827E-009
 7.1617260E-002, 2.0633547E-001, 0.0000000E+000, 3.6388729E-002,-2.6153542E-001, 1.5637757E-005, 1.0000000E+000, 9.0000000E+000, 7.2418387E-002, 1.7189018E-009
 7.6294904E-002, 1.9647732E-001, 0.0000000E+000, 3.5950425E-002,-2.5612183E-001, 1.6046586E-005, 1.0000000E+000, 9.0000000E+000, 7.2413879E-002, 1.6996776E-009
 8.0972547E-002, 1.8645408E-001, 0.0000000E+000, 3.5471670E-002,-2.6033737E-001, 1.6756318E-005, 1.0000000E+000, 9.0000000E+000, 7.2414589E-002, 1.7906201E-009
 8.5650190E-002, 1.7644548E-001, 0.0000000E+000, 3.4980909E-002,-2.5927176E-001, 1.7334721E-005, 1.0000000E+000, 9.0000000E+000, 7.2411818E-002, 1.8302195E-009
 9.0327833E-002, 1.6662529E-001, 0.0000000E+000, 3.4507108E-002,-2.5303203E-001, 1.7790155E-005, 1.0000000E+000, 9.0000000E+000, 7.2402081E-002, 1.8206074E-009
