Time Step,Iteration,Total,Mesh,I,J,K,Velocity Error,Mesh,I,J,K,Pressure Error
      1,      1,      1,      1,     17,      1,     16,  0.10481587E-02,      1,     13,     13,     13,  0.12491147E+05
      1,      1,      2,      1,     17,      1,     16,  0.10481587E-02,      1,     13,     13,     13,  0.10453612E+06
      1,      2,      3,      1,     12,     17,     16,  0.22076006E-02,      1,     13,     13,     13,  0.10381937E+06
      1,      3,      4,      1,     12,     17,     16,  0.22076006E-02,      1,     13,     13,     13,  0.10381937E+06
      1,      4,      5,      1,     12,     17,     16,  0.22076006E-02,      1,     13,     13,     13,  0.10381937E+06
      1,      5,      6,      1,     12,     17,     16,  0.22076006E-02,      1,     13,     13,     13,  0.10381937E+06
      1,      6,      7,      1,     12,     17,     16,  0.22076006E-02,      1,     13,     13,     13,  0.10381937E+06
      1,      7,      8,      1,     12,     17,     16,  0.22076006E-02,      1,     13,     13,     13,  0.10381937E+06
      1,      8,      9,      1,     12,     17,     16,  0.22076006E-02,      1,     13,     13,     13,  0.10381937E+06
      1,      9,     10,      1,     12,     17,     16,  0.22076006E-02,      1,     13,     13,     13,  0.10381937E+06
      1,     10,     11,      1,     12,     17,     16,  0.22076006E-02,      1,     13,     13,     13,  0.10381937E+06
      1,      1,     12,      1,     12,     17,     16,  0.11177636E-02,      1,     13,     13,     13,  0.10540942E+06
      1,      2,     13,      1,     12,     17,     16,  0.11177636E-02,      1,     13,     13,     13,  0.10540942E+06
      1,      3,     14,      1,     12,     17,     16,  0.11177636E-02,      1,     13,     13,     13,  0.10540942E+06
      1,      4,     15,      1,     12,     17,     16,  0.11177636E-02,      1,     13,     13,     13,  0.10540942E+06
      1,      5,     16,      1,     12,     17,     16,  0.11177636E-02,      1,     13,     13,     13,  0.10540942E+06
      1,      6,     17,      1,     12,     17,     16,  0.11177636E-02,      1,     13,     13,     13,  0.10540942E+06
      1,      7,     18,      1,     12,     17,     16,  0.11177636E-02,      1,     13,     13,     13,  0.10540942E+06
      1,      8,     19,      1,     12,     17,     16,  0.11177636E-02,      1,     13,     13,     13,  0.10540942E+06
      1,      9,     20,      1,     12,     17,     16,  0.11177636E-02,      1,     13,     13,     13,  0.10540942E+06
      1,     10,     21,      1,     12,     17,     16,  0.11177636E-02,      1,     13,     13,     13,  0.10540942E+06
      2,      1,     22,      3,      1,      0,      1,  0.18029781E-04,      1,     13,     13,     13,  0.92384017E+03
      2,      1,     23,      1,      1,     17,      1,  0.93036383E-05,      1,     13,     13,     13,  0.94503490E+03
      3,      1,     24,      1,     12,     17,     16,  0.80354347E-05,      1,     16,     13,     13,  0.27592823E+03
      3,      1,     25,      1,     12,     17,     16,  0.42369872E-05,      1,     16,     13,     13,  0.29055983E+03
      4,      1,     26,      1,     12,     17,     16,  0.83507885E-05,      1,     16,     13,     13,  0.28309988E+03
      4,      1,     27,      1,     12,     17,     16,  0.43977203E-05,      1,     16,     13,     13,  0.29795586E+03
      5,      1,     28,      1,     12,     17,     16,  0.95954776E-05,      1,     16,     13,     13,  0.29344892E+03
      5,      1,     29,      1,     12,     17,     16,  0.50672567E-05,      1,     16,     13,     13,  0.30964437E+03
      6,      1,     30,      1,     12,     17,     16,  0.10060138E-04,      1,     16,     13,     13,  0.30541025E+03
      6,      1,     31,      1,     12,     17,     16,  0.53048001E-05,      1,     16,     13,     13,  0.32195399E+03
      7,      1,     32,      1,     12,     17,     16,  0.11576126E-04,      1,     16,     13,     13,  0.31706882E+03
      7,      1,     33,      1,     12,     17,     16,  0.61223144E-05,      1,     16,     13,     13,  0.33516305E+03
      8,      1,     34,      1,     12,     17,     16,  0.12155672E-04,      1,     16,     13,     13,  0.33054430E+03
      8,      1,     35,      1,     12,     17,     16,  0.64194609E-05,      1,     16,     13,     13,  0.34906661E+03
      9,      1,     36,      1,     12,     17,     16,  0.14009558E-04,      1,     16,     13,     13,  0.34372619E+03
      9,      1,     37,      1,     12,     17,     16,  0.74216327E-05,      1,     16,     13,     13,  0.36403450E+03
     10,      1,     38,      1,     12,     17,     16,  0.14736231E-04,      1,     16,     13,     13,  0.35897199E+03
     10,      1,     39,      1,     12,     17,     16,  0.77950349E-05,      1,     16,     13,     16,  0.38070740E+03
     11,      1,     40,      1,     12,     17,     16,  0.17012473E-04,      1,     16,     13,     16,  0.37548742E+03
     11,      1,     41,      1,     12,     17,     16,  0.90284566E-05,      1,     16,     13,     16,  0.40075008E+03
     12,      1,     42,      1,     12,     17,     16,  0.17927327E-04,      1,     16,     13,     16,  0.39579139E+03
     12,      1,     43,      1,     12,     17,     16,  0.94994378E-05,      1,     16,     13,     16,  0.42175523E+03
     13,      1,     44,      1,     12,     17,     16,  0.18855341E-04,      1,     16,     13,     16,  0.41626655E+03
     13,      1,     45,      1,     12,     17,     16,  0.99771852E-05,      1,     16,     13,     16,  0.44293295E+03
     14,      1,     46,      1,     12,     17,     16,  0.19803197E-04,      1,     16,     13,     16,  0.43715436E+03
     14,      1,     47,      1,     12,     17,     16,  0.10465121E-04,      1,     16,     13,     16,  0.46452953E+03
     15,      1,     48,      1,     12,     17,     16,  0.22839898E-04,      1,     16,     13,     16,  0.45816085E+03
     15,      1,     49,      1,     12,     17,     16,  0.12110479E-04,      1,     16,     13,     16,  0.48844454E+03
     16,      1,     50,      1,     17,     16,      1,  0.23213868E-04,      2,      4,     16,     13,  0.30566802E+03
     16,      1,     51,      1,     17,     16,      1,  0.12035658E-04,      5,     13,     13,      1,  0.31061102E+03
     17,      1,     52,      1,     17,     16,      1,  0.24572236E-04,      2,      4,     16,     13,  0.35408066E+03
     17,      1,     53,      1,     17,     16,      1,  0.12711849E-04,      2,      4,     16,     13,  0.34840465E+03
     18,      1,     54,      1,     17,     16,      1,  0.25704150E-04,      2,      4,     16,     13,  0.37728999E+03
     18,      1,     55,      1,     17,     16,      1,  0.13280654E-04,      2,      4,     16,     13,  0.37215366E+03
     19,      1,     56,      1,     17,     16,      1,  0.28831340E-04,      2,      4,     16,     13,  0.34633583E+03
     19,      1,     57,      2,      0,     16,      1,  0.14952863E-04,      2,      4,     16,     13,  0.34073829E+03
     20,      1,     58,      2,      0,     16,      1,  0.30185612E-04,      2,      4,     16,     13,  0.36740391E+03
     20,      1,     59,      1,     17,     16,      1,  0.15637757E-04,      2,      4,     16,     13,  0.36228363E+03
     21,      1,     60,      1,     17,     16,      1,  0.30964705E-04,      5,     13,     13,      1,  0.35201495E+03
     21,      1,     61,      1,     17,     16,      1,  0.16046586E-04,      5,     13,     13,      1,  0.37053494E+03
     22,      1,     62,      1,     17,     16,      1,  0.32362731E-04,      2,      4,     16,     13,  0.36547507E+03
     22,      1,     63,      1,     17,     16,      1,  0.16756318E-04,      5,     13,     13,      1,  0.38081371E+03
     23,      1,     64,      1,     17,     16,      1,  0.33485150E-04,      5,     13,     13,      1,  0.37731914E+03
     23,      1,     65,      1,     17,     16,      1,  0.17334721E-04,      5,     13,     13,      1,  0.39641560E+03
     24,      1,     66,      1,     17,     16,      1,  0.34348943E-04,      5,     13,     13,      1,  0.39786571E+03
     24,      1,     67,      1,     17,     16,      1,  0.17790155E-04,      5,     13,     13,      1,  0.41791347E+03
     25,      1,     68,      1,     17,     16,      1,  0.35836875E-04,      5,     13,     13,      1,  0.40887477E+03
     25,      1,     69,      1,     17,     16,      1,  0.18550104E-04,      5,     13,     13,      1,  0.42924903E+03
     26,      1,     70,      1,     17,     16,      1,  0.36767657E-04,      5,     13,     13,      1,  0.43008517E+03
     26,      1,     71,      1,     17,     16,      1,  0.19042208E-04,      5,     13,     13,      1,  0.45155932E+03
     27,      1,     72,      2,      1,     17,      1,  0.24561864E-04,      2,      4,     13,     13,  0.61713185E+03
     27,      1,     73,      2,      1,     17,      1,  0.12744296E-04,      2,      4,     13,     13,  0.61645926E+03
     28,      1,     74,      4,      1,      0,      1,  0.24224053E-04,      2,      4,     13,     13,  0.64908085E+03
     28,      1,     75,      2,      1,     17,      1,  0.12566847E-04,      2,      4,     13,     13,  0.64930670E+03
     29,      1,     76,      2,      1,     17,      1,  0.25469139E-04,      2,      4,     13,     13,  0.60982898E+03
     29,      1,     77,      2,      1,     17,      1,  0.13212646E-04,      2,      4,     13,     13,  0.60937088E+03
     30,      1,     78,      2,      1,     17,      1,  0.26222208E-04,      2,      4,     13,     13,  0.65110890E+03
     30,      1,     79,      4,      1,      0,      1,  0.13590035E-04,      2,      4,     13,     13,  0.65145322E+03
     31,      1,     80,      4,      1,      0,      1,  0.27242681E-04,      2,      4,     13,     13,  0.65279584E+03
     31,      1,     81,      2,      1,     17,      1,  0.14114512E-04,      2,      4,     13,     13,  0.65313642E+03
     32,      1,     82,      2,      1,     17,      1,  0.28563894E-04,      2,      4,     13,     13,  0.61391850E+03
     32,      1,     83,      2,      1,     17,      1,  0.14802770E-04,      2,      4,     13,     13,  0.61345863E+03
     33,      1,     84,      2,      1,     17,      1,  0.29395969E-04,      2,      4,     13,     13,  0.65570083E+03
     33,      1,     85,      2,      1,     17,      1,  0.15225040E-04,      2,      4,     13,     13,  0.65588995E+03
     34,      1,     86,      2,      1,     17,      1,  0.30774555E-04,      2,      4,     13,     13,  0.61718556E+03
     34,      1,     87,      2,      1,     17,      1,  0.15945181E-04,      2,      4,     13,     13,  0.61651745E+03
     35,      1,     88,      4,      1,      0,      1,  0.31676029E-04,      2,      4,     13,     13,  0.65914080E+03
     35,      1,     89,      4,      1,      0,      1,  0.16406325E-04,      2,      4,     13,     13,  0.65903081E+03
     36,      1,     90,      2,      1,     17,      1,  0.32863885E-04,      2,      4,     13,     13,  0.66129874E+03
     36,      1,     91,      2,      1,     17,      1,  0.17024008E-04,      2,      4,     13,     13,  0.66099235E+03
     37,      1,     92,      1,     17,     16,      1,  0.34763843E-04,      7,     13,      1,      1,  0.34675118E+03
     37,      1,     93,      1,     17,     16,      1,  0.18061423E-04,      7,     13,      1,      1,  0.37170151E+03
     38,      1,     94,      1,     16,     12,     17,  0.61997079E-04,      3,     13,      1,     13,  0.11614489E+04
     38,      1,     95,      1,     16,     12,     17,  0.31966327E-04,      3,     13,      1,     13,  0.11998493E+04
     39,      1,     96,      1,     16,     12,     17,  0.63567845E-04,      3,     13,      1,     13,  0.11873314E+04
     39,      1,     97,      1,     17,     12,     16,  0.32797688E-04,      3,     13,      1,     13,  0.12272333E+04
     40,      1,     98,      1,     17,     12,     16,  0.63716847E-04,      3,     13,      1,     13,  0.11770060E+04
     40,      1,     99,      1,     17,     12,     16,  0.32906664E-04,      3,     13,      1,     13,  0.12178936E+04
     41,      1,    100,      1,     17,     12,     16,  0.66569848E-04,      3,     13,      1,     13,  0.12291186E+04
     41,      1,    101,      1,     17,     12,     16,  0.34385796E-04,      3,     13,      1,     13,  0.12720314E+04
     42,      1,    102,      1,     17,     12,     16,  0.66871938E-04,      3,     13,      1,     13,  0.12210487E+04
     42,      1,    103,      1,     17,     12,     16,  0.34570996E-04,      3,     13,      1,     13,  0.12650486E+04
     43,      1,    104,      1,     17,     12,     16,  0.69875364E-04,      3,     13,      1,     13,  0.12754241E+04
     43,      1,    105,      1,     17,     12,     16,  0.36130993E-04,      3,     13,      1,     13,  0.13216361E+04
     44,      1,    106,      1,     17,     12,     16,  0.71661239E-04,      3,     13,      1,     13,  0.13006772E+04
     44,      1,    107,      1,     17,     12,     16,  0.37074618E-04,      3,     13,      1,     13,  0.13486815E+04
     45,      1,    108,      1,     17,     12,     16,  0.72211229E-04,      3,     13,      1,     13,  0.12962637E+04
     45,      1,    109,      1,     17,     12,     16,  0.37390621E-04,      3,     13,      1,     13,  0.13455527E+04
     46,      1,    110,      1,     17,     12,     16,  0.75477705E-04,      3,     13,      1,     13,  0.13545505E+04
     46,      1,    111,      1,     17,     12,     16,  0.39092624E-04,      3,     13,      1,     13,  0.14063866E+04
     47,      1,    112,      1,     17,     12,     16,  0.76224192E-04,      3,     13,      1,     13,  0.13531080E+04
     47,      1,    113,      1,     17,     12,     16,  0.39512781E-04,      3,     13,      1,     13,  0.14063966E+04
     48,      1,    114,      1,     17,     12,     16,  0.70598319E-04,      3,     13,      1,     13,  0.11952013E+04
     48,      1,    115,      1,     17,     12,     16,  0.36629792E-04,      3,     13,      1,     13,  0.12450105E+04
     49,      1,    116,      1,     17,     12,     16,  0.64911907E-04,      3,     13,      1,     13,  0.10369999E+04
     49,      1,    117,      2,      0,     12,     16,  0.33715674E-04,      3,     13,      1,     13,  0.10833236E+04
     50,      1,    118,      1,     17,     12,     16,  0.66207728E-04,      3,     13,      1,     13,  0.10485792E+04
     50,      1,    119,      1,     17,     12,     16,  0.34408551E-04,      3,     13,      1,     13,  0.10963521E+04
     51,      1,    120,      1,     17,     12,     16,  0.68917452E-04,      3,     13,      1,     13,  0.10917978E+04
     51,      1,    121,      1,     17,     12,     16,  0.35819382E-04,      3,     13,      1,     13,  0.11415573E+04
     52,      1,    122,      1,     17,     12,     16,  0.71076724E-04,      3,     13,      1,     13,  0.11218361E+04
     52,      1,    123,      1,     17,     12,     16,  0.36954594E-04,      3,     13,      1,     13,  0.11734681E+04
     53,      1,    124,      1,     17,     12,     16,  0.72684760E-04,      3,     13,      1,     13,  0.11385618E+04
     53,      1,    125,      1,     17,     12,     16,  0.37812427E-04,      3,     13,      1,     13,  0.11918899E+04
     54,      1,    126,      1,     17,     12,     16,  0.75685827E-04,      3,     13,      1,     13,  0.11858391E+04
     54,      1,    127,      1,     17,     12,     16,  0.39379983E-04,      3,     13,      1,     13,  0.12414856E+04
     55,      1,    128,      1,     17,     12,     16,  0.77506918E-04,      3,     13,      1,     13,  0.12055084E+04
     55,      1,    129,      1,     17,     12,     16,  0.40350904E-04,      3,     13,      1,     13,  0.12630271E+04
     56,      1,    130,      1,     17,     12,     16,  0.80733502E-04,      3,     13,      1,     13,  0.12558621E+04
     56,      1,    131,      1,     17,     12,     16,  0.42039660E-04,      3,     13,      1,     13,  0.13159494E+04
     57,      1,    132,      2,      0,     12,     16,  0.83445719E-04,      3,     13,      1,     13,  0.12935011E+04
     57,      1,    133,      2,      0,     12,     16,  0.43470350E-04,      3,     13,      1,     13,  0.13560028E+04
     58,      1,    134,      1,     17,     12,     16,  0.85641527E-04,      3,     13,      1,     13,  0.13182449E+04
     58,      1,    135,      1,     17,     12,     16,  0.77352681E-04,      3,     13,      1,     13,  0.13262383E+04
     58,      1,    136,      1,     17,     12,     16,  0.40180160E-04,      3,     13,      1,     13,  0.13869287E+04
     59,      1,    137,      1,     17,     16,     12,  0.10324542E-03,      1,     13,     13,     16,  0.19909247E+04
     59,      1,    138,      1,     17,      1,      1,  0.53506627E-04,      1,     13,     13,     16,  0.20691441E+04
     60,      1,    139,      1,     16,     17,     12,  0.11923868E-03,      1,     13,     13,     16,  0.23887496E+04
     60,      1,    140,      1,     16,     17,     12,  0.61724105E-04,      1,     13,     13,     16,  0.24775988E+04
     61,      1,    141,      1,     16,     17,     12,  0.12239435E-03,      1,     13,     13,     16,  0.24365541E+04
     61,      1,    142,      1,     16,     17,     12,  0.63372498E-04,      1,     13,     13,     16,  0.25275268E+04
     62,      1,    143,      3,     16,      0,     12,  0.12561064E-03,      1,     13,     13,     16,  0.24832701E+04
     62,      1,    144,      1,     16,     17,     12,  0.65053665E-04,      1,     13,     13,     16,  0.25763824E+04
