s,m/s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","v-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.6404076E-003, 2.9259043E-001, 0.0000000E+000, 3.5130959E-002, 1.6718289E+001, 5.2897063E-004, 1.0000000E+001, 1.0000000E+001, 6.4111126E-002, 4.3574858E-010
 5.2808153E-003, 2.9156204E-001, 0.0000000E+000, 3.5399100E-002,-6.3111707E-002, 3.4953010E-006, 1.0000000E+000, 7.0000000E+000, 6.0504001E-002, 7.1620106E-009
 7.9212229E-003, 2.9000322E-001, 0.0000000E+000, 3.5570793E-002,-9.6278567E-002, 2.0431448E-006, 1.0000000E+000, 7.0000000E+000, 6.0615330E-002, 3.9501450E-009
 1.0561631E-002, 2.8834577E-001, 0.0000000E+000, 3.5742589E-002,-9.8983069E-002, 2.1355786E-006, 1.0000000E+000, 7.0000000E+000, 6.0627300E-002, 4.1138105E-009
 1.3466079E-002, 2.8640733E-001, 0.0000000E+000, 3.5932087E-002,-1.0155487E-001, 2.4676214E-006, 1.0000000E+000, 7.0000000E+000, 6.0639070E-002, 4.3065114E-009
 1.6370527E-002, 2.8434581E-001, 0.0000000E+000, 3.6122241E-002,-1.0446250E-001, 2.5893040E-006, 1.0000000E+000, 7.0000000E+000, 6.0650186E-002, 4.5047467E-009
 1.9565421E-002, 2.8193336E-001, 0.0000000E+000, 3.6332094E-002,-1.0730867E-001, 2.9963841E-006, 1.0000000E+000, 7.0000000E+000, 6.0662044E-002, 4.7237078E-009
 2.2760314E-002, 2.7936773E-001, 0.0000000E+000, 3.6542693E-002,-1.1051167E-001, 3.1488846E-006, 1.0000000E+000, 7.0000000E+000, 6.0673225E-002, 4.9494198E-009
 2.6274696E-002, 2.7636728E-001, 0.0000000E+000, 3.6775010E-002,-1.1360538E-001, 3.6499971E-006, 1.0000000E+000, 7.0000000E+000, 6.0685164E-002, 5.1994726E-009
 2.9789079E-002, 2.7318040E-001, 0.0000000E+000, 3.7007958E-002,-1.1706431E-001, 3.8419952E-006, 1.0000000E+000, 7.0000000E+000, 6.0696379E-002, 5.4576161E-009
 3.3654900E-002, 2.6946054E-001, 0.0000000E+000, 3.7264594E-002,-1.2035176E-001, 4.4612234E-006, 1.0000000E+000, 7.0000000E+000, 6.0708348E-002, 5.7443160E-009
 3.7520721E-002, 2.6551959E-001, 0.0000000E+000, 3.7521505E-002,-1.2400116E-001, 4.7038361E-006, 1.0000000E+000, 7.0000000E+000, 6.0719535E-002, 6.0406367E-009
 4.1386542E-002, 2.6136167E-001, 0.0000000E+000, 3.7778366E-002,-1.2755970E-001, 4.9507944E-006, 1.0000000E+000, 7.0000000E+000, 6.0730290E-002, 6.3419459E-009
 4.5252362E-002, 2.5699238E-001, 0.0000000E+000, 3.8034924E-002,-1.3100090E-001, 5.2032133E-006, 1.0000000E+000, 7.0000000E+000, 6.0740544E-002, 6.6498216E-009
 4.9504765E-002, 2.5194960E-001, 0.0000000E+000, 3.8316424E-002,-1.3415607E-001, 6.0345869E-006, 1.0000000E+000, 7.0000000E+000, 6.0751431E-002, 6.9943020E-009
 5.3757168E-002, 2.4369278E-001, 0.0000000E+000, 3.8021853E-002,-2.4547674E-001, 4.1087836E-006, 1.0000000E+000, 7.0000000E+000, 6.3056786E-002, 4.8239037E-009
 5.8009571E-002, 2.3499772E-001, 0.0000000E+000, 3.7660323E-002,-2.5737178E-001, 4.2428919E-006, 1.0000000E+000, 7.0000000E+000, 6.3391410E-002, 4.9706890E-009
 6.2261974E-002, 2.2604666E-001, 0.0000000E+000, 3.7260330E-002,-2.6323587E-001, 4.3840053E-006, 1.0000000E+000, 7.0000000E+000, 6.3480773E-002, 5.1428302E-009
 6.6939617E-002, 2.1630164E-001, 0.0000000E+000, 3.6846006E-002,-2.5664136E-001, 4.9996179E-006, 1.0000000E+000, 7.0000000E+000, 6.3133946E-002, 5.3880512E-009
 7.1617260E-002, 2.0633512E-001, 0.0000000E+000, 3.6391208E-002,-2.6143936E-001, 5.1805309E-006, 1.0000000E+000, 7.0000000E+000, 6.3212008E-002, 5.5908924E-009
 7.6294904E-002, 1.9647712E-001, 0.0000000E+000, 3.5952971E-002,-2.5601885E-001, 5.3675539E-006, 1.0000000E+000, 7.0000000E+000, 6.2930325E-002, 5.8409291E-009
 8.0972547E-002, 1.8645393E-001, 0.0000000E+000, 3.5474292E-002,-2.6023508E-001, 5.5593650E-006, 1.0000000E+000, 7.0000000E+000, 6.3016900E-002, 6.0518551E-009
 8.5650190E-002, 1.7644545E-001, 0.0000000E+000, 3.4983606E-002,-2.5916471E-001, 5.7585446E-006, 1.0000000E+000, 7.0000000E+000, 6.2929920E-002, 6.2908006E-009
 9.0327833E-002, 1.6662543E-001, 0.0000000E+000, 3.4509881E-002,-2.5291856E-001, 5.9684043E-006, 1.0000000E+000, 7.0000000E+000, 6.2679161E-002, 6.5662226E-009
