Time Step,Iteration,Total,Mesh,I,J,K,Velocity Error,Mesh,I,J,K,Pressure Error
      1,      1,      1,      1,      0,      0,      0,  0.00000000E+00,      1,     13,     13,     13,  0.11755571E+05
      1,      1,      2,      1,     13,      0,     13,  0.22204460E-15,      1,     13,     13,     13,  0.98238563E+05
      1,      2,      3,      1,     13,      0,     13,  0.22204460E-15,      1,     13,     13,     13,  0.98417263E+05
      1,      3,      4,      1,     13,      0,     13,  0.22204460E-15,      1,     13,     13,     13,  0.98549996E+05
      1,      4,      5,      1,     13,      0,     13,  0.22204460E-15,      1,     13,     13,     13,  0.98652834E+05
      1,      5,      6,      1,     13,      0,     13,  0.22204460E-15,      1,     13,     13,     13,  0.98735182E+05
      1,      6,      7,      1,     13,      0,     13,  0.22204460E-15,      1,     13,     13,     13,  0.98802737E+05
      1,      7,      8,      1,     13,      0,     13,  0.22204460E-15,      1,     13,     13,     13,  0.98859180E+05
      1,      8,      9,      1,     13,      0,     13,  0.22204460E-15,      1,     13,     13,     13,  0.98907016E+05
      1,      9,     10,      1,     13,      0,     13,  0.22204460E-15,      1,     13,     13,     13,  0.98948019E+05
      1,     10,     11,      1,     13,      0,     13,  0.22204460E-15,      1,     13,     13,     13,  0.98983490E+05
      1,      1,     12,      1,      5,     17,      1,  0.13877788E-16,      1,     13,     13,     13,  0.10358716E+06
      1,      2,     13,      1,      5,     17,      1,  0.13877788E-16,      1,     13,     13,     13,  0.10364209E+06
      1,      3,     14,      1,     17,     16,     12,  0.13877788E-16,      1,     13,     13,     13,  0.10368687E+06
      1,      4,     15,      1,     17,     16,     12,  0.13877788E-16,      1,     13,     13,     13,  0.10372450E+06
      1,      5,     16,      1,     17,      8,     16,  0.13877788E-16,      1,     13,     13,     13,  0.10375677E+06
      1,      6,     17,      1,     17,     16,     12,  0.13877788E-16,      1,     13,     13,     13,  0.10378480E+06
      1,      7,     18,      1,     17,     16,     12,  0.13877788E-16,      1,     13,     13,     13,  0.10380937E+06
      1,      8,     19,      1,     17,     10,     16,  0.13877788E-16,      1,     13,     13,     13,  0.10383106E+06
      1,      9,     20,      1,     17,      8,     16,  0.13877788E-16,      1,     13,     13,     13,  0.10385032E+06
      1,     10,     21,      1,     15,     17,      1,  0.13877788E-16,      1,     13,     13,     13,  0.10386749E+06
      2,      1,     22,      1,      5,     17,      8,  0.27755576E-16,      1,     13,     13,     13,  0.39421179E+04
      2,      1,     23,      1,      2,     17,      1,  0.13877788E-16,      1,     16,     13,     13,  0.40137490E+04
      3,      1,     24,      1,      9,     17,      9,  0.27755576E-16,      1,     13,     13,     13,  0.10587518E+04
      3,      1,     25,      1,      5,     17,      1,  0.13877788E-16,      1,     16,     13,     16,  0.71153557E+03
      4,      1,     26,      1,      2,     17,      1,  0.13877788E-16,      1,     13,     13,     13,  0.56007999E+03
      4,      1,     27,      1,      2,     17,      1,  0.13877788E-16,      8,      4,      4,      4,  0.34837710E+03
      5,      1,     28,      1,      1,     17,      1,  0.13877788E-16,      1,     13,     13,     13,  0.46317909E+03
      5,      1,     29,      1,      2,     17,      1,  0.13877788E-16,      8,      4,      4,      4,  0.29702812E+03
      6,      1,     30,      1,      5,     17,      1,  0.13877788E-16,      1,     13,     13,     13,  0.40451691E+03
      6,      1,     31,      1,      9,     17,      1,  0.13877788E-16,      8,      4,      4,      4,  0.26602116E+03
      7,      1,     32,      1,      2,     17,      6,  0.27755576E-16,      1,     13,     13,     13,  0.39916609E+03
      7,      1,     33,      1,      2,     17,     10,  0.27755576E-16,      8,      4,      4,      4,  0.20831492E+03
      8,      1,     34,      2,      3,     17,      5,  0.27755576E-16,      1,     13,     13,     13,  0.37754311E+03
      8,      1,     35,      1,      1,     17,      1,  0.13877788E-16,      2,      1,     13,     13,  0.19955426E+03
      9,      1,     36,      1,      2,     17,      1,  0.13877788E-16,      1,     13,     13,     13,  0.38012212E+03
      9,      1,     37,      1,     13,     17,      2,  0.27755576E-16,      1,     13,     13,     13,  0.23327290E+03
     10,      1,     38,      1,      2,     17,     14,  0.27755576E-16,      1,     13,     13,     13,  0.37178332E+03
     10,      1,     39,      1,      5,     17,      1,  0.13877788E-16,      1,     13,     13,     13,  0.25910949E+03
     11,      1,     40,      1,     17,     13,      2,  0.13877788E-16,      1,     13,     13,     13,  0.37786768E+03
     11,      1,     41,      1,      7,      2,     17,  0.27755576E-16,      1,     13,     13,     13,  0.29443317E+03
     12,      1,     42,      1,      1,     17,      1,  0.13877788E-16,      1,     13,     13,     13,  0.37799807E+03
     12,      1,     43,      1,      1,     17,      1,  0.13877788E-16,      1,     13,     13,     13,  0.31686743E+03
     13,      1,     44,      1,      9,     17,      1,  0.13877788E-16,      1,     13,     13,     13,  0.38414816E+03
     13,      1,     45,      1,      5,     17,      1,  0.13877788E-16,      1,     13,     13,     13,  0.34155368E+03
     14,      1,     46,      1,      1,     17,      1,  0.13877788E-16,      1,     13,     13,     13,  0.39177047E+03
     14,      1,     47,      1,      1,     17,      1,  0.13877788E-16,      1,     13,     13,     13,  0.36450150E+03
     15,      1,     48,      1,      1,     17,      1,  0.13877788E-16,      1,     13,     13,     13,  0.40166407E+03
     15,      1,     49,      1,      8,     17,      8,  0.27755576E-16,      1,     13,     13,     13,  0.38823778E+03
     16,      1,     50,      1,     16,      8,     17,  0.27755576E-16,      4,      4,      4,     13,  0.24775107E+03
     16,      1,     51,      1,      1,     17,      1,  0.13877788E-16,      5,     13,     13,      4,  0.26913353E+03
     17,      1,     52,      1,     11,     17,      1,  0.13877788E-16,      2,      4,     13,     13,  0.33013953E+03
     17,      1,     53,      1,      7,     17,      1,  0.13877788E-16,      2,      4,     13,     13,  0.37035577E+03
     18,      1,     54,      1,     14,     17,      4,  0.27755576E-16,      2,      4,     13,     13,  0.30733261E+03
     18,      1,     55,      1,     13,     17,     12,  0.27755576E-16,      2,      4,     13,     13,  0.34113804E+03
     19,      1,     56,      2,      5,     12,     17,  0.27755576E-16,      2,      4,     13,     13,  0.33042055E+03
     19,      1,     57,      1,      7,     17,     14,  0.27755576E-16,      2,      4,     13,     13,  0.36228277E+03
     20,      1,     58,      1,      1,     17,      1,  0.13877788E-16,      2,      4,     13,     13,  0.29411732E+03
     20,      1,     59,      1,      1,     17,      1,  0.13877788E-16,      5,     13,     13,      4,  0.32923874E+03
