,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-11-13T14:05:36.979+01:00,   0.264E-02,   0.00264,   0.912E+01
      2,2020-11-13T14:05:37.334+01:00,   0.264E-02,   0.00528,   0.983E+01
      3,2020-11-13T14:05:37.717+01:00,   0.264E-02,   0.00792,   0.106E+02
      4,2020-11-13T14:05:38.067+01:00,   0.264E-02,   0.01056,   0.113E+02
      5,2020-11-13T14:05:38.423+01:00,   0.290E-02,   0.01347,   0.120E+02
      6,2020-11-13T14:05:38.784+01:00,   0.290E-02,   0.01637,   0.127E+02
      7,2020-11-13T14:05:39.131+01:00,   0.319E-02,   0.01957,   0.134E+02
      8,2020-11-13T14:05:39.483+01:00,   0.319E-02,   0.02276,   0.141E+02
      9,2020-11-13T14:05:39.839+01:00,   0.351E-02,   0.02627,   0.148E+02
     10,2020-11-13T14:05:40.189+01:00,   0.351E-02,   0.02979,   0.155E+02
     20,2020-11-13T14:05:43.834+01:00,   0.468E-02,   0.07162,   0.227E+02
     30,2020-11-13T14:05:47.501+01:00,   0.468E-02,   0.11839,   0.300E+02
     40,2020-11-13T14:05:51.153+01:00,   0.468E-02,   0.16517,   0.373E+02
     50,2020-11-13T14:05:55.079+01:00,   0.468E-02,   0.21195,   0.451E+02
     60,2020-11-13T14:05:59.250+01:00,   0.421E-02,   0.25732,   0.534E+02
     70,2020-11-13T14:06:03.175+01:00,   0.421E-02,   0.29940,   0.612E+02
     80,2020-11-13T14:06:07.471+01:00,   0.327E-02,   0.33455,   0.697E+02
     90,2020-11-13T14:06:11.450+01:00,   0.327E-02,   0.36729,   0.776E+02
    100,2020-11-13T14:06:15.475+01:00,   0.327E-02,   0.40002,   0.856E+02
    200,2020-11-13T14:06:56.353+01:00,   0.261E-02,   0.70788,   0.167E+03
    300,2020-11-13T14:07:40.828+01:00,   0.178E-02,   0.93943,   0.254E+03
    400,2020-11-13T14:08:25.670+01:00,   0.148E-02,   1.13698,   0.343E+03
    500,2020-11-13T14:09:09.405+01:00,   0.141E-02,   1.29601,   0.429E+03
    600,2020-11-13T14:09:52.650+01:00,   0.138E-02,   1.43842,   0.514E+03
    700,2020-11-13T14:10:36.064+01:00,   0.124E-02,   1.56662,   0.600E+03
    800,2020-11-13T14:11:18.697+01:00,   0.135E-02,   1.69859,   0.684E+03
    900,2020-11-13T14:12:00.939+01:00,   0.111E-02,   1.82411,   0.768E+03
   1000,2020-11-13T14:12:43.519+01:00,   0.122E-02,   1.94545,   0.852E+03
   1045,2020-11-13T14:13:02.487+01:00,   0.774E-03,   2.00000,   0.889E+03
