,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-11-13T13:11:34.216+01:00,   0.264E-02,   0.00264,   0.524E+01
      2,2020-11-13T13:11:34.629+01:00,   0.264E-02,   0.00528,   0.599E+01
      3,2020-11-13T13:11:35.163+01:00,   0.264E-02,   0.00792,   0.688E+01
      4,2020-11-13T13:11:35.580+01:00,   0.264E-02,   0.01056,   0.765E+01
      5,2020-11-13T13:11:35.999+01:00,   0.290E-02,   0.01346,   0.841E+01
      6,2020-11-13T13:11:36.464+01:00,   0.290E-02,   0.01636,   0.927E+01
      7,2020-11-13T13:11:36.876+01:00,   0.319E-02,   0.01956,   0.100E+02
      8,2020-11-13T13:11:37.291+01:00,   0.319E-02,   0.02275,   0.108E+02
      9,2020-11-13T13:11:37.755+01:00,   0.351E-02,   0.02627,   0.116E+02
     10,2020-11-13T13:11:38.172+01:00,   0.351E-02,   0.02978,   0.124E+02
     20,2020-11-13T13:11:42.487+01:00,   0.468E-02,   0.07159,   0.202E+02
     30,2020-11-13T13:11:46.849+01:00,   0.468E-02,   0.11835,   0.282E+02
     40,2020-11-13T13:11:51.129+01:00,   0.468E-02,   0.16511,   0.360E+02
     50,2020-11-13T13:11:55.482+01:00,   0.468E-02,   0.21187,   0.439E+02
     60,2020-11-13T13:11:59.899+01:00,   0.407E-02,   0.25803,   0.520E+02
     70,2020-11-13T13:12:04.220+01:00,   0.407E-02,   0.29873,   0.598E+02
     80,2020-11-13T13:12:08.657+01:00,   0.353E-02,   0.33511,   0.679E+02
     90,2020-11-13T13:12:13.040+01:00,   0.353E-02,   0.37040,   0.758E+02
    100,2020-11-13T13:12:17.484+01:00,   0.316E-02,   0.40496,   0.838E+02
    130,2020-11-13T13:12:30.612+01:00,   0.240E-02,   0.50000,   0.108E+03
