s,m/s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","v-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.6448060E-003, 9.3904913E-002, 3.1553695E-002, 2.4238893E-002, 4.6040496E+000, 1.3877788E-017, 1.0000000E+001, 3.9000000E+001, 4.6632125E-001, 9.6663167E-009
 5.2896120E-003, 9.1471933E-002, 3.3091622E-002, 2.5432301E-002,-6.2917242E-002, 1.3877788E-017, 1.0000000E+000, 3.9000000E+001, 4.6349247E-001, 6.4243443E-009
 7.9344180E-003, 9.1651729E-002, 3.3267682E-002, 2.5573882E-002,-5.1903976E-003, 1.3877788E-017, 1.0000000E+000, 3.9000000E+001, 4.5961232E-001, 3.6493811E-009
 1.0579224E-002, 9.2728708E-002, 3.3143090E-002, 2.5481668E-002, 1.1044722E-002, 1.3877788E-017, 1.0000000E+000, 3.7000000E+001, 4.5524682E-001, 9.2570878E-009
 1.3488511E-002, 9.4071293E-002, 3.2946640E-002, 2.5327078E-002, 3.8339578E-002, 1.3877788E-017, 1.0000000E+000, 3.8000000E+001, 4.6812929E-001, 8.8748517E-009
 1.6397797E-002, 9.4627021E-002, 3.2844855E-002, 2.5225487E-002, 7.0693441E-002, 1.3877788E-017, 1.0000000E+000, 3.8000000E+001, 4.6815194E-001, 6.4561765E-009
 1.9598013E-002, 9.4208674E-002, 3.2929557E-002, 2.5255817E-002, 8.9148382E-002, 1.3877788E-017, 1.0000000E+000, 3.8000000E+001, 4.6939819E-001, 7.4508518E-009
 2.2798228E-002, 9.2896413E-002, 3.3233393E-002, 2.5452664E-002, 5.8029120E-002, 1.3877788E-017, 1.0000000E+000, 3.8000000E+001, 4.6778774E-001, 9.2140336E-009
 2.6318465E-002, 9.1842197E-002, 3.3567844E-002, 2.5684144E-002, 6.7522695E-003, 2.7755576E-017, 1.0000000E+000, 3.9000000E+001, 4.6430938E-001, 4.2396374E-009
 2.9838701E-002, 9.1839669E-002, 3.3843749E-002, 2.5880543E-002,-5.2583819E-002, 2.7755576E-017, 1.0000000E+000, 3.9000000E+001, 4.6274829E-001, 4.3280273E-009
 3.3710962E-002, 9.2470866E-002, 3.4039700E-002, 2.6006580E-002,-8.8416952E-002, 2.7755576E-017, 1.0000000E+000, 3.9000000E+001, 4.6152074E-001, 4.0701722E-009
 3.7583222E-002, 9.3364235E-002, 3.4195601E-002, 2.6082509E-002,-7.9998412E-002, 1.3877788E-017, 1.0000000E+000, 3.9000000E+001, 4.6278938E-001, 4.2654433E-009
 4.1455483E-002, 9.3992528E-002, 3.4365171E-002, 2.6146346E-002,-5.1490661E-002, 1.3877788E-017, 1.0000000E+000, 3.9000000E+001, 4.6472866E-001, 4.2314563E-009
 4.5327743E-002, 9.4522342E-002, 3.4576166E-002, 2.6230659E-002,-1.2684955E-002, 1.3877788E-017, 1.0000000E+000, 3.8000000E+001, 4.6831821E-001, 8.8641763E-009
 4.9587230E-002, 9.5251338E-002, 3.4845964E-002, 2.6348694E-002, 2.0476609E-002, 2.7755576E-017, 1.0000000E+000, 3.7000000E+001, 4.6717198E-001, 9.6894456E-009
 5.3846716E-002, 9.5185138E-002, 3.4858607E-002, 2.6005886E-002, 1.1686280E-002, 2.7755576E-017, 1.0000000E+000, 3.7000000E+001, 4.7152672E-001, 5.5797360E-009
 5.8106203E-002, 9.4929873E-002, 3.4832060E-002, 2.5594043E-002, 1.5255616E-002, 1.3877788E-017, 1.0000000E+000, 3.8000000E+001, 4.6870177E-001, 4.5090209E-009
 6.2365689E-002, 9.4461980E-002, 3.4815552E-002, 2.5209815E-002, 1.5087758E-002, 1.3877788E-017, 1.0000000E+000, 3.8000000E+001, 4.6496870E-001, 5.8075081E-009
 6.7051125E-002, 9.3631892E-002, 3.4774622E-002, 2.4760641E-002, 9.1820250E-003, 1.3877788E-017, 1.0000000E+000, 3.8000000E+001, 4.6683282E-001, 8.9892514E-009
 7.1736560E-002, 9.2460746E-002, 3.4708402E-002, 2.4290934E-002,-3.5881921E-003, 2.7755576E-017, 1.0000000E+000, 3.9000000E+001, 4.6282596E-001, 3.4345689E-009
 7.6421995E-002, 9.1170187E-002, 3.4601277E-002, 2.3757283E-002,-1.5349704E-002, 1.3877788E-017, 1.0000000E+000, 3.8000000E+001, 4.6485272E-001, 8.9989730E-009
 8.1107430E-002, 8.9990152E-002, 3.4476806E-002, 2.3187683E-002,-2.3519977E-002, 2.7755576E-017, 1.0000000E+000, 3.8000000E+001, 4.6221818E-001, 6.7298707E-009
 8.5792865E-002, 8.9052455E-002, 3.4358770E-002, 2.2614302E-002,-2.7111223E-002, 1.3877788E-017, 1.0000000E+000, 3.8000000E+001, 4.6212530E-001, 5.5198367E-009
 9.0478300E-002, 8.8227770E-002, 3.4219391E-002, 2.1989614E-002,-3.0471405E-002, 1.3877788E-017, 1.0000000E+000, 3.8000000E+001, 4.6342343E-001, 4.2952715E-009
