Time Step,Iteration,Total,Mesh,I,J,K,Velocity Error,Mesh,I,J,K,Pressure Error
      1,      1,      1,      1,      0,      0,      0,  0.00000000E+00,      1,     13,     13,     13,  0.11756121E+05
      1,      1,      2,      1,      0,      0,      0,  0.00000000E+00,      1,     13,     13,     13,  0.98243651E+05
      1,      2,      3,      1,      0,      0,      0,  0.00000000E+00,      1,     13,     13,     13,  0.98424584E+05
      1,      3,      4,      1,      0,      0,      0,  0.00000000E+00,      1,     13,     13,     13,  0.98559806E+05
      1,      4,      5,      1,      0,      0,      0,  0.00000000E+00,      1,     13,     13,     13,  0.98665398E+05
      1,      5,      6,      1,      0,      0,      0,  0.00000000E+00,      1,     13,     13,     13,  0.98750763E+05
      1,      6,      7,      1,      0,      0,      0,  0.00000000E+00,      1,     13,     13,     13,  0.98821595E+05
      1,      7,      8,      1,      0,      0,      0,  0.00000000E+00,      1,     13,     13,     13,  0.98881569E+05
      1,      8,      9,      1,      0,      0,      0,  0.00000000E+00,      1,     13,     13,     13,  0.98933182E+05
      1,      9,     10,      1,      0,      0,      0,  0.00000000E+00,      1,     13,     13,     13,  0.98978198E+05
      1,     10,     11,      1,      0,      0,      0,  0.00000000E+00,      1,     13,     13,     13,  0.99017908E+05
      1,      1,     12,      1,     17,     16,     12,  0.13877788E-16,      1,     13,     13,     13,  0.10359285E+06
      1,      2,     13,      1,     17,     15,      5,  0.13877788E-16,      1,     13,     13,     13,  0.10365256E+06
      1,      3,     14,      1,     17,     16,     12,  0.13877788E-16,      1,     13,     13,     13,  0.10370236E+06
      1,      4,     15,      1,     17,     16,     12,  0.13877788E-16,      1,     13,     13,     13,  0.10374524E+06
      1,      5,     16,      1,     17,     16,     12,  0.13877788E-16,      1,     13,     13,     13,  0.10378295E+06
      1,      6,     17,      1,     17,     15,      2,  0.13877788E-16,      1,     13,     13,     13,  0.10381662E+06
      1,      7,     18,      1,     17,      3,     16,  0.13877788E-16,      1,     13,     13,     13,  0.10384701E+06
      1,      8,     19,      1,     17,     15,      5,  0.13877788E-16,      1,     13,     13,     13,  0.10387469E+06
      1,      9,     20,      1,     17,      3,     16,  0.13877788E-16,      1,     13,     13,     13,  0.10390007E+06
      1,     10,     21,      1,      5,     17,      1,  0.13877788E-16,      1,     13,     13,     13,  0.10392350E+06
      2,      1,     22,      2,      1,     17,      8,  0.27755576E-16,      1,     13,     13,     13,  0.39892675E+04
      2,      1,     23,      1,     12,     17,     11,  0.27755576E-16,      1,     16,     13,     13,  0.40073687E+04
      3,      1,     24,      1,      3,     17,      4,  0.27755576E-16,      1,     13,     13,     13,  0.11099697E+04
      3,      1,     25,      1,     15,     17,      1,  0.27755576E-16,      1,     16,     13,     16,  0.71038762E+03
      4,      1,     26,      1,      9,     17,      1,  0.13877788E-16,      1,     13,     13,     13,  0.61436995E+03
      4,      1,     27,      1,     17,      2,     16,  0.13877788E-16,      8,      4,      4,      4,  0.34703449E+03
      5,      1,     28,      1,      7,     17,      1,  0.13877788E-16,      1,     13,     13,     13,  0.52510291E+03
      5,      1,     29,      1,      7,     17,      1,  0.13877788E-16,      8,      4,      4,      4,  0.29541801E+03
      6,      1,     30,      2,      1,     17,      2,  0.27755576E-16,      1,     13,     13,     13,  0.46373015E+03
      6,      1,     31,      1,     14,     17,      8,  0.27755576E-16,      8,      4,      4,      4,  0.26408953E+03
      7,      1,     32,      1,      2,     17,      1,  0.13877788E-16,      1,     13,     13,     13,  0.46538662E+03
      7,      1,     33,      1,      2,     17,      1,  0.13877788E-16,      8,      4,      4,      4,  0.20617365E+03
      8,      1,     34,      1,     10,     17,     16,  0.27755576E-16,      1,     13,     13,     13,  0.43960724E+03
      8,      1,     35,      1,      2,     17,      1,  0.13877788E-16,      2,      1,     13,     13,  0.18794762E+03
      9,      1,     36,      1,      1,     17,      1,  0.13877788E-16,      1,     13,     13,     13,  0.44849695E+03
      9,      1,     37,      1,     10,     17,      1,  0.13877788E-16,      2,      1,     13,     13,  0.21510746E+03
     10,      1,     38,      1,      1,     17,      1,  0.13877788E-16,      1,     13,     13,     13,  0.43486320E+03
     10,      1,     39,      1,      1,     17,      1,  0.13877788E-16,      2,      1,     13,     13,  0.23169646E+03
     11,      1,     40,      1,      6,     14,     17,  0.27755576E-16,      1,     13,     13,     13,  0.44654700E+03
     11,      1,     41,      1,     11,     17,      1,  0.13877788E-16,      1,     16,     13,     13,  0.25331810E+03
     12,      1,     42,      1,      4,     17,      1,  0.13877788E-16,      1,     13,     13,     13,  0.44057799E+03
     12,      1,     43,      1,      4,     17,      1,  0.13877788E-16,      1,     16,     13,     13,  0.26939653E+03
     13,      1,     44,      1,      1,     17,      1,  0.13877788E-16,      1,     13,     13,     13,  0.44589123E+03
     13,      1,     45,      1,      1,     17,      1,  0.13877788E-16,      1,     16,     13,     13,  0.28702597E+03
     14,      1,     46,      1,      5,     17,     13,  0.27755576E-16,      1,     13,     13,     13,  0.45251548E+03
     14,      1,     47,      1,      2,     17,      1,  0.13877788E-16,      1,     16,     13,     13,  0.30423272E+03
     15,      1,     48,      1,      2,     17,      1,  0.13877788E-16,      1,     13,     13,     13,  0.46682444E+03
     15,      1,     49,      1,      2,     17,      2,  0.27755576E-16,      1,     13,     13,     13,  0.33392279E+03
     16,      1,     50,      1,      1,     17,      1,  0.13877788E-16,      5,     13,     13,      4,  0.27407275E+03
     16,      1,     51,      1,      1,     17,      1,  0.13877788E-16,      2,      4,     13,     13,  0.29777102E+03
     17,      1,     52,      1,      1,     17,      1,  0.13877788E-16,      4,      4,      4,     13,  0.29784773E+03
     17,      1,     53,      1,      5,     17,      1,  0.13877788E-16,      2,      4,     13,     13,  0.40531652E+03
     18,      1,     54,      1,      3,     17,      1,  0.13877788E-16,      5,     13,     13,      4,  0.30324651E+03
     18,      1,     55,      1,      3,     17,      1,  0.13877788E-16,      2,      4,     13,     13,  0.37541499E+03
     19,      1,     56,      1,      9,     17,      1,  0.13877788E-16,      5,     13,     13,      4,  0.31084406E+03
     19,      1,     57,      1,      7,     17,      1,  0.13877788E-16,      2,      4,     13,     13,  0.39579222E+03
     20,      1,     58,      1,      1,     17,      1,  0.13877788E-16,      5,     13,     13,      4,  0.32245472E+03
     20,      1,     59,      1,     15,     17,     12,  0.27755576E-16,      2,      4,     13,     13,  0.34844003E+03
     21,      1,     60,      1,      8,     17,      1,  0.13877788E-16,      5,     13,     13,      4,  0.32906936E+03
     21,      1,     61,      1,     10,     17,      9,  0.27755576E-16,      2,      4,     13,     13,  0.37055905E+03
     22,      1,     62,      1,      9,      2,     17,  0.27755576E-16,      5,     13,     13,      4,  0.34048790E+03
     22,      1,     63,      1,      2,     17,      1,  0.13877788E-16,      2,      4,     13,     13,  0.33796611E+03
     23,      1,     64,      1,     16,     12,     17,  0.27755576E-16,      5,     13,     13,      4,  0.34874594E+03
     23,      1,     65,      1,      1,     17,      1,  0.13877788E-16,      2,      4,     13,     13,  0.35677196E+03
     24,      1,     66,      1,     15,     11,     17,  0.27755576E-16,      5,     13,     13,      4,  0.35899876E+03
     24,      1,     67,      1,      1,     17,      1,  0.13877788E-16,      5,     13,     13,      4,  0.35267246E+03
     25,      1,     68,      1,      1,     17,      1,  0.13877788E-16,      5,     13,     13,      4,  0.37028042E+03
     25,      1,     69,      1,      1,     17,      1,  0.13877788E-16,      5,     13,     13,      4,  0.36678167E+03
     26,      1,     70,      1,     17,      1,     12,  0.13877788E-16,      5,     13,     13,      4,  0.37903767E+03
     26,      1,     71,      1,      1,     17,      1,  0.13877788E-16,      5,     13,     13,      4,  0.37965356E+03
     27,      1,     72,      1,     10,     17,      1,  0.13877788E-16,      2,      4,     13,     13,  0.55767531E+03
     27,      1,     73,      1,      2,     17,      2,  0.13877788E-16,      2,      4,     13,     13,  0.63537580E+03
     28,      1,     74,      1,      1,     17,      1,  0.13877788E-16,      2,      4,     13,     13,  0.56886073E+03
     28,      1,     75,      1,      6,     17,      2,  0.13877788E-16,      2,      4,     13,     13,  0.64341280E+03
     29,      1,     76,      1,      5,      3,     17,  0.27755576E-16,      2,      4,     13,     13,  0.60871574E+03
     29,      1,     77,      2,      1,     17,     10,  0.27755576E-16,      2,      4,     13,     13,  0.68344984E+03
     30,      1,     78,      1,      1,     17,      1,  0.13877788E-16,      2,      4,     13,     13,  0.61260802E+03
     30,      1,     79,      1,      1,     17,      1,  0.13877788E-16,      2,      4,     13,     13,  0.68511887E+03
     31,      1,     80,      1,     17,      1,     11,  0.13877788E-16,      2,      4,     13,     13,  0.57746310E+03
     31,      1,     81,      1,      1,     17,      1,  0.13877788E-16,      2,      4,     13,     13,  0.64503205E+03
     32,      1,     82,      1,      8,     17,     12,  0.27755576E-16,      2,      4,     13,     13,  0.61598232E+03
     32,      1,     83,      1,      5,     17,      1,  0.13877788E-16,      2,      4,     13,     13,  0.68396110E+03
     33,      1,     84,      1,      7,     17,      4,  0.27755576E-16,      2,      4,     13,     13,  0.61980317E+03
     33,      1,     85,      1,     15,     17,     10,  0.27755576E-16,      2,      4,     13,     13,  0.68599233E+03
     34,      1,     86,      1,     11,     17,      1,  0.13877788E-16,      2,      4,     13,     13,  0.58473673E+03
     34,      1,     87,      1,     11,     17,      1,  0.13877788E-16,      2,      4,     13,     13,  0.64644986E+03
     35,      1,     88,      1,      2,     17,      1,  0.13877788E-16,      2,      4,     13,     13,  0.62333177E+03
     35,      1,     89,      1,      4,     17,     10,  0.27755576E-16,      2,      4,     13,     13,  0.68582163E+03
     36,      1,     90,      5,      9,     17,      3,  0.27755576E-16,      2,      4,     13,     13,  0.62712253E+03
     36,      1,     91,      1,     10,      3,     17,  0.27755576E-16,      2,      4,     13,     13,  0.68820967E+03
     37,      1,     92,      1,     17,      1,     11,  0.27755576E-16,      2,      4,     13,     13,  0.36861105E+03
     37,      1,     93,      1,      2,     17,      2,  0.13877788E-16,      2,      4,     13,     13,  0.41407489E+03
     38,      1,     94,      1,      2,     17,      1,  0.13877788E-16,      1,     13,     13,     13,  0.10024525E+04
     38,      1,     95,      1,      2,     17,      1,  0.13877788E-16,      1,     13,     13,     13,  0.10460075E+04
     39,      1,     96,      1,     17,      1,     11,  0.13877788E-16,      1,     13,     13,     13,  0.10543976E+04
     39,      1,     97,      1,     17,     12,      1,  0.13877788E-16,      1,     13,     13,     13,  0.11042932E+04
     40,      1,     98,      1,     17,     13,     12,  0.13877788E-16,      1,     13,     13,     13,  0.10547232E+04
     40,      1,     99,      1,     17,     14,     11,  0.13877788E-16,      1,     13,     13,     13,  0.11062899E+04
     41,      1,    100,      1,     17,     16,     11,  0.27755576E-16,      1,     13,     13,     13,  0.10885912E+04
     41,      1,    101,      1,     17,     12,     16,  0.27755576E-16,      1,     13,     13,     13,  0.11434388E+04
     42,      1,    102,      1,     17,     12,      1,  0.13877788E-16,      1,     13,     13,     13,  0.11038323E+04
     42,      1,    103,      1,     17,      2,     10,  0.13877788E-16,      1,     13,     13,     13,  0.11613675E+04
     43,      1,    104,      1,     17,      2,     10,  0.13877788E-16,      1,     13,     13,     13,  0.10995828E+04
     43,      1,    105,      1,     17,     14,     10,  0.13877788E-16,      1,     13,     13,     13,  0.11590126E+04
     44,      1,    106,      1,     17,      1,     10,  0.13877788E-16,      1,     13,     13,     13,  0.11338472E+04
     44,      1,    107,      1,     17,     15,      9,  0.13877788E-16,      1,     13,     13,     13,  0.11975309E+04
     45,      1,    108,      1,     17,     15,     10,  0.13877788E-16,      1,     13,     13,     13,  0.11506970E+04
     45,      1,    109,      1,     17,     16,     10,  0.13877788E-16,      1,     13,     13,     13,  0.12178752E+04
     46,      1,    110,      1,     17,     12,      9,  0.13877788E-16,      1,     13,     13,     13,  0.11484574E+04
     46,      1,    111,      2,      1,     17,      8,  0.27755576E-16,      1,     13,     13,     13,  0.12181254E+04
     47,      1,    112,      1,     17,     14,      8,  0.13877788E-16,      1,     13,     13,     13,  0.11849270E+04
     47,      1,    113,      1,     17,     14,      8,  0.13877788E-16,      1,     13,     13,     13,  0.12594177E+04
     48,      1,    114,      1,      8,     17,     16,  0.27755576E-16,      3,     13,      4,     13,  0.97519848E+03
     48,      1,    115,      1,     17,     11,      9,  0.13877788E-16,      1,     13,     13,     13,  0.10361102E+04
     49,      1,    116,      1,      8,     10,     17,  0.27755576E-16,      3,     13,      4,     13,  0.83180406E+03
     49,      1,    117,      1,     12,      2,     17,  0.27755576E-16,      3,     13,      4,     13,  0.88537151E+03
     50,      1,    118,      1,     17,     10,      9,  0.13877788E-16,      3,     13,      4,     13,  0.86013779E+03
     50,      1,    119,      1,     17,     10,      9,  0.13877788E-16,      3,     13,      4,     13,  0.91811870E+03
     51,      1,    120,      1,     17,     11,      2,  0.13877788E-16,      3,     13,      4,     13,  0.87975159E+03
     51,      1,    121,      1,     17,      2,      9,  0.13877788E-16,      3,     13,      4,     13,  0.94121800E+03
     52,      1,    122,      1,     17,     12,      2,  0.13877788E-16,      3,     13,      4,     13,  0.88517015E+03
     52,      1,    123,      1,     11,     13,     17,  0.27755576E-16,      3,     13,      4,     13,  0.94842021E+03
     53,      1,    124,      1,     12,      2,     17,  0.27755576E-16,      3,     13,      4,     13,  0.91998369E+03
     53,      1,    125,      1,     12,      2,     17,  0.27755576E-16,      3,     13,      4,     13,  0.98835534E+03
     54,      1,    126,      1,     17,      2,     12,  0.27755576E-16,      3,     13,      4,     13,  0.94284442E+03
     54,      1,    127,      1,     17,      2,     12,  0.27755576E-16,      3,     13,      4,     13,  0.10149757E+04
     55,      1,    128,      1,     12,      2,     17,  0.27755576E-16,      3,     13,      4,     13,  0.95109159E+03
     55,      1,    129,      1,     17,      4,     12,  0.27755576E-16,      3,     13,      4,     13,  0.10251999E+04
     56,      1,    130,      3,     17,      1,     11,  0.27755576E-16,      3,     13,      4,     13,  0.98871224E+03
     56,      1,    131,      1,     17,     10,      1,  0.13877788E-16,      3,     13,      4,     13,  0.10682341E+04
     57,      1,    132,      1,     12,      3,     17,  0.27755576E-16,      3,     13,      4,     13,  0.10145153E+04
     57,      1,    133,      1,     12,      3,     17,  0.27755576E-16,      3,     13,      4,     13,  0.10980992E+04
     58,      1,    134,      1,     17,     12,      1,  0.13877788E-16,      3,     13,      4,     13,  0.10258338E+04
     58,      1,    135,      1,     17,     12,      1,  0.13877788E-16,      3,     13,      4,     13,  0.10376570E+04
