,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-10-30T17:41:18.645+01:00,   0.264E-02,   0.00264,   1.16409
      2,2020-10-30T17:41:18.753+01:00,   0.264E-02,   0.00528,   1.37931
      3,2020-10-30T17:41:18.842+01:00,   0.264E-02,   0.00792,   1.52465
      4,2020-10-30T17:41:18.890+01:00,   0.264E-02,   0.01056,   1.61911
      5,2020-10-30T17:41:18.928+01:00,   0.290E-02,   0.01346,   1.69536
      6,2020-10-30T17:41:18.974+01:00,   0.290E-02,   0.01637,   1.78435
      7,2020-10-30T17:41:19.011+01:00,   0.319E-02,   0.01956,   1.85828
      8,2020-10-30T17:41:19.049+01:00,   0.319E-02,   0.02275,   1.93198
      9,2020-10-30T17:41:19.094+01:00,   0.351E-02,   0.02627,   2.01993
     10,2020-10-30T17:41:19.131+01:00,   0.351E-02,   0.02978,   2.09342
     20,2020-10-30T17:41:19.561+01:00,   0.468E-02,   0.07160,   2.91227
     30,2020-10-30T17:41:19.993+01:00,   0.468E-02,   0.11836,   3.73693
     40,2020-10-30T17:41:20.389+01:00,   0.468E-02,   0.16512,   4.51399
     50,2020-10-30T17:41:20.821+01:00,   0.468E-02,   0.21189,   5.33584
     60,2020-10-30T17:41:21.277+01:00,   0.421E-02,   0.25725,   6.20860
     70,2020-10-30T17:41:21.710+01:00,   0.421E-02,   0.29933,   7.02563
     80,2020-10-30T17:41:22.136+01:00,   0.327E-02,   0.33449,   7.86312
     90,2020-10-30T17:41:22.571+01:00,   0.327E-02,   0.36723,   8.68811
    100,2020-10-30T17:41:23.308+01:00,   0.327E-02,   0.39997,   9.97898
    131,2020-10-30T17:41:24.725+01:00,   0.183E-02,   0.50000,  12.69039
