s,m/s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","v-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.6394955E-003, 9.1660711E-002, 3.2674791E-002, 2.5111087E-002, 4.6457036E+000, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.2789910E-003, 9.1813737E-002, 3.2778583E-002, 2.5180581E-002, 6.8911060E-003, 2.7755576E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.9184865E-003, 9.1974239E-002, 3.2885438E-002, 2.5250598E-002, 7.2288895E-003, 2.7755576E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0557982E-002, 9.2142151E-002, 3.2995317E-002, 2.5321433E-002, 7.5573675E-003, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3461427E-002, 9.2335453E-002, 3.3119699E-002, 2.5400295E-002, 7.8843285E-003, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.6364872E-002, 9.2537840E-002, 3.3247807E-002, 2.5480146E-002, 8.2484350E-003, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.9558662E-002, 9.2771042E-002, 3.3393074E-002, 2.5569125E-002, 8.6119319E-003, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.2752451E-002, 9.3015447E-002, 3.3542959E-002, 2.5659302E-002, 9.0180866E-003, 2.7755576E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.6265620E-002, 9.3297363E-002, 3.3713233E-002, 2.5759886E-002, 9.4241103E-003, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.9778788E-002, 9.3593135E-002, 3.3889245E-002, 2.5861930E-002, 9.8786137E-003, 2.7755576E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.3643274E-002, 9.3934665E-002, 3.4089572E-002, 2.5975873E-002, 1.0332883E-002, 2.7755576E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.7507759E-002, 9.4293346E-002, 3.4297031E-002, 2.6091599E-002, 1.0841688E-002, 2.7755576E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.1372245E-002, 9.4669363E-002, 3.4511711E-002, 2.6209122E-002, 1.1354802E-002, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.5236730E-002, 9.5062891E-002, 3.4733695E-002, 2.6328451E-002, 1.1871814E-002, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.9487664E-002, 9.5516194E-002, 3.4986405E-002, 2.6461817E-002, 1.2386537E-002, 2.7755576E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.3738598E-002, 9.4852446E-002, 3.4916834E-002, 2.6042931E-002,-2.3246543E-002, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.7989532E-002, 9.4085618E-002, 3.4818159E-002, 2.5565638E-002,-2.6586295E-002, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.2240466E-002, 9.3327820E-002, 3.4722802E-002, 2.5084768E-002,-2.6355015E-002, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.6916493E-002, 9.2458323E-002, 3.4608217E-002, 2.4529383E-002,-2.7451214E-002, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.1592520E-002, 9.1597649E-002, 3.4496866E-002, 2.3969235E-002,-2.7253218E-002, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.6268547E-002, 9.0802002E-002, 3.4405042E-002, 2.3431980E-002,-2.5430570E-002, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.0944575E-002, 8.9957402E-002, 3.4299587E-002, 2.2862383E-002,-2.6903180E-002, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.5620602E-002, 8.9176630E-002, 3.4213124E-002, 2.2315616E-002,-2.5114534E-002, 1.3877788E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.0296629E-002, 8.8345879E-002, 3.4112516E-002, 2.1736497E-002,-2.6617128E-002, 2.7755576E-017, 1.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
