Time Step,Iteration,Total,Mesh,I,J,K,Velocity Error,Mesh,I,J,K,Pressure Error
      1,      1,      1,      1,      0,      0,      0,  0.00000000E+00,      1,     16,     16,      1,  0.25191488E-01
      1,      1,      2,      1,     13,      0,     13,  0.22204460E-15,      1,     16,     16,      1,  0.21089580E+00
      1,      1,      3,      1,      2,     17,      1,  0.13877788E-16,      5,     16,      1,      2,  0.11071525E+02
      2,      1,      4,      1,      1,     15,     17,  0.27755576E-16,      5,     16,      1,      5,  0.53926904E-01
      2,      1,      5,      1,      9,     17,     10,  0.27755576E-16,      1,     15,     12,     16,  0.22699138E-02
      3,      1,      6,      1,      2,     17,      1,  0.13877788E-16,      4,      4,      4,      1,  0.19418669E-02
      3,      1,      7,      1,      1,     17,      2,  0.27755576E-16,      1,     15,     12,     16,  0.23882878E-02
      4,      1,      8,      1,      3,     17,      1,  0.13877788E-16,      4,      4,      4,      1,  0.18640011E-02
      4,      1,      9,      1,      3,     17,      1,  0.13877788E-16,      1,     16,     12,     16,  0.25092083E-02
      5,      1,     10,      1,      2,     17,      1,  0.13877788E-16,      4,      4,      4,      1,  0.17919575E-02
      5,      1,     11,      1,      6,     17,      1,  0.13877788E-16,      1,     16,     12,     16,  0.26330077E-02
      6,      1,     12,      1,      1,     17,      1,  0.13877788E-16,      4,      4,      4,      1,  0.17195024E-02
      6,      1,     13,      1,      2,     17,      1,  0.13877788E-16,      1,     16,     12,     16,  0.27712549E-02
      7,      1,     14,      1,     10,     17,      1,  0.13877788E-16,      4,      4,      4,      1,  0.16533632E-02
      7,      1,     15,      1,      7,     17,      2,  0.13877788E-16,      5,     16,     12,      1,  0.29118208E-02
      8,      1,     16,      1,      2,     17,      1,  0.13877788E-16,      4,      1,      5,      1,  0.16272216E-02
      8,      1,     17,      1,      5,     17,      7,  0.27755576E-16,      5,     16,     12,      1,  0.30777291E-02
      9,      1,     18,      1,      6,     17,      1,  0.13877788E-16,      6,      1,      1,      5,  0.16948294E-02
      9,      1,     19,      1,      6,     17,      1,  0.13877788E-16,      5,     16,     12,      1,  0.32464564E-02
     10,      1,     20,      1,      1,     17,      1,  0.13877788E-16,      6,      1,      1,      5,  0.18402271E-02
     10,      1,     21,      1,     13,     17,      2,  0.27755576E-16,      5,     16,     12,      1,  0.34362515E-02
     11,      1,     22,      1,     17,     16,      2,  0.13877788E-16,      6,      1,      1,      5,  0.19434254E-02
     11,      1,     23,      5,     11,     17,      2,  0.27755576E-16,      5,     16,     12,      1,  0.36296187E-02
     12,      1,     24,      1,      2,     17,      1,  0.13877788E-16,      6,      1,      1,      5,  0.20077102E-02
     12,      1,     25,      1,     10,     17,      8,  0.27755576E-16,      5,     16,     12,      1,  0.38474609E-02
     13,      1,     26,      1,      1,     17,      1,  0.13877788E-16,      6,      1,      1,      5,  0.20287019E-02
     13,      1,     27,      1,      1,     17,      1,  0.13877788E-16,      5,     16,     12,      1,  0.40701754E-02
     14,      1,     28,      1,     12,     17,      9,  0.27755576E-16,      6,      1,      1,      5,  0.20127597E-02
