,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-10-30T18:04:19.348+01:00,   0.264E-02,   0.00264,   1.78152
      2,2020-10-30T18:04:19.377+01:00,   0.264E-02,   0.00528,   1.83921
      3,2020-10-30T18:04:19.449+01:00,   0.264E-02,   0.00792,   1.94649
      4,2020-10-30T18:04:19.479+01:00,   0.264E-02,   0.01056,   2.00496
      5,2020-10-30T18:04:19.509+01:00,   0.290E-02,   0.01346,   2.06248
      6,2020-10-30T18:04:19.544+01:00,   0.290E-02,   0.01636,   2.13264
      7,2020-10-30T18:04:19.574+01:00,   0.319E-02,   0.01956,   2.19034
      8,2020-10-30T18:04:19.603+01:00,   0.319E-02,   0.02275,   2.24821
      9,2020-10-30T18:04:19.640+01:00,   0.351E-02,   0.02627,   2.31896
     10,2020-10-30T18:04:19.669+01:00,   0.351E-02,   0.02978,   2.37663
     20,2020-10-30T18:04:20.029+01:00,   0.468E-02,   0.07159,   3.04218
     30,2020-10-30T18:04:20.379+01:00,   0.468E-02,   0.11835,   3.69915
     40,2020-10-30T18:04:20.693+01:00,   0.468E-02,   0.16511,   4.31342
     50,2020-10-30T18:04:21.041+01:00,   0.468E-02,   0.21187,   4.96920
     60,2020-10-30T18:04:21.419+01:00,   0.407E-02,   0.25803,   5.68793
     70,2020-10-30T18:04:21.762+01:00,   0.407E-02,   0.29873,   6.33551
     80,2020-10-30T18:04:22.090+01:00,   0.353E-02,   0.33511,   6.97300
     90,2020-10-30T18:04:22.439+01:00,   0.353E-02,   0.37040,   7.63068
    100,2020-10-30T18:04:22.826+01:00,   0.316E-02,   0.40496,   8.33690
    130,2020-10-30T18:04:23.988+01:00,   0.240E-02,   0.50000,  10.46252
