s,m/s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","v-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.6394955E-003, 9.1660622E-002, 3.2674731E-002, 2.5111385E-002, 4.6456940E+000, 1.3877788E-017, 1.0000000E+001, 6.1000000E+001, 5.9437429E-001, 4.7919345E-009
 5.2789910E-003, 9.1813648E-002, 3.2778523E-002, 2.5180881E-002, 6.8911131E-003, 1.3877788E-017, 1.0000000E+000, 5.7000000E+001, 6.0672466E-001, 6.9776238E-009
 7.9184865E-003, 9.1974150E-002, 3.2885379E-002, 2.5250898E-002, 7.2288978E-003, 1.3877788E-017, 1.0000000E+000, 5.7000000E+001, 6.0701309E-001, 7.2703639E-009
 1.0557982E-002, 9.2142062E-002, 3.2995257E-002, 2.5321734E-002, 7.5573760E-003, 1.3877788E-017, 1.0000000E+000, 5.7000000E+001, 6.0697605E-001, 7.4115643E-009
 1.3461427E-002, 9.2335365E-002, 3.3119639E-002, 2.5400597E-002, 7.8843373E-003, 2.7755576E-017, 1.0000000E+000, 5.7000000E+001, 6.0686638E-001, 7.5447633E-009
 1.6364872E-002, 9.2537752E-002, 3.3247746E-002, 2.5480448E-002, 8.2484439E-003, 1.3877788E-017, 1.0000000E+000, 5.7000000E+001, 6.0676008E-001, 7.6715926E-009
 1.9558662E-002, 9.2770955E-002, 3.3393013E-002, 2.5569428E-002, 8.6119411E-003, 2.7755576E-017, 1.0000000E+000, 5.7000000E+001, 6.0669773E-001, 7.8228152E-009
 2.2752451E-002, 9.3015359E-002, 3.3542898E-002, 2.5659606E-002, 9.0180960E-003, 1.3877788E-017, 1.0000000E+000, 5.7000000E+001, 6.0670219E-001, 7.9823443E-009
 2.6265620E-002, 9.3297276E-002, 3.3713171E-002, 2.5760191E-002, 9.4241198E-003, 1.3877788E-017, 1.0000000E+000, 5.7000000E+001, 6.0678021E-001, 8.1744321E-009
 2.9778788E-002, 9.3593048E-002, 3.3889183E-002, 2.5862236E-002, 9.8786233E-003, 2.7755576E-017, 1.0000000E+000, 5.7000000E+001, 6.0694361E-001, 8.3946230E-009
 3.3643274E-002, 9.3934579E-002, 3.4089510E-002, 2.5976180E-002, 1.0332893E-002, 2.7755576E-017, 1.0000000E+000, 5.7000000E+001, 6.0722304E-001, 8.6979358E-009
 3.7507759E-002, 9.4293260E-002, 3.4296969E-002, 2.6091908E-002, 1.0841698E-002, 1.3877788E-017, 1.0000000E+000, 5.7000000E+001, 6.0758134E-001, 9.0614928E-009
 4.1372245E-002, 9.4669277E-002, 3.4511649E-002, 2.6209431E-002, 1.1354812E-002, 1.3877788E-017, 1.0000000E+000, 5.7000000E+001, 6.0791846E-001, 9.4295337E-009
 4.5236730E-002, 9.5062805E-002, 3.4733633E-002, 2.6328761E-002, 1.1871824E-002, 1.3877788E-017, 1.0000000E+000, 5.7000000E+001, 6.0819076E-001, 9.7815896E-009
 4.9487664E-002, 9.5516109E-002, 3.4986342E-002, 2.6462128E-002, 1.2386547E-002, 1.3877788E-017, 1.0000000E+000, 5.8000000E+001, 6.0599095E-001, 4.9086657E-009
 5.3738598E-002, 9.4852361E-002, 3.4916770E-002, 2.6043244E-002,-2.3246533E-002, 1.3877788E-017, 1.0000000E+000, 5.8000000E+001, 6.0642872E-001, 5.1853889E-009
 5.7989532E-002, 9.4085533E-002, 3.4818095E-002, 2.5565952E-002,-2.6586285E-002, 2.7755576E-017, 1.0000000E+000, 5.8000000E+001, 6.0652898E-001, 5.3140525E-009
 6.2240466E-002, 9.3327736E-002, 3.4722737E-002, 2.5085083E-002,-2.6355005E-002, 1.3877788E-017, 1.0000000E+000, 5.8000000E+001, 6.0639025E-001, 5.3512166E-009
 6.6916493E-002, 9.2458239E-002, 3.4608152E-002, 2.4529699E-002,-2.7451205E-002, 2.7755576E-017, 1.0000000E+000, 5.8000000E+001, 6.0598360E-001, 5.3170905E-009
 7.1592520E-002, 9.1597565E-002, 3.4496801E-002, 2.3969553E-002,-2.7253208E-002, 2.7755576E-017, 1.0000000E+000, 5.8000000E+001, 6.0577798E-001, 5.4066926E-009
 7.6268547E-002, 9.0801918E-002, 3.4404976E-002, 2.3432298E-002,-2.5430560E-002, 1.3877788E-017, 1.0000000E+000, 5.8000000E+001, 6.0578870E-001, 5.6232084E-009
 8.0944575E-002, 8.9957319E-002, 3.4299522E-002, 2.2862703E-002,-2.6903170E-002, 2.7755576E-017, 1.0000000E+000, 5.8000000E+001, 6.0568809E-001, 5.8054460E-009
 8.5620602E-002, 8.9176547E-002, 3.4213058E-002, 2.2315937E-002,-2.5114523E-002, 2.7755576E-017, 1.0000000E+000, 5.8000000E+001, 6.0559861E-001, 5.9791400E-009
 9.0296629E-002, 8.8345796E-002, 3.4112450E-002, 2.1736820E-002,-2.6617118E-002, 2.7755576E-017, 1.0000000E+000, 5.8000000E+001, 6.0543956E-001, 6.1216349E-009
