,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-10-28T15:32:09.509+01:00,   0.264E-02,   0.00264,  10.87266
      2,2020-10-28T15:32:10.226+01:00,   0.264E-02,   0.00528,  12.23387
      3,2020-10-28T15:32:11.029+01:00,   0.264E-02,   0.00792,  13.70337
      4,2020-10-28T15:32:11.742+01:00,   0.264E-02,   0.01056,  15.05726
      5,2020-10-28T15:32:12.453+01:00,   0.290E-02,   0.01346,  16.40697
      6,2020-10-28T15:32:13.216+01:00,   0.290E-02,   0.01636,  17.86104
      7,2020-10-28T15:32:13.931+01:00,   0.319E-02,   0.01956,  19.21677
      8,2020-10-28T15:32:14.648+01:00,   0.319E-02,   0.02275,  20.57961
      9,2020-10-28T15:32:15.410+01:00,   0.351E-02,   0.02627,  22.02891
     10,2020-10-28T15:32:16.121+01:00,   0.351E-02,   0.02978,  23.38120
     20,2020-10-28T15:32:23.454+01:00,   0.468E-02,   0.07159,  37.26274
     30,2020-10-28T15:32:30.960+01:00,   0.468E-02,   0.11835,  51.36096
     40,2020-10-28T15:32:38.277+01:00,   0.468E-02,   0.16511,  65.27158
     50,2020-10-28T15:32:45.654+01:00,   0.468E-02,   0.21187,  79.24567
     60,2020-10-28T15:32:53.290+01:00,   0.407E-02,   0.25803,  93.70982
     70,2020-10-28T15:33:00.703+01:00,   0.407E-02,   0.29873, 107.72168
     80,2020-10-28T15:33:08.291+01:00,   0.353E-02,   0.33511, 122.17006
     90,2020-10-28T15:33:15.818+01:00,   0.353E-02,   0.37040, 136.36572
    100,2020-10-28T15:33:23.500+01:00,   0.316E-02,   0.40496, 150.85297
    130,2020-10-28T15:33:46.258+01:00,   0.240E-02,   0.50000, 193.83838
