s,s
Time,"cpu"
 0.0000000E+000, 6.2276038E+000
 1.5811388E-001, 7.0195979E+000
 3.1622777E-001, 7.3711199E+000
 4.7434165E-001, 7.9417270E+000
 5.4189379E-001, 8.6914934E+000
 6.1620115E-001, 9.1460546E+000
 6.9793925E-001, 9.5952534E+000
 7.7967734E-001, 1.0084803E+001
 8.5293375E-001, 1.0595489E+001
 9.2619016E-001, 1.0957039E+001
 9.9944657E-001, 1.1476933E+001
 1.0426982E+000, 1.1987173E+001
 1.0902749E+000, 1.2369560E+001
 1.1378516E+000, 1.2925687E+001
 1.1854284E+000, 1.3288269E+001
 1.2330051E+000, 1.3677072E+001
 1.2716329E+000, 1.4431990E+001
 1.3102607E+000, 1.4932629E+001
 1.3488884E+000, 1.5357985E+001
 1.3875162E+000, 1.5900656E+001
 1.4207564E+000, 1.6500149E+001
 1.4539965E+000, 1.6927227E+001
 1.4872367E+000, 1.7483006E+001
 1.5204768E+000, 1.7999455E+001
 1.5537170E+000, 1.8482678E+001
 1.5869571E+000, 1.9077359E+001
 1.6201973E+000, 1.9585104E+001
 1.6482155E+000, 2.0353100E+001
 1.6762338E+000, 2.0896675E+001
 1.7042521E+000, 2.1361607E+001
 1.7322703E+000, 2.1845248E+001
 1.7602886E+000, 2.2399645E+001
 1.7851418E+000, 2.3056458E+001
 1.8099951E+000, 2.3554161E+001
 1.8348484E+000, 2.4125519E+001
 1.8597016E+000, 2.4617228E+001
 1.8845549E+000, 2.5091004E+001
 1.9094081E+000, 2.5674601E+001
 1.9342614E+000, 2.6180842E+001
 1.9591147E+000, 2.6671940E+001
 1.9839679E+000, 2.7269011E+001
 2.0088212E+000, 2.7798737E+001
 2.0336745E+000, 2.8304825E+001
 2.0556982E+000, 2.9317461E+001
 2.0777220E+000, 2.9853194E+001
 2.0997458E+000, 3.0388190E+001
 2.1217696E+000, 3.0991036E+001
 2.1408383E+000, 3.1675434E+001
 2.1599069E+000, 3.2178044E+001
 2.1789756E+000, 3.2771828E+001
 2.1980442E+000, 3.3276547E+001
 2.2171129E+000, 3.3811444E+001
 2.2361815E+000, 3.4392479E+001
 2.2552502E+000, 3.4969586E+001
 2.2743189E+000, 3.5613072E+001
 2.2933875E+000, 3.6193261E+001
 2.3124562E+000, 3.6785870E+001
 2.3315248E+000, 3.7290841E+001
 2.3505935E+000, 3.7860577E+001
 2.3696621E+000, 3.8501267E+001
 2.3866240E+000, 3.9162114E+001
 2.4035859E+000, 3.9749627E+001
 2.4205478E+000, 4.0254158E+001
 2.4375097E+000, 4.0729699E+001
 2.4523179E+000, 4.1501591E+001
 2.4652032E+000, 4.2163075E+001
 2.4780886E+000, 4.2707001E+001
 2.4909739E+000, 4.3275967E+001
 2.5038592E+000, 4.3935437E+001
 2.5167445E+000, 4.4411293E+001
 2.5296298E+000, 4.4992875E+001
 2.5425151E+000, 4.5500519E+001
 2.5554005E+000, 4.5989823E+001
 2.5682858E+000, 4.6599236E+001
 2.5811711E+000, 4.7089058E+001
 2.5940564E+000, 4.7605137E+001
 2.6069417E+000, 4.8191018E+001
 2.6198271E+000, 4.8693482E+001
 2.6327124E+000, 4.9224060E+001
 2.6468862E+000, 4.9840222E+001
 2.6610601E+000, 5.0384304E+001
 2.6752339E+000, 5.0876477E+001
 2.6894078E+000, 5.1479771E+001
 2.7035816E+000, 5.1971928E+001
 2.7177555E+000, 5.2685250E+001
 2.7319293E+000, 5.3271080E+001
 2.7461032E+000, 5.4182045E+001
 2.7602770E+000, 5.4674424E+001
 2.7744509E+000, 5.5295746E+001
 2.7886247E+000, 5.5789929E+001
 2.8027986E+000, 5.6270909E+001
 2.8169724E+000, 5.6845585E+001
 2.8311463E+000, 5.7314289E+001
 2.8453201E+000, 5.7835602E+001
 2.8594940E+000, 5.8373539E+001
 2.8736678E+000, 5.8985669E+001
 2.8878417E+000, 5.9429894E+001
 2.9161894E+000, 6.0205454E+001
 2.9429967E+000, 6.1240942E+001
 2.9808972E+000, 6.2532407E+001
 3.0061641E+000, 6.3699421E+001
 3.0314311E+000, 6.4834443E+001
 3.0693316E+000, 6.5973435E+001
 3.0945985E+000, 6.7294503E+001
 3.1324990E+000, 6.8612226E+001
 3.1577660E+000, 6.9909333E+001
 3.1830330E+000, 7.1119954E+001
 3.2171356E+000, 7.2781487E+001
