s,s
Time,"cpu"
 0.0000000E+000, 3.2515611E+001
 1.5811388E-001, 3.4461912E+001
 3.1622777E-001, 3.6647032E+001
 4.7434165E-001, 4.1110944E+001
 5.3823403E-001, 4.8433706E+001
 6.0851565E-001, 5.5172659E+001
 6.8582543E-001, 6.2881616E+001
 7.7086619E-001, 6.9970155E+001
 8.4602762E-001, 8.0445085E+001
 9.2118905E-001, 8.5066805E+001
 9.6750107E-001, 9.2021318E+001
 1.0184443E+000, 9.8033945E+001
 1.0744818E+000, 1.0329465E+002
 1.1305194E+000, 1.1158145E+002
 1.1767848E+000, 1.2186446E+002
 1.2176777E+000, 1.3227548E+002
 1.2585706E+000, 1.3816915E+002
 1.2994635E+000, 1.4478719E+002
 1.3359245E+000, 1.5888999E+002
 1.3723856E+000, 1.6745373E+002
 1.4044833E+000, 1.8067640E+002
 1.4365809E+000, 1.8738052E+002
 1.4686786E+000, 1.9461198E+002
 1.5007763E+000, 2.0298182E+002
 1.5328739E+000, 2.1167368E+002
 1.5649716E+000, 2.2097140E+002
 1.5970693E+000, 2.2983796E+002
 1.6291669E+000, 2.3823016E+002
 1.6612646E+000, 2.4665116E+002
 1.6933622E+000, 2.5581001E+002
 1.7214813E+000, 2.6931135E+002
 1.7496003E+000, 2.7847315E+002
 1.7777194E+000, 2.8631950E+002
 1.8058384E+000, 2.9514057E+002
 1.8339574E+000, 3.0619416E+002
 1.8556583E+000, 3.1981529E+002
 1.8773592E+000, 3.2701429E+002
 1.9012302E+000, 3.3504890E+002
 1.9251012E+000, 3.4481736E+002
 1.9489722E+000, 3.5411869E+002
 1.9728432E+000, 3.6463072E+002
 1.9967142E+000, 3.7436735E+002
 2.0205852E+000, 3.8443217E+002
 2.0444562E+000, 3.9330122E+002
 2.0683272E+000, 4.0232350E+002
 2.0862224E+000, 4.1871858E+002
 2.1041177E+000, 4.3016557E+002
 2.1220129E+000, 4.3879008E+002
 2.1416977E+000, 4.4865586E+002
 2.1613824E+000, 4.5996317E+002
 2.1810672E+000, 4.7062892E+002
 2.2007520E+000, 4.7987663E+002
 2.2204367E+000, 4.9066688E+002
 2.2401215E+000, 5.0207057E+002
 2.2598063E+000, 5.1282060E+002
 2.2794911E+000, 5.2372160E+002
 2.2991758E+000, 5.3420933E+002
 2.3188606E+000, 5.4392741E+002
 2.3385454E+000, 5.5318131E+002
 2.3582301E+000, 5.6123673E+002
 2.3745622E+000, 5.7109519E+002
 2.3908944E+000, 5.8031236E+002
 2.4072265E+000, 5.9008860E+002
 2.4216004E+000, 6.0531516E+002
 2.4359744E+000, 6.1454032E+002
 2.4503484E+000, 6.2405454E+002
 2.4647223E+000, 6.3278977E+002
 2.4790963E+000, 6.4354820E+002
 2.4934703E+000, 6.5265751E+002
 2.5054994E+000, 6.6619322E+002
 2.5175285E+000, 6.7488334E+002
 2.5295577E+000, 6.8373258E+002
 2.5415868E+000, 6.9507566E+002
 2.5536159E+000, 7.0676054E+002
 2.5656451E+000, 7.1851243E+002
 2.5776742E+000, 7.3013084E+002
 2.5909062E+000, 7.4177226E+002
 2.6041383E+000, 7.5282133E+002
 2.6173703E+000, 7.6368833E+002
 2.6306024E+000, 7.7539903E+002
 2.6438344E+000, 7.8647648E+002
 2.6570665E+000, 7.9700340E+002
 2.6702985E+000, 8.0768400E+002
 2.6835305E+000, 8.1834062E+002
 2.6967626E+000, 8.2783134E+002
 2.7099946E+000, 8.3745860E+002
 2.7232267E+000, 8.4827152E+002
 2.7364587E+000, 8.5958860E+002
 2.7496908E+000, 8.7127494E+002
 2.7629228E+000, 8.8248997E+002
 2.7761549E+000, 8.9249418E+002
 2.7893869E+000, 9.0286826E+002
 2.8026189E+000, 9.1373814E+002
 2.8158510E+000, 9.2372312E+002
 2.8290830E+000, 9.3393546E+002
 2.8555471E+000, 9.4854679E+002
 2.8820112E+000, 9.6735957E+002
 2.9217073E+000, 9.9295036E+002
 2.9481714E+000, 1.0156890E+003
 2.9746355E+000, 1.0348373E+003
 3.0010996E+000, 1.0531585E+003
 3.0380967E+000, 1.0757835E+003
 3.0618618E+000, 1.1023433E+003
 3.0975094E+000, 1.1230596E+003
 3.1212745E+000, 1.1447861E+003
 3.1569221E+000, 1.1680917E+003
 3.1806872E+000, 1.1949366E+003
 3.2163348E+000, 1.2177847E+003
 3.2400999E+000, 1.2423006E+003
 3.2757475E+000, 1.2703409E+003
 3.3113951E+000, 1.3050050E+003
 3.3351602E+000, 1.3334636E+003
 3.3708078E+000, 1.3622182E+003
 3.3945728E+000, 1.3906493E+003
 3.4207144E+000, 1.4113991E+003
 3.4599268E+000, 1.4369160E+003
 3.4860684E+000, 1.4627658E+003
 3.5122100E+000, 1.4832456E+003
 3.5514223E+000, 1.5061078E+003
 3.5775639E+000, 1.5281436E+003
 3.6037055E+000, 1.5469338E+003
 3.6429179E+000, 1.5735842E+003
 3.6690595E+000, 1.5975342E+003
 3.6965081E+000, 1.6162946E+003
 3.7252639E+000, 1.6361518E+003
 3.7540196E+000, 1.6578879E+003
 3.7827753E+000, 1.6787417E+003
 3.8221932E+000, 1.7079811E+003
 3.8472333E+000, 1.7387578E+003
 3.8722733E+000, 1.7632742E+003
 3.9123373E+000, 1.7935486E+003
 3.9398814E+000, 1.8213241E+003
 3.9674254E+000, 1.8439415E+003
 3.9949694E+000, 1.8675348E+003
 4.0225135E+000, 1.8917676E+003
 4.0500575E+000, 1.9158039E+003
 4.0913736E+000, 1.9442834E+003
 4.1189176E+000, 1.9707585E+003
 4.1415195E+000, 1.9939268E+003
 4.1754223E+000, 2.0227190E+003
 4.2093252E+000, 2.0584608E+003
 4.2319271E+000, 2.0895691E+003
 4.2658299E+000, 2.1201034E+003
 4.2997328E+000, 2.1546944E+003
 4.3223347E+000, 2.1859103E+003
 4.3596278E+000, 2.2153318E+003
 4.3869761E+000, 2.2380530E+003
 4.4143244E+000, 2.2603323E+003
 4.4416727E+000, 2.2813442E+003
 4.4798451E+000, 2.3089815E+003
 4.5043435E+000, 2.3398686E+003
 4.5410909E+000, 2.3698330E+003
 4.5643238E+000, 2.3997192E+003
 4.5972749E+000, 2.4341266E+003
 4.6302261E+000, 2.4699014E+003
 4.6521935E+000, 2.5005910E+003
 4.6851447E+000, 2.5321851E+003
 4.7180958E+000, 2.5678120E+003
 4.7400632E+000, 2.5970057E+003
 4.7730144E+000, 2.6264970E+003
 4.8070639E+000, 2.6615574E+003
 4.8312281E+000, 2.6896347E+003
 4.8674743E+000, 2.7155932E+003
 4.8916385E+000, 2.7416501E+003
 4.9315094E+000, 2.7683615E+003
 4.9580900E+000, 2.7952836E+003
 4.9846706E+000, 2.8169212E+003
 5.0112512E+000, 2.8365041E+003
 5.0511220E+000, 2.8548350E+003
 5.0777026E+000, 2.8751736E+003
 5.1042832E+000, 2.8957229E+003
 5.1308638E+000, 2.9153770E+003
 5.1720637E+000, 2.9421935E+003
 5.2013024E+000, 2.9701468E+003
 5.2257304E+000, 2.9995574E+003
 5.2501585E+000, 3.0204831E+003
 5.2868006E+000, 3.0440983E+003
 5.3112286E+000, 3.0707708E+003
 5.3478707E+000, 3.0971581E+003
 5.3722988E+000, 3.1260689E+003
 5.4089409E+000, 3.1564180E+003
 5.4333689E+000, 3.1867769E+003
 5.4700110E+000, 3.2154905E+003
 5.4944391E+000, 3.2436534E+003
 5.5310811E+000, 3.2715526E+003
 5.5579520E+000, 3.2992736E+003
 5.5848229E+000, 3.3197594E+003
 5.6116937E+000, 3.3397381E+003
 5.6520000E+000, 3.3629670E+003
 5.6788709E+000, 3.3889635E+003
 5.7057417E+000, 3.4117964E+003
 5.7392368E+000, 3.4445511E+003
 5.7700787E+000, 3.4773074E+003
 5.7906400E+000, 3.5013266E+003
 5.8245661E+000, 3.5204009E+003
 5.8584922E+000, 3.5500640E+003
 5.8811096E+000, 3.5747934E+003
 5.9150357E+000, 3.5963033E+003
 5.9512236E+000, 3.6258593E+003
 5.9761027E+000, 3.6519976E+003
 6.0009819E+000, 3.6705028E+003
 6.0344867E+000, 3.7031263E+003
 6.0679916E+000, 3.7341713E+003
 6.0903281E+000, 3.7617809E+003
 6.1249498E+000, 3.7908015E+003
 6.1618051E+000, 3.8234181E+003
 6.1863753E+000, 3.8498631E+003
 6.2109456E+000, 3.8722087E+003
 6.2478009E+000, 3.8985122E+003
 6.2723711E+000, 3.9240454E+003
 6.3092264E+000, 3.9507615E+003
 6.3337967E+000, 3.9766022E+003
 6.3706520E+000, 3.9945392E+003
 6.3952222E+000, 4.0170124E+003
 6.4320775E+000, 4.0448049E+003
 6.4566478E+000, 4.0713877E+003
 6.4812180E+000, 4.0913361E+003
 6.5180733E+000, 4.1147625E+003
 6.5426435E+000, 4.1329279E+003
 6.5794989E+000, 4.1540687E+003
 6.6040691E+000, 4.1798788E+003
 6.6409244E+000, 4.2041784E+003
 6.6654946E+000, 4.2295111E+003
 6.6900648E+000, 4.2471730E+003
 6.7269202E+000, 4.2714333E+003
 6.7514904E+000, 4.2950292E+003
 6.7883457E+000, 4.3207383E+003
 6.8129159E+000, 4.3424489E+003
 6.8497713E+000, 4.3674212E+003
 6.8711643E+000, 4.3973944E+003
 6.9032538E+000, 4.4256989E+003
 6.9353433E+000, 4.4587668E+003
 6.9706418E+000, 4.4917410E+003
 6.9941741E+000, 4.5160151E+003
 7.0294726E+000, 4.5397817E+003
 7.0553582E+000, 4.5643178E+003
 7.0812437E+000, 4.5830688E+003
 7.1213663E+000, 4.6036460E+003
 7.1498404E+000, 4.6239706E+003
 7.1783145E+000, 4.6426083E+003
 7.2067887E+000, 4.6612370E+003
 7.2352628E+000, 4.6829845E+003
 7.2611005E+000, 4.7084584E+003
 7.2993829E+000, 4.7439230E+003
 7.3249045E+000, 4.7711684E+003
 7.3504261E+000, 4.7890182E+003
 7.3887084E+000, 4.8187262E+003
 7.4142300E+000, 4.8450500E+003
 7.4525124E+000, 4.8705306E+003
 7.4780340E+000, 4.8991891E+003
 7.5035556E+000, 4.9206093E+003
 7.5388890E+000, 4.9485564E+003
 7.5614616E+000, 4.9768874E+003
 7.5953206E+000, 5.0053001E+003
 7.6291795E+000, 5.0397695E+003
 7.6517522E+000, 5.0687123E+003
 7.6856111E+000, 5.0956289E+003
 7.7194701E+000, 5.1220391E+003
 7.7420427E+000, 5.1442358E+003
 7.7781590E+000, 5.1737513E+003
 7.8029889E+000, 5.1970351E+003
 7.8402337E+000, 5.2209445E+003
 7.8650636E+000, 5.2470280E+003
 7.9023085E+000, 5.2730078E+003
 7.9271384E+000, 5.3013080E+003
 7.9519683E+000, 5.3237897E+003
 7.9892131E+000, 5.3460633E+003
 8.0140430E+000, 5.3687011E+003
 8.0512879E+000, 5.3946966E+003
 8.0761178E+000, 5.4220758E+003
 8.1009477E+000, 5.4418175E+003
 8.1381925E+000, 5.4645632E+003
 8.1630224E+000, 5.4901527E+003
 8.2015088E+000, 5.5181805E+003
