,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-07-01T11:52:23.601+02:00,   0.158E+00,   0.15811,  34.71462
      2,2020-07-01T11:52:24.987+02:00,   0.158E+00,   0.31623,  37.47231
      3,2020-07-01T11:52:28.171+02:00,   0.158E+00,   0.47434,  43.83249
      4,2020-07-01T11:52:33.332+02:00,   0.639E-01,   0.53823,  54.03888
      5,2020-07-01T11:52:38.007+02:00,   0.703E-01,   0.60852,  63.38230
      6,2020-07-01T11:52:43.733+02:00,   0.773E-01,   0.68583,  74.82533
      7,2020-07-01T11:52:48.881+02:00,   0.850E-01,   0.77087,  85.10493
      8,2020-07-01T11:52:56.607+02:00,   0.752E-01,   0.84603, 100.53480
      9,2020-07-01T11:52:59.892+02:00,   0.752E-01,   0.92119, 107.09584
     10,2020-07-01T11:53:04.900+02:00,   0.463E-01,   0.96750, 117.05444
     20,2020-07-01T11:54:13.861+02:00,   0.321E-01,   1.40448, 254.86398
     30,2020-07-01T11:55:21.477+02:00,   0.281E-01,   1.72148, 389.94355
     40,2020-07-01T11:56:32.338+02:00,   0.239E-01,   1.97284, 531.45336
     50,2020-07-01T11:57:49.855+02:00,   0.197E-01,   2.18107, 686.37029
     60,2020-07-01T11:59:04.062+02:00,   0.163E-01,   2.37456, 834.62487
     70,2020-07-01T12:00:19.352+02:00,   0.120E-01,   2.51753, 985.08220
     80,2020-07-01T12:01:41.111+02:00,   0.132E-01,   2.64383,1148.44660
     90,2020-07-01T12:02:54.395+02:00,   0.132E-01,   2.77615,1294.85260
    100,2020-07-01T12:04:02.198+02:00,   0.132E-01,   2.90848,1430.24065
    200,2020-07-01T12:16:28.204+02:00,   0.113E-01,   4.18672,2920.45693
    300,2020-07-01T12:29:01.234+02:00,   0.122E-01,   5.40894,4424.97376
    400,2020-07-01T12:40:45.388+02:00,   0.123E-01,   6.61636,5831.69211
    500,2020-07-01T12:52:43.033+02:00,   0.131E-01,   7.82602,7265.47379
    600,2020-07-01T13:04:54.238+02:00,   0.132E-01,   9.01822,8726.25182
    700,2020-07-01T13:17:24.703+02:00,   0.124E-01,  10.21334,**********
    800,2020-07-01T13:29:06.933+02:00,   0.149E-01,  11.49404,**********
    900,2020-07-01T13:41:07.296+02:00,   0.137E-01,  12.82176,**********
