,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-07-01T13:47:36.185+02:00,   0.158E+00,   0.15811,  36.35188
      2,2020-07-01T13:47:38.076+02:00,   0.158E+00,   0.31623,  40.12066
      3,2020-07-01T13:47:42.029+02:00,   0.158E+00,   0.47434,  48.02210
      4,2020-07-01T13:47:48.887+02:00,   0.639E-01,   0.53823,  61.67421
      5,2020-07-01T13:47:55.237+02:00,   0.703E-01,   0.60852,  74.36939
      6,2020-07-01T13:48:02.710+02:00,   0.773E-01,   0.68583,  89.21761
      7,2020-07-01T13:48:09.580+02:00,   0.850E-01,   0.77087, 102.94214
      8,2020-07-01T13:48:19.688+02:00,   0.752E-01,   0.84603, 123.13926
      9,2020-07-01T13:48:24.101+02:00,   0.752E-01,   0.92119, 131.94301
     10,2020-07-01T13:48:30.727+02:00,   0.463E-01,   0.96750, 145.19113
     20,2020-07-01T13:49:56.196+02:00,   0.321E-01,   1.40448, 315.90879
     30,2020-07-01T13:51:21.675+02:00,   0.281E-01,   1.72148, 486.65220
     40,2020-07-01T13:52:54.333+02:00,   0.239E-01,   1.97284, 671.72715
     50,2020-07-01T13:54:37.068+02:00,   0.197E-01,   2.18107, 876.87245
     60,2020-07-01T13:56:14.660+02:00,   0.163E-01,   2.37456,1071.82472
     70,2020-07-01T13:57:55.086+02:00,   0.120E-01,   2.51753,1272.44638
     80,2020-07-01T13:59:42.959+02:00,   0.132E-01,   2.64383,1487.93381
     90,2020-07-01T14:01:24.886+02:00,   0.132E-01,   2.77615,1691.60939
    100,2020-07-01T14:03:01.807+02:00,   0.132E-01,   2.90848,1885.18137
    200,2020-07-01T14:19:52.572+02:00,   0.113E-01,   4.18672,3904.58271
    300,2020-07-01T14:37:46.648+02:00,   0.122E-01,   5.40894,6050.34060
    400,2020-07-01T14:54:08.599+02:00,   0.123E-01,   6.61636,8012.06790
