Time Step,Iteration,Total,Mesh,I,J,K,Velocity Error,Mesh,I,J,K,Pressure Error
      1,      1,      1,      2,     81,      3,      6,  0.14399560E-17,      3,     45,     10,      2,  0.19983050E-05
      1,      1,      2,      2,     81,     17,      2,  0.12129512E-17,      3,     41,     11,      1,  0.72941551E+00
      2,      1,      3,      2,     81,      3,      6,  0.13721934E-17,      3,     44,     12,      1,  0.10616902E+01
      2,      1,      4,      2,     81,      7,      1,  0.33068166E-17,      3,     44,     12,      1,  0.33120328E+04
      2,      2,      5,      2,     81,      7,      1,  0.32526065E-17,      3,     44,     12,      1,  0.58772841E+01
      3,      1,      6,      3,     46,      8,      0,  0.34694470E-17,      3,     44,     12,      1,  0.35135839E+04
      3,      2,      7,      3,     46,      8,      0,  0.34694470E-17,      3,     44,     12,      1,  0.88486833E+01
      3,      1,      8,      2,     81,      7,      1,  0.28189256E-17,      3,     41,      6,      1,  0.15321948E+05
      3,      2,      9,      2,     81,      7,      1,  0.28189256E-17,      3,     41,      6,      1,  0.78655644E+04
      3,      3,     10,      2,     81,      2,      1,  0.27647155E-17,      3,     41,      6,      1,  0.30005544E+04
      3,      4,     11,      2,     81,     12,      1,  0.28189256E-17,      3,     41,      6,      1,  0.11434183E+04
      3,      5,     12,      2,     81,      7,      1,  0.28189256E-17,      3,     41,      6,      1,  0.43541862E+03
      4,      1,     13,      2,     81,     17,      2,  0.14094628E-17,      3,     41,     15,      1,  0.11004273E+05
      4,      2,     14,      2,     81,     17,      2,  0.13281477E-17,      3,     41,     15,      1,  0.31254137E+04
      4,      3,     15,      2,     81,      3,      6,  0.13552527E-17,      3,     41,     15,      1,  0.62583868E+03
      4,      4,     16,      2,     81,      3,      6,  0.13281477E-17,      3,     41,     15,      1,  0.11235276E+03
      4,      1,     17,      2,     81,     17,      2,  0.11113072E-17,      3,     41,     15,      1,  0.13364455E+05
      4,      2,     18,      2,     81,     17,      2,  0.10842022E-17,      3,     41,     15,      1,  0.39356023E+04
      4,      3,     19,      2,     81,     17,      2,  0.10842022E-17,      3,     41,     15,      1,  0.79472753E+03
      4,      4,     20,      2,     81,     17,      2,  0.10570971E-17,      3,     41,     15,      1,  0.14316057E+03
      4,      1,     21,      2,     81,     19,     20,  0.13010426E-17,      3,     44,     10,      1,  0.21061097E+04
      4,      2,     22,      2,     81,     19,     20,  0.12739376E-17,      3,     44,     10,      1,  0.11918341E+04
      4,      3,     23,      2,     81,     18,     20,  0.12468325E-17,      3,     44,     10,      1,  0.48223709E+03
      5,      1,     24,      2,     81,     17,      2,  0.11384123E-17,      3,     41,      6,      1,  0.16299026E+04
      5,      2,     25,      2,     81,     17,      2,  0.11519648E-17,      3,     41,     15,      1,  0.82354579E+03
      5,      3,     26,      2,     81,     17,      2,  0.11655173E-17,      3,     41,     15,      1,  0.26319497E+03
      5,      1,     27,      2,     81,     17,      2,  0.61257423E-17,      3,     41,      6,      1,  0.65896326E+05
      5,      2,     28,      2,     81,      1,      7,  0.78604658E-17,      3,     41,      6,      1,  0.54893103E+05
      5,      3,     29,      2,     81,      1,      7,  0.78062556E-17,      3,     41,      6,      1,  0.25346410E+05
