,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-07-01T14:01:33.937+02:00,   0.158E+00,   0.15811,   7.45781
      2,2020-07-01T14:01:34.365+02:00,   0.158E+00,   0.31623,   8.30185
      3,2020-07-01T14:01:35.114+02:00,   0.158E+00,   0.47434,   9.79712
      4,2020-07-01T14:01:36.291+02:00,   0.639E-01,   0.53823,  12.13611
      5,2020-07-01T14:01:37.288+02:00,   0.703E-01,   0.60852,  14.12422
      6,2020-07-01T14:01:38.486+02:00,   0.773E-01,   0.68583,  16.48698
      7,2020-07-01T14:01:39.635+02:00,   0.850E-01,   0.77087,  18.77215
      8,2020-07-01T14:01:41.377+02:00,   0.752E-01,   0.84603,  22.15711
      9,2020-07-01T14:01:42.192+02:00,   0.752E-01,   0.92119,  23.77625
     10,2020-07-01T14:01:43.396+02:00,   0.463E-01,   0.96750,  26.18068
     20,2020-07-01T14:01:57.924+02:00,   0.321E-01,   1.40448,  55.16547
     30,2020-07-01T14:02:11.893+02:00,   0.281E-01,   1.72148,  82.97082
     40,2020-07-01T14:02:26.325+02:00,   0.239E-01,   1.97284, 111.77288
     50,2020-07-01T14:02:42.221+02:00,   0.197E-01,   2.18107, 143.46789
     60,2020-07-01T14:02:57.283+02:00,   0.163E-01,   2.37456, 173.55440
     70,2020-07-01T14:03:12.964+02:00,   0.120E-01,   2.51753, 204.87283
     80,2020-07-01T14:03:29.647+02:00,   0.132E-01,   2.64383, 238.20964
     90,2020-07-01T14:03:45.474+02:00,   0.132E-01,   2.77615, 269.71019
    100,2020-07-01T14:04:00.308+02:00,   0.132E-01,   2.90848, 299.34384
    200,2020-07-01T14:06:42.550+02:00,   0.113E-01,   4.18672, 623.17882
    300,2020-07-01T14:09:31.014+02:00,   0.122E-01,   5.40894, 959.47458
    400,2020-07-01T14:12:10.272+02:00,   0.121E-01,   6.60968,1277.52389
    500,2020-07-01T14:14:47.922+02:00,   0.120E-01,   7.83797,1592.19881
    600,2020-07-01T14:17:30.105+02:00,   0.130E-01,   9.03420,1915.75473
    700,2020-07-01T14:20:09.032+02:00,   0.128E-01,  10.20025,2233.00770
    800,2020-07-01T14:22:49.920+02:00,   0.144E-01,  11.52255,2554.16040
    900,2020-07-01T14:25:37.534+02:00,   0.148E-01,  12.78994,2888.89854
   1000,2020-07-01T14:28:19.191+02:00,   0.134E-01,  14.04663,3211.06007
   1100,2020-07-01T14:30:48.960+02:00,   0.124E-01,  15.32581,3509.98597
   1200,2020-07-01T14:33:24.830+02:00,   0.117E-01,  16.59277,3821.31628
   1300,2020-07-01T14:36:00.878+02:00,   0.131E-01,  17.89863,4132.92193
   1400,2020-07-01T14:38:39.410+02:00,   0.148E-01,  19.22066,4449.44120
   1500,2020-07-01T14:41:16.684+02:00,   0.151E-01,  20.62378,4763.47106
   1600,2020-07-01T14:43:58.562+02:00,   0.127E-01,  22.08059,5086.77623
   1700,2020-07-01T14:46:46.263+02:00,   0.135E-01,  23.36395,5421.55113
   1800,2020-07-01T14:49:16.530+02:00,   0.149E-01,  24.77751,5721.53081
   1900,2020-07-01T14:51:48.324+02:00,   0.109E-01,  26.17420,6024.61400
   2000,2020-07-01T14:54:18.987+02:00,   0.151E-01,  27.46627,6325.38951
