s,,,
Time,"scarc-iter","scarc-rate","scarc-res"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.7738455E-003, 1.0300000E+002, 7.8603199E-001, 8.4050611E-009
 1.3547691E-002, 1.0400000E+002, 7.8451544E-001, 8.0231832E-009
 2.0321537E-002, 1.0500000E+002, 7.8272978E-001, 6.1874233E-009
 2.7095382E-002, 1.0500000E+002, 7.8279001E-001, 7.6119394E-009
 3.3869228E-002, 1.0500000E+002, 7.8275328E-001, 9.1069162E-009
 3.9885887E-002, 1.0500000E+002, 7.8262735E-001, 9.3925489E-009
 4.5902547E-002, 1.0600000E+002, 7.8175559E-001, 7.5995133E-009
 5.1919206E-002, 1.0600000E+002, 7.8159447E-001, 8.6892163E-009
 5.7935866E-002, 1.0600000E+002, 7.8139386E-001, 9.8866568E-009
 6.3952526E-002, 1.0700000E+002, 7.7796294E-001, 5.6471579E-009
 6.9969185E-002, 1.0700000E+002, 7.7761457E-001, 6.3082790E-009
 7.5985845E-002, 1.0700000E+002, 7.7722548E-001, 7.0125720E-009
 8.1393590E-002, 1.0700000E+002, 7.7673133E-001, 7.0766199E-009
 8.6801334E-002, 1.0700000E+002, 7.7637371E-001, 7.8140921E-009
 9.2209079E-002, 1.0700000E+002, 7.7603659E-001, 8.6400862E-009
 9.7616824E-002, 1.0700000E+002, 7.7573310E-001, 9.5808797E-009
 1.0302457E-001, 1.0800000E+002, 7.7274212E-001, 5.6486176E-009
 1.0843231E-001, 1.0800000E+002, 7.7232206E-001, 6.1254669E-009
 1.1384006E-001, 1.0800000E+002, 7.7203978E-001, 6.7471812E-009
 1.1924780E-001, 1.0800000E+002, 7.7176266E-001, 7.4063213E-009
 1.2465555E-001, 1.0800000E+002, 7.7154249E-001, 8.1565834E-009
 1.3006329E-001, 1.0800000E+002, 7.7138616E-001, 9.0169197E-009
 1.3547104E-001, 1.0900000E+002, 7.6907824E-001, 5.6379297E-009
 1.4087878E-001, 1.0900000E+002, 7.6882918E-001, 6.0789624E-009
 1.4628653E-001, 1.0900000E+002, 7.6862447E-001, 6.5541795E-009
 1.5169427E-001, 1.0900000E+002, 7.6846645E-001, 7.0662588E-009
 1.5710202E-001, 1.0900000E+002, 7.6837052E-001, 7.6324373E-009
 1.6250976E-001, 1.0900000E+002, 7.6834413E-001, 8.2657347E-009
 1.6791750E-001, 1.0900000E+002, 7.6837220E-001, 8.9538025E-009
 1.7332525E-001, 1.0900000E+002, 7.6842900E-001, 9.6640436E-009
 1.7873299E-001, 1.1000000E+002, 7.6729494E-001, 6.7054602E-009
 1.8414074E-001, 1.1000000E+002, 7.6751233E-001, 7.2891031E-009
 1.8954848E-001, 1.1000000E+002, 7.6765468E-001, 7.7744464E-009
 1.9495623E-001, 1.1000000E+002, 7.6771600E-001, 8.1280214E-009
 2.0036397E-001, 1.1000000E+002, 7.6769443E-001, 8.3263889E-009
 2.0577172E-001, 1.1000000E+002, 7.6758791E-001, 8.3543763E-009
 2.1117946E-001, 1.1000000E+002, 7.6739730E-001, 8.2105782E-009
 2.1658721E-001, 1.1000000E+002, 7.6712613E-001, 7.9072408E-009
 2.2199495E-001, 1.1000000E+002, 7.6679067E-001, 7.4792380E-009
 2.2740270E-001, 1.1000000E+002, 7.6643037E-001, 6.9873379E-009
 2.3281044E-001, 1.1000000E+002, 7.6612596E-001, 6.5225682E-009
 2.3821819E-001, 1.1000000E+002, 7.6600846E-001, 6.1997550E-009
 2.4362593E-001, 1.0900000E+002, 7.6779027E-001, 9.9924606E-009
 2.4903368E-001, 1.0900000E+002, 7.6811720E-001, 9.9502506E-009
 2.5444142E-001, 1.1000000E+002, 7.6782060E-001, 6.8978777E-009
 2.5984916E-001, 1.1000000E+002, 7.6891967E-001, 7.5484561E-009
 2.6525691E-001, 1.1000000E+002, 7.6995040E-001, 8.1320315E-009
 2.7066465E-001, 1.1000000E+002, 7.7088645E-001, 8.5787863E-009
 2.7607240E-001, 1.1000000E+002, 7.7172189E-001, 8.8632032E-009
 2.8148014E-001, 1.1000000E+002, 7.7248730E-001, 9.0137704E-009
