Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,Total T_USED (s)
    0, 1.159E+02, 1.639E+01, 4.064E+00, 5.686E+00, 1.280E+00, 6.915E+00, 1.408E+01, 0.000E+00, 1.799E-03, 0.000E+00, 1.421E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.786E+02
    1, 1.161E+02, 1.298E+01, 2.927E+00, 4.449E+00, 9.173E-01, 4.810E+00, 1.294E+01, 0.000E+00, 1.660E-03, 0.000E+00, 2.344E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.786E+02
    2, 1.158E+02, 1.647E+01, 4.013E+00, 5.761E+00, 1.418E+00, 6.854E+00, 1.272E+01, 0.000E+00, 1.783E-03, 0.000E+00, 1.555E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.786E+02
    3, 1.162E+02, 1.281E+01, 2.919E+00, 4.459E+00, 8.977E-01, 4.648E+00, 1.623E+01, 0.000E+00, 1.741E-03, 0.000E+00, 2.039E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.786E+02
    4, 1.159E+02, 1.594E+01, 4.009E+00, 5.742E+00, 1.241E+00, 6.694E+00, 1.272E+01, 0.000E+00, 2.032E-03, 0.000E+00, 1.627E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.786E+02
    5, 1.159E+02, 1.306E+01, 2.932E+00, 4.561E+00, 1.043E+00, 4.841E+00, 1.251E+01, 0.000E+00, 1.622E-03, 0.000E+00, 2.374E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.786E+02
    6, 1.158E+02, 1.638E+01, 4.085E+00, 5.654E+00, 1.392E+00, 6.995E+00, 1.272E+01, 0.000E+00, 1.730E-03, 0.000E+00, 1.553E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.786E+02
    7, 1.161E+02, 1.282E+01, 2.899E+00, 4.445E+00, 9.047E-01, 4.674E+00, 1.376E+01, 0.000E+00, 1.695E-03, 0.000E+00, 2.294E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.786E+02
    8, 1.160E+02, 1.555E+01, 3.942E+00, 5.649E+00, 1.190E+00, 6.566E+00, 1.233E+01, 0.000E+00, 2.015E-03, 0.000E+00, 1.737E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.786E+02
    9, 1.159E+02, 1.300E+01, 2.942E+00, 4.514E+00, 1.057E+00, 4.873E+00, 1.209E+01, 0.000E+00, 1.627E-03, 0.000E+00, 2.422E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.786E+02
   10, 1.159E+02, 1.588E+01, 4.014E+00, 5.711E+00, 1.206E+00, 6.704E+00, 1.267E+01, 0.000E+00, 1.902E-03, 0.000E+00, 1.644E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.786E+02
   11, 1.161E+02, 1.252E+01, 2.880E+00, 4.513E+00, 8.881E-01, 4.651E+00, 1.365E+01, 0.000E+00, 1.612E-03, 0.000E+00, 2.339E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.786E+02
   12, 1.161E+02, 1.619E+01, 4.033E+00, 5.567E+00, 1.180E+00, 6.801E+00, 1.291E+01, 0.000E+00, 1.748E-03, 0.000E+00, 1.580E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.786E+02
   13, 1.160E+02, 1.632E+01, 4.060E+00, 5.720E+00, 1.228E+00, 6.895E+00, 1.303E+01, 0.000E+00, 1.716E-03, 0.000E+00, 1.533E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.786E+02
   14, 1.160E+02, 1.607E+01, 4.021E+00, 5.786E+00, 1.195E+00, 6.827E+00, 1.314E+01, 0.000E+00, 1.781E-03, 0.000E+00, 1.556E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.786E+02
   15, 1.161E+02, 1.614E+01, 4.072E+00, 5.560E+00, 1.181E+00, 6.853E+00, 1.269E+01, 0.000E+00, 1.820E-03, 0.000E+00, 1.601E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.786E+02
