s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2191628E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5278824E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.4383257E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.8838116E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.6574886E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.4889038E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.8766513E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0092308E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.0958141E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1677114E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.3149772E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3253466E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.5341400E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4821287E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.7533027E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6367641E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0972465E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7899457E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2191628E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9416577E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3410792E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0915383E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4629954E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2389842E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.5849117E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.3845809E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.7068280E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5285005E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.8287443E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6688141E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.9506605E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8076385E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0725768E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9434118E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.1944931E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0765978E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.3164093E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2069160E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.4383256E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.3346852E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.5602421E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4591211E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.6821584E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5803083E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.8040746E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6987734E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.9259909E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.8134554E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0479072E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.9253735E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.1698234E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.0330711E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.2917395E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.1383195E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.4136560E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.2394588E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.5355724E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.3368164E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.6574885E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.4310259E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.7794050E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.5209281E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.9013211E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.6076095E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.0232375E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.6904061E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.1451536E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.7692998E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.2670701E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.8439813E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.3889862E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.9151506E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.5109026E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.9823609E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.6328187E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.0458077E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.7547352E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1051664E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.8766512E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1607597E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.9985677E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.2120802E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.1204842E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.2595976E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.2424002E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.3031224E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.3643167E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.3433579E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.4862328E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.3788619E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.6081492E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4110858E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.7300653E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4390239E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.8641732E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4641536E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.9982814E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4865374E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.1323892E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.5040426E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.2664971E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.5172150E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.4006053E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.5257389E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.5347128E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.5299008E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.6688210E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.5296651E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.8029284E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.5252798E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.9370367E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.5170170E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.0711449E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.5040048E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.2052523E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4876632E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.3393606E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4670465E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.4734680E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4420941E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.6075763E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4141251E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.7416845E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.3824061E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.8757919E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.3464744E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.0099002E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.3079685E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.1440076E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.2653037E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.2781158E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.2195629E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.4122241E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1711827E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.5463315E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1189611E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.6804397E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.0638784E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.8145472E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.0063618E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
