,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-02-19T19:29:53.696+01:00,   0.129E-01,   0.01287
      2,2020-02-19T19:29:53.739+01:00,   0.129E-01,   0.02573
      3,2020-02-19T19:29:53.798+01:00,   0.129E-01,   0.03860
      4,2020-02-19T19:29:53.859+01:00,   0.112E-01,   0.04980
      5,2020-02-19T19:29:53.902+01:00,   0.112E-01,   0.06101
      6,2020-02-19T19:29:53.945+01:00,   0.112E-01,   0.07221
      7,2020-02-19T19:29:54.005+01:00,   0.112E-01,   0.08342
      8,2020-02-19T19:29:54.067+01:00,   0.101E-01,   0.09348
      9,2020-02-19T19:29:54.111+01:00,   0.101E-01,   0.10354
     10,2020-02-19T19:29:54.154+01:00,   0.101E-01,   0.11361
     20,2020-02-19T19:29:54.649+01:00,   0.101E-01,   0.21423
     30,2020-02-19T19:29:55.131+01:00,   0.101E-01,   0.31486
     40,2020-02-19T19:29:55.589+01:00,   0.101E-01,   0.41548
     50,2020-02-19T19:29:56.060+01:00,   0.134E-01,   0.52901
     60,2020-02-19T19:29:56.597+01:00,   0.102E-01,   0.63662
     70,2020-02-19T19:29:57.083+01:00,   0.102E-01,   0.73864
     80,2020-02-19T19:29:57.615+01:00,   0.102E-01,   0.84066
     90,2020-02-19T19:29:58.095+01:00,   0.102E-01,   0.94269
     96,2020-02-19T19:29:58.392+01:00,   0.212E-02,   1.00000
