m,m/s,m,m/s,m,kg/m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,kg/m/s
u_strm_bot-x,u_strm_bot,u_strm_rib-x,u_strm_rib,mu_strm_bot-x,mu_strm_bot,urms_strm_bot-x,urms_strm_bot,urms_strm_rib-x,urms_strm_rib,u_prof_rib-z,u_prof_rib,urms_prof_rib-z,urms_prof_rib,mu_prof_rib-z,mu_prof_rib
-3.9687500E-001, 0.0000000E+000,-4.6875000E-002, 0.0000000E+000,-3.9687500E-001, 0.0000000E+000,-3.9687500E-001, 0.0000000E+000,-4.6875000E-002, 0.0000000E+000, 1.0312500E-001, 0.0000000E+000, 1.0312500E-001, 0.0000000E+000, 1.0312500E-001, 0.0000000E+000
-3.9062500E-001, 0.0000000E+000,-4.0625000E-002, 0.0000000E+000,-3.9062500E-001, 0.0000000E+000,-3.9062500E-001, 0.0000000E+000,-4.0625000E-002, 0.0000000E+000, 1.0937500E-001, 0.0000000E+000, 1.0937500E-001, 0.0000000E+000, 1.0937500E-001, 0.0000000E+000
-3.8437500E-001, 0.0000000E+000,-3.4375000E-002, 0.0000000E+000,-3.8437500E-001, 0.0000000E+000,-3.8437500E-001, 0.0000000E+000,-3.4375000E-002, 0.0000000E+000, 1.1562500E-001, 0.0000000E+000, 1.1562500E-001, 0.0000000E+000, 1.1562500E-001, 0.0000000E+000
-3.7812500E-001, 0.0000000E+000,-2.8125000E-002, 0.0000000E+000,-3.7812500E-001, 0.0000000E+000,-3.7812500E-001, 0.0000000E+000,-2.8125000E-002, 0.0000000E+000, 1.2187500E-001, 0.0000000E+000, 1.2187500E-001, 0.0000000E+000, 1.2187500E-001, 0.0000000E+000
-3.7187500E-001, 0.0000000E+000,-2.1875000E-002, 0.0000000E+000,-3.7187500E-001, 0.0000000E+000,-3.7187500E-001, 0.0000000E+000,-2.1875000E-002, 0.0000000E+000, 1.2812500E-001, 0.0000000E+000, 1.2812500E-001, 0.0000000E+000, 1.2812500E-001, 0.0000000E+000
-3.6562500E-001, 0.0000000E+000,-1.5625000E-002, 0.0000000E+000,-3.6562500E-001, 0.0000000E+000,-3.6562500E-001, 0.0000000E+000,-1.5625000E-002, 0.0000000E+000, 1.3437500E-001, 0.0000000E+000, 1.3437500E-001, 0.0000000E+000, 1.3437500E-001, 0.0000000E+000
-3.5937500E-001, 0.0000000E+000,-9.3750000E-003, 0.0000000E+000,-3.5937500E-001, 0.0000000E+000,-3.5937500E-001, 0.0000000E+000,-9.3750000E-003, 0.0000000E+000, 1.4062500E-001, 0.0000000E+000, 1.4062500E-001, 0.0000000E+000, 1.4062500E-001, 0.0000000E+000
-3.5312500E-001, 0.0000000E+000,-3.1250000E-003, 0.0000000E+000,-3.5312500E-001, 0.0000000E+000,-3.5312500E-001, 0.0000000E+000,-3.1250000E-003, 0.0000000E+000, 1.4687500E-001, 0.0000000E+000, 1.4687500E-001, 0.0000000E+000, 1.4687500E-001, 0.0000000E+000
-3.4687500E-001, 0.0000000E+000, 3.1250000E-003, 0.0000000E+000,-3.4687500E-001, 0.0000000E+000,-3.4687500E-001, 0.0000000E+000, 3.1250000E-003, 0.0000000E+000, 1.5312500E-001, 0.0000000E+000, 1.5312500E-001, 0.0000000E+000, 1.5312500E-001, 0.0000000E+000
-3.4062500E-001, 0.0000000E+000, 9.3750000E-003, 0.0000000E+000,-3.4062500E-001, 0.0000000E+000,-3.4062500E-001, 0.0000000E+000, 9.3750000E-003, 0.0000000E+000, 1.5937500E-001, 0.0000000E+000, 1.5937500E-001, 0.0000000E+000, 1.5937500E-001, 0.0000000E+000
-3.3437500E-001, 0.0000000E+000, 1.5625000E-002, 0.0000000E+000,-3.3437500E-001, 0.0000000E+000,-3.3437500E-001, 0.0000000E+000, 1.5625000E-002, 0.0000000E+000, 1.6562500E-001, 0.0000000E+000, 1.6562500E-001, 0.0000000E+000, 1.6562500E-001, 0.0000000E+000
-3.2812500E-001, 0.0000000E+000, 2.1875000E-002, 0.0000000E+000,-3.2812500E-001, 0.0000000E+000,-3.2812500E-001, 0.0000000E+000, 2.1875000E-002, 0.0000000E+000, 1.7187500E-001, 0.0000000E+000, 1.7187500E-001, 0.0000000E+000, 1.7187500E-001, 0.0000000E+000
-3.2187500E-001, 0.0000000E+000, 2.8125000E-002, 0.0000000E+000,-3.2187500E-001, 0.0000000E+000,-3.2187500E-001, 0.0000000E+000, 2.8125000E-002, 0.0000000E+000, 1.7812500E-001, 0.0000000E+000, 1.7812500E-001, 0.0000000E+000, 1.7812500E-001, 0.0000000E+000
-3.1562500E-001, 0.0000000E+000, 3.4375000E-002, 0.0000000E+000,-3.1562500E-001, 0.0000000E+000,-3.1562500E-001, 0.0000000E+000, 3.4375000E-002, 0.0000000E+000, 1.8437500E-001, 0.0000000E+000, 1.8437500E-001, 0.0000000E+000, 1.8437500E-001, 0.0000000E+000
-3.0937500E-001, 0.0000000E+000, 4.0625000E-002, 0.0000000E+000,-3.0937500E-001, 0.0000000E+000,-3.0937500E-001, 0.0000000E+000, 4.0625000E-002, 0.0000000E+000, 1.9062500E-001, 0.0000000E+000, 1.9062500E-001, 0.0000000E+000, 1.9062500E-001, 0.0000000E+000
-3.0312500E-001, 0.0000000E+000, 4.6875000E-002, 0.0000000E+000,-3.0312500E-001, 0.0000000E+000,-3.0312500E-001, 0.0000000E+000, 4.6875000E-002, 0.0000000E+000, 1.9687500E-001, 0.0000000E+000, 1.9687500E-001, 0.0000000E+000, 1.9687500E-001, 0.0000000E+000
