s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0819080E-015, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0819080E-015, 0.0000000E+000, 0.0000000E+000
 1.0141091E-001, 0.0000000E+000, 0.0000000E+000,-3.4294097E-015,-6.7696857E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.1063782E-015, 0.0000000E+000, 0.0000000E+000
 2.0143679E-001, 0.0000000E+000, 0.0000000E+000,-5.8735187E-015,-4.4324940E-015, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0306013E-014, 0.0000000E+000, 0.0000000E+000
 3.0349603E-001, 0.0000000E+000, 0.0000000E+000,-2.0476167E-015,-9.8919691E-015, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1939586E-014, 0.0000000E+000, 0.0000000E+000
 4.0196460E-001, 0.0000000E+000, 0.0000000E+000, 3.0933717E-015,-1.5458115E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2364743E-014, 0.0000000E+000, 0.0000000E+000
 5.0125134E-001, 0.0000000E+000, 0.0000000E+000, 5.4588769E-015,-1.8974501E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3515624E-014, 0.0000000E+000, 0.0000000E+000
 6.0148585E-001, 0.0000000E+000, 0.0000000E+000,-6.6788189E-015,-2.1013828E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7692647E-014, 0.0000000E+000, 0.0000000E+000
 7.0061541E-001, 0.0000000E+000, 0.0000000E+000,-6.8714620E-015,-2.0991586E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7863048E-014, 0.0000000E+000, 0.0000000E+000
 8.0084640E-001, 0.0000000E+000, 0.0000000E+000,-6.3895199E-015,-2.1494016E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7883536E-014, 0.0000000E+000, 0.0000000E+000
 9.0019619E-001, 0.0000000E+000, 0.0000000E+000,-5.8333645E-015,-2.2763857E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8597222E-014, 0.0000000E+000, 0.0000000E+000
 1.0018188E+000, 0.0000000E+000, 0.0000000E+000,-6.4276675E-015,-2.4025150E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0452818E-014, 0.0000000E+000, 0.0000000E+000
 1.1004879E+000, 0.0000000E+000, 0.0000000E+000,-4.9842272E-015,-2.4351297E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9335524E-014, 0.0000000E+000, 0.0000000E+000
 1.2017665E+000, 0.0000000E+000, 0.0000000E+000,-3.5414587E-015,-2.4957554E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8499013E-014, 0.0000000E+000, 0.0000000E+000
 1.3012103E+000, 0.0000000E+000, 0.0000000E+000,-4.4510315E-015,-2.5072898E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9523930E-014, 0.0000000E+000, 0.0000000E+000
 1.4013922E+000, 0.0000000E+000, 0.0000000E+000,-7.0553942E-015,-2.4798208E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1853602E-014, 0.0000000E+000, 0.0000000E+000
 1.5018529E+000, 0.0000000E+000, 0.0000000E+000,-5.5008023E-015,-2.4680614E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0181417E-014, 0.0000000E+000, 0.0000000E+000
 1.6020528E+000, 0.0000000E+000, 0.0000000E+000,-3.8859485E-015,-2.4443222E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8329170E-014, 0.0000000E+000, 0.0000000E+000
 1.7016492E+000, 0.0000000E+000, 0.0000000E+000,-3.4834832E-015,-2.4257051E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7740534E-014, 0.0000000E+000, 0.0000000E+000
 1.8012456E+000, 0.0000000E+000, 0.0000000E+000,-2.2369272E-015,-2.4097542E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6334469E-014, 0.0000000E+000, 0.0000000E+000
 1.9005264E+000, 0.0000000E+000, 0.0000000E+000,-2.0675025E-015,-2.3636820E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5704322E-014, 0.0000000E+000, 0.0000000E+000
 2.0020089E+000, 0.0000000E+000, 0.0000000E+000,-1.9284347E-015,-2.2751427E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4679861E-014, 0.0000000E+000, 0.0000000E+000
 2.1013770E+000, 0.0000000E+000, 0.0000000E+000,-1.7215203E-015,-2.1695412E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.3416932E-014, 0.0000000E+000, 0.0000000E+000
 2.2015941E+000, 0.0000000E+000, 0.0000000E+000,-1.3893632E-015,-2.0350629E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1739992E-014, 0.0000000E+000, 0.0000000E+000
 2.3000431E+000, 0.0000000E+000, 0.0000000E+000,-1.1351858E-015,-1.8856198E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9991383E-014, 0.0000000E+000, 0.0000000E+000
 2.4016004E+000, 0.0000000E+000, 0.0000000E+000,-8.7600996E-016,-1.6843348E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7719358E-014, 0.0000000E+000, 0.0000000E+000
 2.5016773E+000, 0.0000000E+000, 0.0000000E+000,-7.0790259E-016,-1.5224088E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5931991E-014, 0.0000000E+000, 0.0000000E+000
 2.6011190E+000, 0.0000000E+000, 0.0000000E+000,-7.1295039E-016,-1.3907804E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4620755E-014, 0.0000000E+000, 0.0000000E+000
 2.7019150E+000, 0.0000000E+000, 0.0000000E+000,-6.0432960E-016,-1.2384309E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2988639E-014, 0.0000000E+000, 0.0000000E+000
 2.8014040E+000, 0.0000000E+000, 0.0000000E+000,-6.5577821E-016,-1.1037716E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1693494E-014, 0.0000000E+000, 0.0000000E+000
 2.9004917E+000, 0.0000000E+000, 0.0000000E+000,-4.6202196E-016,-9.6721141E-015, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0134136E-014, 0.0000000E+000, 0.0000000E+000
 3.0016439E+000, 0.0000000E+000, 0.0000000E+000,-5.0633906E-016,-8.1803380E-015, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.6866771E-015, 0.0000000E+000, 0.0000000E+000
 3.1007185E+000, 0.0000000E+000, 0.0000000E+000,-2.6726232E-016,-6.5035936E-015, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.7708560E-015, 0.0000000E+000, 0.0000000E+000
