s,m/s
Time,"Ub"
 0.0000000E+000, 1.0420000E+000
 1.2241819E-001, 1.1699896E+000
 2.1187938E-001, 1.0540552E+000
 3.0711226E-001, 9.9010969E-001
 4.0234514E-001, 9.8539327E-001
 5.2932231E-001, 9.7930766E-001
 6.2455519E-001, 9.7393512E-001
 7.1978806E-001, 9.7028014E-001
 8.1502094E-001, 9.6843873E-001
 9.1025382E-001, 9.6788322E-001
 1.0020540E+000, 9.6902187E-001
 1.1153002E+000, 9.7275871E-001
 1.2002349E+000, 9.7624400E-001
 1.3134811E+000, 9.7675867E-001
 1.4267274E+000, 9.7485851E-001
 1.5116620E+000, 9.7315651E-001
 1.6153635E+000, 9.7338502E-001
 1.7158834E+000, 9.7447787E-001
 1.8164032E+000, 9.7495538E-001
 1.9169231E+000, 9.7492640E-001
 2.0174429E+000, 9.7417884E-001
 2.1179628E+000, 9.7398221E-001
 2.2184827E+000, 9.7427452E-001
 2.3190025E+000, 9.7501746E-001
 2.4195224E+000, 9.7541190E-001
 2.5200423E+000, 9.7438802E-001
 2.6205621E+000, 9.7300675E-001
 2.7210820E+000, 9.7229982E-001
 2.8216018E+000, 9.7292857E-001
 2.9221217E+000, 9.7370258E-001
 3.0226416E+000, 9.7411581E-001
 3.1231614E+000, 9.7411180E-001
 3.2159690E+000, 9.7386591E-001
 3.3062057E+000, 9.7345934E-001
 3.4190017E+000, 9.7304551E-001
 3.5092385E+000, 9.7300156E-001
 3.6220344E+000, 9.7289733E-001
 3.7122712E+000, 9.7283404E-001
 3.8025079E+000, 9.7265350E-001
 3.9153039E+000, 9.7203126E-001
 4.0055407E+000, 9.7143487E-001
 4.1183366E+000, 9.7099602E-001
 4.2085734E+000, 9.7154075E-001
 4.3213693E+000, 9.7142909E-001
 4.4116061E+000, 9.7140753E-001
 4.5018429E+000, 9.7176946E-001
 4.6146388E+000, 9.7203133E-001
 4.7048756E+000, 9.7223078E-001
 4.8176715E+000, 9.7248572E-001
 4.9079083E+000, 9.7338098E-001
 5.0207042E+000, 9.7401439E-001
 5.1109410E+000, 9.7365025E-001
 5.2011778E+000, 9.7337302E-001
 5.3139737E+000, 9.7263864E-001
 5.4042105E+000, 9.7239329E-001
 5.5170064E+000, 9.7252981E-001
 5.6072432E+000, 9.7311281E-001
 5.7200392E+000, 9.7392441E-001
 5.8102759E+000, 9.7483431E-001
 5.9005127E+000, 9.7550001E-001
 6.0133086E+000, 9.7579329E-001
 6.1035454E+000, 9.7561379E-001
 6.2163414E+000, 9.7545022E-001
 6.3065781E+000, 9.7505510E-001
 6.4193741E+000, 9.7463500E-001
 6.5096108E+000, 9.7415500E-001
 6.6224068E+000, 9.7390803E-001
 6.7126436E+000, 9.7411875E-001
