,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-02-19T19:27:11.298+01:00,   0.385E-01,   0.03847
      2,2020-02-19T19:27:11.302+01:00,   0.262E-01,   0.06470
      3,2020-02-19T19:27:11.306+01:00,   0.289E-01,   0.09356
      4,2020-02-19T19:27:11.311+01:00,   0.289E-01,   0.12242
      5,2020-02-19T19:27:11.315+01:00,   0.289E-01,   0.15128
      6,2020-02-19T19:27:11.318+01:00,   0.289E-01,   0.18013
      7,2020-02-19T19:27:11.326+01:00,   0.317E-01,   0.21188
      8,2020-02-19T19:27:11.332+01:00,   0.317E-01,   0.24362
      9,2020-02-19T19:27:11.335+01:00,   0.317E-01,   0.27537
     10,2020-02-19T19:27:11.339+01:00,   0.317E-01,   0.30711
     20,2020-02-19T19:27:11.416+01:00,   0.317E-01,   0.62455
     30,2020-02-19T19:27:11.466+01:00,   0.317E-01,   0.94200
     40,2020-02-19T19:27:11.507+01:00,   0.282E-01,   1.22738
     50,2020-02-19T19:27:11.541+01:00,   0.282E-01,   1.50919
     60,2020-02-19T19:27:11.572+01:00,   0.250E-01,   1.76239
     70,2020-02-19T19:27:11.607+01:00,   0.250E-01,   2.01240
     80,2020-02-19T19:27:11.638+01:00,   0.250E-01,   2.26241
     90,2020-02-19T19:27:11.671+01:00,   0.250E-01,   2.51243
    100,2020-02-19T19:27:11.709+01:00,   0.250E-01,   2.76244
    200,2020-02-19T19:27:12.041+01:00,   0.202E-01,   5.04122
    300,2020-02-19T19:27:12.368+01:00,   0.222E-01,   7.07058
    400,2020-02-19T19:27:12.714+01:00,   0.222E-01,   9.29399
    500,2020-02-19T19:27:13.066+01:00,   0.222E-01,  11.51740
    600,2020-02-19T19:27:13.418+01:00,   0.195E-01,  13.63034
    700,2020-02-19T19:27:13.755+01:00,   0.215E-01,  15.71440
    800,2020-02-19T19:27:14.097+01:00,   0.215E-01,  17.86090
    900,2020-02-19T19:27:14.438+01:00,   0.215E-01,  20.00739
   1000,2020-02-19T19:27:14.967+01:00,   0.215E-01,  22.15389
   1100,2020-02-19T19:27:15.319+01:00,   0.215E-01,  24.30039
   1200,2020-02-19T19:27:15.719+01:00,   0.236E-01,  26.52202
   1300,2020-02-19T19:27:16.353+01:00,   0.210E-01,  28.74418
   1400,2020-02-19T19:27:16.752+01:00,   0.210E-01,  30.84309
   1500,2020-02-19T19:27:17.087+01:00,   0.210E-01,  32.94200
   1600,2020-02-19T19:27:17.431+01:00,   0.231E-01,  35.16894
   1700,2020-02-19T19:27:17.765+01:00,   0.207E-01,  37.41485
   1800,2020-02-19T19:27:18.110+01:00,   0.207E-01,  39.48177
   1900,2020-02-19T19:27:18.446+01:00,   0.227E-01,  41.68718
   2000,2020-02-19T19:27:18.789+01:00,   0.227E-01,  43.96079
   2100,2020-02-19T19:27:19.123+01:00,   0.227E-01,  46.23441
   2200,2020-02-19T19:27:19.463+01:00,   0.204E-01,  48.47984
   2300,2020-02-19T19:27:19.962+01:00,   0.204E-01,  50.51856
   2400,2020-02-19T19:27:20.312+01:00,   0.224E-01,  52.60214
   2500,2020-02-19T19:27:21.089+01:00,   0.224E-01,  54.84473
   2600,2020-02-19T19:27:21.458+01:00,   0.224E-01,  57.08733
   2700,2020-02-19T19:27:21.797+01:00,   0.224E-01,  59.32992
   2800,2020-02-19T19:27:22.123+01:00,   0.224E-01,  61.57252
   2900,2020-02-19T19:27:22.471+01:00,   0.224E-01,  63.81512
   3000,2020-02-19T19:27:22.817+01:00,   0.224E-01,  66.05771
   3100,2020-02-19T19:27:23.163+01:00,   0.224E-01,  68.30031
   3200,2020-02-19T19:27:23.502+01:00,   0.224E-01,  70.54290
   3300,2020-02-19T19:27:23.839+01:00,   0.224E-01,  72.78550
   3400,2020-02-19T19:27:24.170+01:00,   0.224E-01,  75.02810
   3500,2020-02-19T19:27:24.556+01:00,   0.224E-01,  77.27069
   3600,2020-02-19T19:27:25.149+01:00,   0.224E-01,  79.51329
   3700,2020-02-19T19:27:25.491+01:00,   0.201E-01,  81.74197
   3800,2020-02-19T19:27:26.222+01:00,   0.201E-01,  83.75260
   3900,2020-02-19T19:27:26.545+01:00,   0.221E-01,  85.86980
   4000,2020-02-19T19:27:26.895+01:00,   0.221E-01,  88.08150
   4100,2020-02-19T19:27:27.238+01:00,   0.199E-01,  90.29096
   4200,2020-02-19T19:27:27.575+01:00,   0.219E-01,  92.28415
   4300,2020-02-19T19:27:27.909+01:00,   0.219E-01,  94.47010
   4400,2020-02-19T19:27:28.244+01:00,   0.219E-01,  96.65605
   4500,2020-02-19T19:27:28.587+01:00,   0.219E-01,  98.84199
   4553,2020-02-19T19:27:28.772+01:00,   0.213E-01, 100.00000
