s,m/s
Time,"Ub"
 0.0000000E+000, 1.0420000E+000
 1.1121288E-001, 1.1162640E+000
 2.0339526E-001, 1.0427057E+000
 3.1094137E-001, 1.0095594E+000
 4.0312375E-001, 9.9642658E-001
 5.1066985E-001, 9.8914858E-001
 6.0285223E-001, 9.8401045E-001
 7.1039834E-001, 9.8003366E-001
 8.0684672E-001, 9.7667701E-001
 9.0329510E-001, 9.7452364E-001
 1.0103230E+000, 9.7512536E-001
 1.1077544E+000, 9.7920699E-001
 1.2051858E+000, 9.8164029E-001
 1.3083560E+000, 9.8091256E-001
 1.4063741E+000, 9.8053914E-001
 1.5043922E+000, 9.8019346E-001
 1.6024102E+000, 9.8041659E-001
 1.7090082E+000, 9.8282217E-001
 1.8063622E+000, 9.8693866E-001
 1.9037161E+000, 9.8960748E-001
 2.0010701E+000, 9.8739534E-001
 2.1081594E+000, 9.8426672E-001
 2.2055134E+000, 9.8099121E-001
 2.3028674E+000, 9.7867554E-001
 2.4002213E+000, 9.7888078E-001
 2.5073107E+000, 9.8029010E-001
 2.6046646E+000, 9.8106639E-001
 2.7020186E+000, 9.8161394E-001
 2.8091079E+000, 9.8352785E-001
 2.9064619E+000, 9.8641342E-001
 3.0038158E+000, 9.8610040E-001
 3.1011698E+000, 9.8357458E-001
 3.2082591E+000, 9.8250856E-001
 3.3056131E+000, 9.8376340E-001
 3.4029670E+000, 9.8489113E-001
 3.5003210E+000, 9.8264957E-001
 3.6074103E+000, 9.8079179E-001
 3.7047643E+000, 9.7917681E-001
 3.8021183E+000, 9.7937667E-001
 3.9092076E+000, 9.7753645E-001
 4.0065616E+000, 9.7624640E-001
 4.1039155E+000, 9.7719108E-001
 4.2012695E+000, 9.7732727E-001
 4.3083588E+000, 9.7545781E-001
 4.4057128E+000, 9.7198405E-001
 4.5030667E+000, 9.7219040E-001
 4.6004207E+000, 9.7235363E-001
 4.7075100E+000, 9.7349842E-001
 4.8048640E+000, 9.7507325E-001
 4.9022179E+000, 9.7660236E-001
 5.0093073E+000, 9.7560252E-001
 5.1066612E+000, 9.7275769E-001
 5.2040152E+000, 9.7301330E-001
 5.3013691E+000, 9.7493110E-001
 5.4084585E+000, 9.7341793E-001
 5.5058124E+000, 9.7238862E-001
 5.6031664E+000, 9.7198810E-001
 5.7005204E+000, 9.7417326E-001
 5.8076097E+000, 9.7623191E-001
 5.9049637E+000, 9.7586463E-001
 6.0023176E+000, 9.7584770E-001
 6.1094070E+000, 9.7633007E-001
 6.2067609E+000, 9.7310479E-001
 6.3041149E+000, 9.7034402E-001
 6.4014688E+000, 9.7082481E-001
 6.5085582E+000, 9.7032976E-001
 6.6059121E+000, 9.7070218E-001
 6.7032661E+000, 9.7346131E-001
