,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-06-26T16:19:45.377+02:00,   0.190E-01,   0.01904,   0.62637
      2,2020-06-26T16:19:45.399+02:00,   0.154E-01,   0.03443,   0.71050
      3,2020-06-26T16:19:45.415+02:00,   0.154E-01,   0.04982,   0.77628
      4,2020-06-26T16:19:45.430+02:00,   0.154E-01,   0.06521,   0.83582
      5,2020-06-26T16:19:45.445+02:00,   0.154E-01,   0.08060,   0.89200
      6,2020-06-26T16:19:45.458+02:00,   0.154E-01,   0.09599,   0.94489
      7,2020-06-26T16:19:45.486+02:00,   0.154E-01,   0.11138,   1.03830
      8,2020-06-26T16:19:45.505+02:00,   0.154E-01,   0.12677,   1.10582
      9,2020-06-26T16:19:45.519+02:00,   0.154E-01,   0.14216,   1.16101
     10,2020-06-26T16:19:45.532+02:00,   0.154E-01,   0.15755,   1.21487
     20,2020-06-26T16:19:45.673+02:00,   0.154E-01,   0.31144,   1.76619
     30,2020-06-26T16:19:45.809+02:00,   0.154E-01,   0.46533,   2.30155
     40,2020-06-26T16:19:45.958+02:00,   0.154E-01,   0.61923,   2.88528
     50,2020-06-26T16:19:46.117+02:00,   0.138E-01,   0.76842,   3.50681
     60,2020-06-26T16:19:46.266+02:00,   0.138E-01,   0.90663,   4.08955
     70,2020-06-26T16:19:46.415+02:00,   0.123E-01,   1.03895,   4.67505
     80,2020-06-26T16:19:46.555+02:00,   0.123E-01,   1.16241,   5.22678
     90,2020-06-26T16:19:46.703+02:00,   0.123E-01,   1.28587,   5.79927
    100,2020-06-26T16:19:46.853+02:00,   0.110E-01,   1.39754,   6.39316
    200,2020-06-26T16:19:48.646+02:00,   0.980E-02,   2.41205,  13.18334
    300,2020-06-26T16:19:50.439+02:00,   0.980E-02,   3.39190,  20.11639
    400,2020-06-26T16:19:52.319+02:00,   0.980E-02,   4.37175,  27.32258
    500,2020-06-26T16:19:54.119+02:00,   0.853E-02,   5.34907,  34.36821
    600,2020-06-26T16:19:56.224+02:00,   0.103E-01,   6.34213,  42.15189
    700,2020-06-26T16:19:57.968+02:00,   0.103E-01,   7.37427,  49.00548
    800,2020-06-26T16:19:59.767+02:00,   0.927E-02,   8.30649,  56.01003
    900,2020-06-26T16:20:01.486+02:00,   0.102E-01,   9.25940,  62.77939
   1000,2020-06-26T16:20:03.176+02:00,   0.891E-02,  10.14839,  69.41198
   1100,2020-06-26T16:20:04.894+02:00,   0.891E-02,  11.03980,  76.16978
   1200,2020-06-26T16:20:06.640+02:00,   0.891E-02,  11.93121,  83.01308
   1300,2020-06-26T16:20:08.527+02:00,   0.957E-02,  12.87989,  90.29204
   1400,2020-06-26T16:20:10.357+02:00,   0.957E-02,  13.83640,  97.43757
   1500,2020-06-26T16:20:12.240+02:00,   0.932E-02,  14.76216, 104.84002
   1600,2020-06-26T16:20:14.387+02:00,   0.912E-02,  15.65862, 112.89717
   1700,2020-06-26T16:20:16.179+02:00,   0.100E-01,  16.61345, 119.88714
   1800,2020-06-26T16:20:18.104+02:00,   0.100E-01,  17.61661, 127.28202
   1900,2020-06-26T16:20:20.261+02:00,   0.898E-02,  18.57249, 135.02134
   2000,2020-06-26T16:20:22.131+02:00,   0.988E-02,  19.48854, 142.23840
   2100,2020-06-26T16:20:23.987+02:00,   0.959E-02,  20.43541, 149.44904
   2200,2020-06-26T16:20:26.018+02:00,   0.925E-02,  21.37090, 157.06524
   2300,2020-06-26T16:20:28.019+02:00,   0.102E-01,  22.33246, 164.69236
   2400,2020-06-26T16:20:29.864+02:00,   0.102E-01,  23.35048, 171.89364
   2500,2020-06-26T16:20:31.593+02:00,   0.899E-02,  24.25225, 178.71803
   2600,2020-06-26T16:20:33.444+02:00,   0.989E-02,  25.22990, 185.92408
   2700,2020-06-26T16:20:35.275+02:00,   0.965E-02,  26.18646, 193.09037
   2800,2020-06-26T16:20:37.131+02:00,   0.965E-02,  27.15117, 200.28088
   2900,2020-06-26T16:20:39.265+02:00,   0.965E-02,  28.11588, 208.27192
   3000,2020-06-26T16:20:41.120+02:00,   0.965E-02,  29.08059, 215.40626
   3100,2020-06-26T16:20:42.866+02:00,   0.965E-02,  30.04530, 222.26514
   3200,2020-06-26T16:20:44.713+02:00,   0.965E-02,  31.01001, 229.42251
   3300,2020-06-26T16:20:46.783+02:00,   0.954E-02,  31.96671, 237.23670
   3400,2020-06-26T16:20:48.863+02:00,   0.844E-02,  32.91085, 245.16608
   3500,2020-06-26T16:20:50.920+02:00,   0.906E-02,  33.77475, 253.02151
   3600,2020-06-26T16:20:52.824+02:00,   0.906E-02,  34.68054, 260.53055
   3700,2020-06-26T16:20:54.931+02:00,   0.906E-02,  35.58632, 268.46978
   3800,2020-06-26T16:20:56.930+02:00,   0.906E-02,  36.49211, 276.17759
   3900,2020-06-26T16:20:59.066+02:00,   0.996E-02,  37.43684, 284.34340
   4000,2020-06-26T16:21:00.990+02:00,   0.959E-02,  38.39262, 291.90625
   4100,2020-06-26T16:21:02.886+02:00,   0.959E-02,  39.35136, 299.37304
   4200,2020-06-26T16:21:05.033+02:00,   0.959E-02,  40.31010, 307.58596
   4300,2020-06-26T16:21:06.959+02:00,   0.938E-02,  41.25640, 315.17050
   4400,2020-06-26T16:21:08.923+02:00,   0.938E-02,  42.19458, 322.83138
   4500,2020-06-26T16:21:10.904+02:00,   0.835E-02,  43.12348, 330.54609
   4600,2020-06-26T16:21:12.906+02:00,   0.885E-02,  44.08210, 338.31330
   4700,2020-06-26T16:21:15.039+02:00,   0.974E-02,  45.05147, 346.38233
   4800,2020-06-26T16:21:17.086+02:00,   0.946E-02,  45.97370, 354.10268
   4900,2020-06-26T16:21:19.141+02:00,   0.927E-02,  46.92457, 362.00886
   5000,2020-06-26T16:21:21.226+02:00,   0.901E-02,  47.87168, 369.98228
   5100,2020-06-26T16:21:23.246+02:00,   0.888E-02,  48.80712, 377.70893
   5200,2020-06-26T16:21:25.287+02:00,   0.941E-02,  49.72249, 385.55213
   5300,2020-06-26T16:21:27.269+02:00,   0.941E-02,  50.66391, 393.24641
   5400,2020-06-26T16:21:29.252+02:00,   0.941E-02,  51.60533, 400.97026
   5500,2020-06-26T16:21:31.128+02:00,   0.941E-02,  52.54676, 408.36540
   5600,2020-06-26T16:21:33.145+02:00,   0.941E-02,  53.48818, 416.21031
   5700,2020-06-26T16:21:35.168+02:00,   0.941E-02,  54.42960, 424.05643
   5800,2020-06-26T16:21:37.077+02:00,   0.941E-02,  55.37102, 431.55465
