s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1205481E-015, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1205481E-015, 0.0000000E+000, 0.0000000E+000
 1.0164244E-001, 0.0000000E+000, 0.0000000E+000,-1.7614930E-012,-3.0127142E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1888635E-011, 0.0000000E+000, 0.0000000E+000
 2.0223655E-001, 0.0000000E+000, 0.0000000E+000,-1.7038129E-011,-1.2853769E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4557582E-010, 0.0000000E+000, 0.0000000E+000
 3.0283067E-001, 0.0000000E+000, 0.0000000E+000,-6.7218558E-011,-2.4204768E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0926624E-010, 0.0000000E+000, 0.0000000E+000
 4.0670097E-001, 0.0000000E+000, 0.0000000E+000,-1.3956516E-010,-3.5655792E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.9612308E-010, 0.0000000E+000, 0.0000000E+000
 5.0159490E-001, 0.0000000E+000, 0.0000000E+000,-2.0726473E-010,-4.5349116E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.6075589E-010, 0.0000000E+000, 0.0000000E+000
 6.0648656E-001, 0.0000000E+000, 0.0000000E+000,-2.4799197E-010,-5.4370316E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.9169514E-010, 0.0000000E+000, 0.0000000E+000
 7.0514309E-001, 0.0000000E+000, 0.0000000E+000,-2.5699597E-010,-6.3318450E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.9018047E-010, 0.0000000E+000, 0.0000000E+000
 8.0481309E-001, 0.0000000E+000, 0.0000000E+000,-2.4290960E-010,-7.0904518E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.5195478E-010, 0.0000000E+000, 0.0000000E+000
 9.0106779E-001, 0.0000000E+000, 0.0000000E+000,-2.2386830E-010,-7.7363198E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.9750028E-010, 0.0000000E+000, 0.0000000E+000
 1.0016239E+000, 0.0000000E+000, 0.0000000E+000,-2.0388024E-010,-8.0906675E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0129470E-009, 0.0000000E+000, 0.0000000E+000
 1.1006309E+000, 0.0000000E+000, 0.0000000E+000,-1.7564505E-010,-8.3756846E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0132135E-009, 0.0000000E+000, 0.0000000E+000
 1.2045883E+000, 0.0000000E+000, 0.0000000E+000,-1.5108030E-010,-8.6333256E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0144129E-009, 0.0000000E+000, 0.0000000E+000
 1.3020678E+000, 0.0000000E+000, 0.0000000E+000,-1.3911955E-010,-8.7671693E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0158365E-009, 0.0000000E+000, 0.0000000E+000
 1.4030688E+000, 0.0000000E+000, 0.0000000E+000,-1.2405700E-010,-8.7340778E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.9746478E-010, 0.0000000E+000, 0.0000000E+000
 1.5001004E+000, 0.0000000E+000, 0.0000000E+000,-1.0596694E-010,-8.7101206E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.7697901E-010, 0.0000000E+000, 0.0000000E+000
 1.6019835E+000, 0.0000000E+000, 0.0000000E+000,-8.9406799E-011,-8.8164502E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.7105182E-010, 0.0000000E+000, 0.0000000E+000
 1.7038314E+000, 0.0000000E+000, 0.0000000E+000,-7.6124831E-011,-9.2155788E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.9768271E-010, 0.0000000E+000, 0.0000000E+000
 1.8042220E+000, 0.0000000E+000, 0.0000000E+000,-6.5938813E-011,-9.6119764E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0271365E-009, 0.0000000E+000, 0.0000000E+000
 1.9037507E+000, 0.0000000E+000, 0.0000000E+000,-5.5477807E-011,-9.0404747E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.5952527E-010, 0.0000000E+000, 0.0000000E+000
 2.0032794E+000, 0.0000000E+000, 0.0000000E+000,-4.5771379E-011,-7.9191548E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.3768686E-010, 0.0000000E+000, 0.0000000E+000
 2.1023307E+000, 0.0000000E+000, 0.0000000E+000,-3.3775676E-011,-7.0520825E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.3898392E-010, 0.0000000E+000, 0.0000000E+000
 2.2003582E+000, 0.0000000E+000, 0.0000000E+000,-2.3964477E-011,-5.8579996E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.0976444E-010, 0.0000000E+000, 0.0000000E+000
 2.3035002E+000, 0.0000000E+000, 0.0000000E+000,-2.3343034E-011,-4.8709063E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1043366E-010, 0.0000000E+000, 0.0000000E+000
 2.4019539E+000, 0.0000000E+000, 0.0000000E+000,-2.1234180E-011,-4.0400566E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.2523984E-010, 0.0000000E+000, 0.0000000E+000
 2.5004077E+000, 0.0000000E+000, 0.0000000E+000,-1.8002189E-011,-3.2951449E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4751668E-010, 0.0000000E+000, 0.0000000E+000
 2.6035497E+000, 0.0000000E+000, 0.0000000E+000,-1.5443339E-011,-3.0525708E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2070042E-010, 0.0000000E+000, 0.0000000E+000
 2.7023966E+000, 0.0000000E+000, 0.0000000E+000,-1.2274630E-011,-3.1320384E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2547847E-010, 0.0000000E+000, 0.0000000E+000
 2.8020303E+000, 0.0000000E+000, 0.0000000E+000,-8.0969126E-012,-3.5841700E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6651392E-010, 0.0000000E+000, 0.0000000E+000
 2.9016640E+000, 0.0000000E+000, 0.0000000E+000,-2.2011122E-012,-3.2278388E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2498499E-010, 0.0000000E+000, 0.0000000E+000
 3.0012977E+000, 0.0000000E+000, 0.0000000E+000,-6.8048497E-012,-2.4308922E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4989407E-010, 0.0000000E+000, 0.0000000E+000
 3.1021767E+000, 0.0000000E+000, 0.0000000E+000,-3.1033002E-012,-2.9453272E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9763602E-010, 0.0000000E+000, 0.0000000E+000
 3.2026405E+000, 0.0000000E+000, 0.0000000E+000,-2.8661307E-012,-3.1783315E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2069929E-010, 0.0000000E+000, 0.0000000E+000
 3.3031044E+000, 0.0000000E+000, 0.0000000E+000, 5.9652512E-012,-3.1915191E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1318666E-010, 0.0000000E+000, 0.0000000E+000
 3.4035683E+000, 0.0000000E+000, 0.0000000E+000, 2.6797021E-012,-1.7625298E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7357328E-010, 0.0000000E+000, 0.0000000E+000
 3.5040324E+000, 0.0000000E+000, 0.0000000E+000,-1.9390639E-012,-1.0165122E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0359028E-010, 0.0000000E+000, 0.0000000E+000
 3.6044962E+000, 0.0000000E+000, 0.0000000E+000,-1.2945402E-012,-1.7458346E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7587800E-010, 0.0000000E+000, 0.0000000E+000
 3.7003934E+000, 0.0000000E+000, 0.0000000E+000, 2.8214687E-012,-2.5978066E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5695919E-010, 0.0000000E+000, 0.0000000E+000
 3.8003299E+000, 0.0000000E+000, 0.0000000E+000, 4.1149729E-012,-2.3994174E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.3582676E-010, 0.0000000E+000, 0.0000000E+000
 3.9037313E+000, 0.0000000E+000, 0.0000000E+000, 2.1426305E-012,-2.2513818E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2299555E-010, 0.0000000E+000, 0.0000000E+000
 4.0014782E+000, 0.0000000E+000, 0.0000000E+000, 3.5766403E-012,-3.8942627E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.8584963E-010, 0.0000000E+000, 0.0000000E+000
 4.1017852E+000, 0.0000000E+000, 0.0000000E+000, 8.3169704E-012,-4.2033743E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.1202046E-010, 0.0000000E+000, 0.0000000E+000
 4.2011652E+000, 0.0000000E+000, 0.0000000E+000, 9.0283418E-012,-3.6556895E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5654061E-010, 0.0000000E+000, 0.0000000E+000
 4.3014145E+000, 0.0000000E+000, 0.0000000E+000, 6.3809487E-012,-3.7770483E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.7132388E-010, 0.0000000E+000, 0.0000000E+000
 4.4025507E+000, 0.0000000E+000, 0.0000000E+000, 8.4008930E-012,-4.4586648E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.3746559E-010, 0.0000000E+000, 0.0000000E+000
