,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-02-19T19:27:18.832+01:00,   0.943E-02,   0.00943
      2,2020-02-19T19:27:29.819+01:00,   0.838E-02,   0.01781
      3,2020-02-19T19:27:38.535+01:00,   0.838E-02,   0.02620
      4,2020-02-19T19:27:42.835+01:00,   0.754E-02,   0.03374
      5,2020-02-19T19:27:47.133+01:00,   0.754E-02,   0.04128
      6,2020-02-19T19:27:50.870+01:00,   0.754E-02,   0.04883
      7,2020-02-19T19:27:53.833+01:00,   0.754E-02,   0.05637
      8,2020-02-19T19:27:57.451+01:00,   0.754E-02,   0.06392
      9,2020-02-19T19:28:00.346+01:00,   0.754E-02,   0.07146
     10,2020-02-19T19:28:03.241+01:00,   0.754E-02,   0.07901
     20,2020-02-19T19:28:30.400+01:00,   0.754E-02,   0.15445
     30,2020-02-19T19:28:54.244+01:00,   0.754E-02,   0.22989
     40,2020-02-19T19:29:19.537+01:00,   0.754E-02,   0.30533
     50,2020-02-19T19:29:46.741+01:00,   0.754E-02,   0.38077
     60,2020-02-19T19:30:16.491+01:00,   0.754E-02,   0.45621
     70,2020-02-19T19:30:51.412+01:00,   0.679E-02,   0.53013
     80,2020-02-19T19:31:30.001+01:00,   0.679E-02,   0.59799
     90,2020-02-19T19:32:13.794+01:00,   0.609E-02,   0.66236
    100,2020-02-19T19:32:57.427+01:00,   0.609E-02,   0.72325
    200,2020-02-19T19:39:03.289+01:00,   0.476E-02,   1.22703
    300,2020-02-19T19:45:13.079+01:00,   0.456E-02,   1.67794
    400,2020-02-19T19:50:43.710+01:00,   0.456E-02,   2.13393
    500,2020-02-19T19:56:16.721+01:00,   0.456E-02,   2.58991
    600,2020-02-19T20:01:57.471+01:00,   0.449E-02,   3.03876
    700,2020-02-19T20:08:10.822+01:00,   0.449E-02,   3.48776
    800,2020-02-19T20:14:23.350+01:00,   0.388E-02,   3.90447
    900,2020-02-19T20:19:45.405+01:00,   0.427E-02,   4.32839
