m,m/s,m,m/s,m,kg/m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,kg/m/s
u_strm_bot-x,u_strm_bot,u_strm_rib-x,u_strm_rib,mu_strm_bot-x,mu_strm_bot,urms_strm_bot-x,urms_strm_bot,urms_strm_rib-x,urms_strm_rib,u_prof_rib-z,u_prof_rib,urms_prof_rib-z,urms_prof_rib,mu_prof_rib-z,mu_prof_rib
-3.9375000E-001, 3.8812588E-001,-4.3750000E-002, 7.6525627E-001,-3.9375000E-001, 1.5258672E-004,-3.9375000E-001, 3.4570930E-001,-4.3750000E-002, 6.3298798E-001, 1.0625000E-001, 1.1982990E-001, 1.0625000E-001, 5.6464441E-001, 1.0625000E-001, 2.4929712E-004
-3.8125000E-001, 4.1166231E-001,-3.1250000E-002, 3.9250047E-001,-3.8125000E-001, 1.5528972E-004,-3.8125000E-001, 3.5064837E-001,-3.1250000E-002, 7.0957905E-001, 1.1875000E-001, 1.0412603E+000, 1.1875000E-001, 6.4501832E-001, 1.1875000E-001, 3.2840029E-004
-3.6875000E-001, 4.3591282E-001,-1.8750000E-002, 2.4109235E-001,-3.6875000E-001, 1.5814191E-004,-3.6875000E-001, 3.5140464E-001,-1.8750000E-002, 6.5750228E-001, 1.3125000E-001, 1.6376122E+000, 1.3125000E-001, 4.4188938E-001, 1.3125000E-001, 2.3057266E-004
-3.5625000E-001, 4.5723800E-001,-6.2500000E-003, 1.7043804E-001,-3.5625000E-001, 1.6068336E-004,-3.5625000E-001, 3.4945776E-001,-6.2500000E-003, 6.0970692E-001, 1.4375000E-001, 1.8389733E+000, 1.4375000E-001, 2.8703521E-001, 1.4375000E-001, 1.8302219E-004
-3.4375000E-001, 4.7766311E-001, 6.2500000E-003, 1.1982990E-001,-3.4375000E-001, 1.6362472E-004,-3.4375000E-001, 3.5097855E-001, 6.2500000E-003, 5.6464441E-001, 1.5625000E-001, 1.8665783E+000, 1.5625000E-001, 2.3577843E-001, 1.5625000E-001, 1.7174694E-004
-3.3125000E-001, 4.9185860E-001, 1.8750000E-002, 1.1737527E-001,-3.3125000E-001, 1.6544146E-004,-3.3125000E-001, 3.5293275E-001, 1.8750000E-002, 5.2672097E-001, 1.6875000E-001, 1.8401742E+000, 1.6875000E-001, 2.1129141E-001, 1.6875000E-001, 1.6814972E-004
-3.1875000E-001, 5.0441850E-001, 3.1250000E-002, 1.1208433E-001,-3.1875000E-001, 1.6644535E-004,-3.1875000E-001, 3.5660291E-001, 3.1250000E-002, 4.8621809E-001, 1.8125000E-001, 1.8075730E+000, 1.8125000E-001, 1.9614801E-001, 1.8125000E-001, 1.6164498E-004
-3.0625000E-001, 5.1741928E-001, 4.3750000E-002, 1.6594550E-001,-3.0625000E-001, 1.6804448E-004,-3.0625000E-001, 3.6010361E-001, 4.3750000E-002, 4.2130324E-001, 1.9375000E-001, 1.7755908E+000, 1.9375000E-001, 1.9039512E-001, 1.9375000E-001, 1.5425369E-004
-2.9375000E-001, 5.3164955E-001,NaN,NaN,-2.9375000E-001, 1.7123341E-004,-2.9375000E-001, 3.5856274E-001,NaN,NaN, 2.0625000E-001, 1.7461481E+000, 2.0625000E-001, 1.9015071E-001, 2.0625000E-001, 1.4651051E-004
-2.8125000E-001, 5.4369032E-001,NaN,NaN,-2.8125000E-001, 1.7238590E-004,-2.8125000E-001, 3.5665452E-001,NaN,NaN, 2.1875000E-001, 1.7247415E+000, 2.1875000E-001, 1.9150960E-001, 2.1875000E-001, 1.4273930E-004
-2.6875000E-001, 5.5495617E-001,NaN,NaN,-2.6875000E-001, 1.7336623E-004,-2.6875000E-001, 3.5315010E-001,NaN,NaN, 2.3125000E-001, 1.7019271E+000, 2.3125000E-001, 1.8878314E-001, 2.3125000E-001, 1.3866107E-004
-2.5625000E-001, 5.6711101E-001,NaN,NaN,-2.5625000E-001, 1.7502950E-004,-2.5625000E-001, 3.4808402E-001,NaN,NaN, 2.4375000E-001, 1.6767069E+000, 2.4375000E-001, 1.9236910E-001, 2.4375000E-001, 1.3671659E-004
-2.4375000E-001, 5.6895095E-001,NaN,NaN,-2.4375000E-001, 1.7603786E-004,-2.4375000E-001, 3.5031196E-001,NaN,NaN, 2.5625000E-001, 1.6445870E+000, 2.5625000E-001, 2.0093583E-001, 2.5625000E-001, 1.3666693E-004
-2.3125000E-001, 5.7154995E-001,NaN,NaN,-2.3125000E-001, 1.7508084E-004,-2.3125000E-001, 3.4451181E-001,NaN,NaN, 2.6875000E-001, 1.6088838E+000, 2.6875000E-001, 2.0633274E-001, 2.6875000E-001, 1.3407327E-004
-2.1875000E-001, 5.6385699E-001,NaN,NaN,-2.1875000E-001, 1.7246916E-004,-2.1875000E-001, 3.4579002E-001,NaN,NaN, 2.8125000E-001, 1.5410081E+000, 2.8125000E-001, 2.2364065E-001, 2.8125000E-001, 1.2969506E-004
